community_id	protein_label	community_size
1	AKAP8L (Q9ULX6)	40
1	ATXN2L (Q8WWM7)	40
1	CAPRIN1 (Q14444)	40
1	CPSF6 (Q16630)	40
1	DDX5 (P17844)	40
1	DHX36 (Q9H2U1)	40
1	DHX9 (Q08211)	40
1	EWSR1 (Q01844)	40
1	FMR1 (Q06787)	40
1	FUS (P35637)	40
1	HNRNPA1 (P09651)	40
1	HNRNPA2B1 (P22626)	40
1	HNRNPA3 (P51991)	40
1	HNRNPD (Q14103)	40
1	HNRNPH1 (P31943)	40
1	HNRNPK (P61978)	40
1	HNRNPL (P14866)	40
1	HNRNPM (P52272)	40
1	HNRNPR (O43390)	40
1	HNRNPU (Q00839)	40
1	HSP90AA1 (P07900)	40
1	HSPA1A (P0DMV8)	40
1	HSPA4L (Q92598)	40
1	HSPA5 (P11021)	40
1	HSPA8 (P11142)	40
1	ILF3 (Q12906)	40
1	KHDRBS1 (Q07666)	40
1	LMNA (P02545)	40
1	NCL (P19338)	40
1	NONO (Q15233)	40
1	PABPC1 (P11940)	40
1	PABPC4 (Q13310)	40
1	RBMX (P38159)	40
1	SF3B2 (Q13435)	40
1	SFPQ (P23246)	40
1	SYNCRIP (O60506)	40
1	TAF15 (Q92804)	40
1	TARDBP (Q13148)	40
1	THRAP3 (Q9Y2W1)	40
1	VCP (P55072)	40
