protein_label	Nucleolus	P-body	Stress granule	Nuclear speckle	PML body	IMP1 RNP granule	Paraspeckle	Sam68 nuclear body	Neuronal RNP granule	DHX9 Stress Granules	Anisosome	inclusion body-associated granule (IBAG)
AKAP8L (Q9ULX6)	0	0	1	1	1	0	1	0	0	0	0	0
RBMX (P38159)	1	1	1	0	0	0	1	1	0	0	0	0
TAF15 (Q92804)	1	1	1	0	0	0	1	0	1	0	0	0
HNRNPH1 (P31943)	1	1	1	0	0	0	1	0	0	0	0	0
HNRNPR (O43390)	1	1	1	0	0	1	1	0	0	0	0	0
HNRNPK (P61978)	1	1	1	1	1	0	1	1	0	0	0	0
CPSF6 (Q16630)	1	1	1	1	1	0	1	0	0	0	0	0
SFPQ (P23246)	1	1	1	1	1	0	1	0	0	0	0	0
FUS (P35637)	1	1	1	1	1	1	1	0	1	0	0	0
EWSR1 (Q01844)	1	1	1	1	0	0	1	0	1	0	0	0
NONO (Q15233)	1	1	1	1	1	0	1	0	1	0	0	0
HSPA1A (P0DMV8)	0	1	1	1	1	1	0	0	0	0	1	0
HSPA5 (P11021)	1	1	1	0	1	0	0	0	0	0	1	0
HSPA8 (P11142)	1	1	1	0	1	1	0	0	0	0	1	0
HNRNPM (P52272)	1	1	1	0	1	0	0	0	0	1	0	0
VCP (P55072)	1	1	1	0	1	0	0	0	0	0	0	0
DDX5 (P17844)	1	1	1	0	1	0	0	0	0	0	0	0
HSP90AA1 (P07900)	1	1	1	0	1	0	0	0	0	0	0	0
SF3B2 (Q13435)	1	1	0	1	1	0	0	0	0	0	0	0
ATXN2L (Q8WWM7)	0	1	1	1	1	0	0	0	0	0	0	0
THRAP3 (Q9Y2W1)	0	1	1	1	1	0	0	0	0	0	0	0
LMNA (P02545)	1	1	1	1	1	0	0	0	0	0	0	0
DHX36 (Q9H2U1)	1	1	1	1	1	0	0	0	0	0	0	0
HSPA4L (Q92598)	1	1	1	1	1	0	0	0	0	0	0	0
TARDBP (Q13148)	1	1	1	0	0	1	1	0	1	1	1	0
DHX9 (Q08211)	1	1	1	0	0	1	1	0	0	1	0	0
HNRNPA1 (P09651)	1	1	1	1	0	1	1	1	0	1	0	0
CAPRIN1 (Q14444)	0	1	1	0	0	0	0	0	1	1	0	0
HNRNPA3 (P51991)	1	1	1	0	0	0	0	0	0	1	0	0
PABPC1 (P11940)	1	1	1	0	0	1	0	0	0	1	0	1
FMR1 (Q06787)	0	1	1	0	0	1	0	0	1	0	0	0
KHDRBS1 (Q07666)	1	0	1	0	0	1	0	1	0	0	0	0
HNRNPD (Q14103)	1	1	1	0	0	1	0	1	0	0	0	0
HNRNPL (P14866)	1	1	1	0	0	1	0	1	0	0	0	0
ILF3 (Q12906)	1	1	1	1	0	1	0	0	0	0	0	0
HNRNPA2B1 (P22626)	1	1	1	1	0	1	0	0	0	0	0	0
HNRNPU (Q00839)	1	1	1	1	0	1	0	0	0	0	0	0
NCL (P19338)	1	1	1	0	1	1	0	0	0	0	0	0
PABPC4 (Q13310)	1	1	1	0	0	1	0	0	0	0	0	0
SYNCRIP (O60506)	1	1	1	0	0	1	0	0	0	0	0	0
