protein_a	protein_b	shared_assembly_count	shared_assemblies	jaccard_similarity
FUS (P35637)	NONO (Q15233)	7	Neuronal RNP granule;Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.875
CPSF6 (Q16630)	SFPQ (P23246)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	1.0
HNRNPK (P61978)	CPSF6 (Q16630)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.8571428571428571
HNRNPK (P61978)	SFPQ (P23246)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.8571428571428571
CPSF6 (Q16630)	NONO (Q15233)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.8571428571428571
SFPQ (P23246)	NONO (Q15233)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.8571428571428571
EWSR1 (Q01844)	NONO (Q15233)	6	Neuronal RNP granule;Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.8571428571428571
HNRNPK (P61978)	NONO (Q15233)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.75
CPSF6 (Q16630)	FUS (P35637)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.75
SFPQ (P23246)	FUS (P35637)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.75
FUS (P35637)	EWSR1 (Q01844)	6	Neuronal RNP granule;Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.75
TARDBP (Q13148)	DHX9 (Q08211)	6	DHX9 Stress Granules;IMP1 RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.75
DHX9 (Q08211)	HNRNPA1 (P09651)	6	DHX9 Stress Granules;IMP1 RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.75
HNRNPK (P61978)	FUS (P35637)	6	Nuclear speckle;Nucleolus;P-body;PML body;Paraspeckle;Stress granule	0.6666666666666666
HNRNPK (P61978)	HNRNPA1 (P09651)	6	Nuclear speckle;Nucleolus;P-body;Paraspeckle;Sam68 nuclear body;Stress granule	0.6666666666666666
FUS (P35637)	TARDBP (Q13148)	6	IMP1 RNP granule;Neuronal RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.6
FUS (P35637)	HNRNPA1 (P09651)	6	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.6
TARDBP (Q13148)	HNRNPA1 (P09651)	6	DHX9 Stress Granules;IMP1 RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.6
LMNA (P02545)	DHX36 (Q9H2U1)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	1.0
LMNA (P02545)	HSPA4L (Q92598)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	1.0
DHX36 (Q9H2U1)	HSPA4L (Q92598)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	1.0
HNRNPD (Q14103)	HNRNPL (P14866)	5	IMP1 RNP granule;Nucleolus;P-body;Sam68 nuclear body;Stress granule	1.0
ILF3 (Q12906)	HNRNPA2B1 (P22626)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	1.0
ILF3 (Q12906)	HNRNPU (Q00839)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	1.0
HNRNPA2B1 (P22626)	HNRNPU (Q00839)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	1.0
TAF15 (Q92804)	EWSR1 (Q01844)	5	Neuronal RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.8333333333333334
HNRNPR (O43390)	DHX9 (Q08211)	5	IMP1 RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.8333333333333334
CPSF6 (Q16630)	LMNA (P02545)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
CPSF6 (Q16630)	DHX36 (Q9H2U1)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
CPSF6 (Q16630)	HSPA4L (Q92598)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
SFPQ (P23246)	LMNA (P02545)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
SFPQ (P23246)	DHX36 (Q9H2U1)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
SFPQ (P23246)	HSPA4L (Q92598)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
HSPA5 (P11021)	HSPA8 (P11142)	5	Anisosome;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
HSPA8 (P11142)	NCL (P19338)	5	IMP1 RNP granule;Nucleolus;P-body;PML body;Stress granule	0.8333333333333334
RBMX (P38159)	HNRNPK (P61978)	5	Nucleolus;P-body;Paraspeckle;Sam68 nuclear body;Stress granule	0.7142857142857143
TAF15 (Q92804)	NONO (Q15233)	5	Neuronal RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.7142857142857143
HNRNPK (P61978)	LMNA (P02545)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.7142857142857143
HNRNPK (P61978)	DHX36 (Q9H2U1)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.7142857142857143
HNRNPK (P61978)	HSPA4L (Q92598)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.7142857142857143
CPSF6 (Q16630)	EWSR1 (Q01844)	5	Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.7142857142857143
SFPQ (P23246)	EWSR1 (Q01844)	5	Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.7142857142857143
NONO (Q15233)	LMNA (P02545)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.7142857142857143
NONO (Q15233)	DHX36 (Q9H2U1)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.7142857142857143
NONO (Q15233)	HSPA4L (Q92598)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.7142857142857143
HSPA1A (P0DMV8)	HSPA8 (P11142)	5	Anisosome;IMP1 RNP granule;P-body;PML body;Stress granule	0.7142857142857143
DHX9 (Q08211)	PABPC1 (P11940)	5	DHX9 Stress Granules;IMP1 RNP granule;Nucleolus;P-body;Stress granule	0.7142857142857143
RBMX (P38159)	HNRNPA1 (P09651)	5	Nucleolus;P-body;Paraspeckle;Sam68 nuclear body;Stress granule	0.625
TAF15 (Q92804)	FUS (P35637)	5	Neuronal RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.625
TAF15 (Q92804)	TARDBP (Q13148)	5	Neuronal RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.625
HNRNPR (O43390)	FUS (P35637)	5	IMP1 RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.625
HNRNPR (O43390)	TARDBP (Q13148)	5	IMP1 RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.625
HNRNPR (O43390)	HNRNPA1 (P09651)	5	IMP1 RNP granule;Nucleolus;P-body;Paraspeckle;Stress granule	0.625
HNRNPK (P61978)	EWSR1 (Q01844)	5	Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.625
FUS (P35637)	LMNA (P02545)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.625
FUS (P35637)	DHX36 (Q9H2U1)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.625
FUS (P35637)	HSPA4L (Q92598)	5	Nuclear speckle;Nucleolus;P-body;PML body;Stress granule	0.625
FUS (P35637)	ILF3 (Q12906)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	0.625
FUS (P35637)	HNRNPA2B1 (P22626)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	0.625
FUS (P35637)	HNRNPU (Q00839)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	0.625
FUS (P35637)	NCL (P19338)	5	IMP1 RNP granule;Nucleolus;P-body;PML body;Stress granule	0.625
HNRNPA1 (P09651)	HNRNPD (Q14103)	5	IMP1 RNP granule;Nucleolus;P-body;Sam68 nuclear body;Stress granule	0.625
HNRNPA1 (P09651)	HNRNPL (P14866)	5	IMP1 RNP granule;Nucleolus;P-body;Sam68 nuclear body;Stress granule	0.625
HNRNPA1 (P09651)	ILF3 (Q12906)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	0.625
HNRNPA1 (P09651)	HNRNPA2B1 (P22626)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	0.625
HNRNPA1 (P09651)	HNRNPU (Q00839)	5	IMP1 RNP granule;Nuclear speckle;Nucleolus;P-body;Stress granule	0.625
CPSF6 (Q16630)	HNRNPA1 (P09651)	5	Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.5555555555555556
SFPQ (P23246)	HNRNPA1 (P09651)	5	Nuclear speckle;Nucleolus;P-body;Paraspeckle;Stress granule	0.5555555555555556
FUS (P35637)	HSPA1A (P0DMV8)	5	IMP1 RNP granule;Nuclear speckle;P-body;PML body;Stress granule	0.5555555555555556
FUS (P35637)	HSPA8 (P11142)	5	IMP1 RNP granule;Nucleolus;P-body;PML body;Stress granule	0.5555555555555556
