condensate_id	condensate_name	member_count	methyl_protein_count	methyl_fraction_within_condensate	expected_methyl_count_at_global_rate	odds_ratio	log2_odds_ratio	p_value	q_value
3190BB68	inclusion body-associated granule (IBAG)	6	6	1.0	2.8876199177706714	14.05162978824649	3.812665567045861	0.0123801752342052	0.0353719292405865
373365D7	p62-dependent P-bodies (pd-PBs)	6	6	1.0	2.8876199177706714	14.05162978824649	3.812665567045861	0.0123801752342052	0.0353719292405865
BEB5E62D	Anisosome	6	6	1.0	2.8876199177706714	14.05162978824649	3.812665567045861	0.0123801752342052	0.0353719292405865
F85A2E29	IMP1 RNP granule	38	35	0.9210526315789472	18.28825947921425	11.102085128381871	3.4727587554147097	1.6968124473298946e-08	1.696812447329895e-07
A40D6D0A	DHX9 Stress Granules	12	11	0.9166666666666666	5.775239835541343	8.302965259559583	3.053626661913801	0.0025013338613154	0.0127277217275872
D8E9712B	Neuronal RNP granule	16	14	0.875	7.700319780721791	6.287604490088369	2.652510470437801	0.0017109954164012	0.0114066361093419
62EA6512	Sam68 nuclear body	15	13	0.8666666666666667	7.219049794426679	5.8511816662688	2.5487280113474764	0.0031384158923914	0.0139485150772954
DEE660B4	Stress granule	1194	783	0.6557788944723618	574.6363636363636	2.674526300532033	1.419283390807105	8.554704606976902e-46	3.421881842790761e-44
D6A53B8E	Nuclear pore complex	25	18	0.72	12.031749657377798	2.673255164712451	1.4185975507481337	0.0252456498221936	0.067321732859183
232F8A39	P-body	829	558	0.6731001206272618	398.97281863864777	2.6558302832791663	1.4091629564383394	6.569350214511395e-35	1.3138700429022789e-33
804901D1	Nuclear speckle	207	137	0.6618357487922706	99.62288716308817	2.178992983384352	1.123661550812288	1.0188767646215648e-07	8.151014116972518e-07
1A18FFC4	Paraspeckle	71	47	0.6619718309859155	34.17016902695295	2.1147284441561145	1.08047241633705	0.0025455443455174	0.0127277217275872
91857CE7	Nucleolus	1413	823	0.5824486907289455	680.0344906349932	1.8256035206455925	0.8683734789549636	2.4164642544163883e-20	3.2219523392218512e-19
B5B9A610	PML body	542	292	0.5387453874538746	260.84833257195066	1.3001565032974536	0.378685294747046	0.0044023540192491	0.016008560069997
