protein_label	canonical_UniProtAC	methyl_site_count	substrate_genename	functional_class_broad	functional_class_subclass	gene_name	selected_assembly_count
AKAP8L (Q9ULX6)	Q9ULX6	13	AKAP8L	Cytoplasmic / trafficking / cytoskeleton;Nuclear scaffold / pore / lamina;Signaling / enzymes	Cytoskeleton / trafficking;Nuclear scaffold / pore / lamina;Signaling / enzymes	AKAP8L	4
RBMX (P38159)	P38159	33	RBMX	Membrane / receptor / extracellular;RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	RBMX	5
TAF15 (Q92804)	Q92804	41	TAF15	Chromatin / transcription;Nuclear scaffold / pore / lamina;RNA-binding / RNP	Nuclear scaffold / pore / lamina;RRM / KH RBPs;Transcription / mediator / polymerase;hnRNP / RG-rich RBPs	TAF15	5
HNRNPH1 (P31943)	P31943	16	HNRNPH1	RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPH1	4
HNRNPR (O43390)	O43390	18	HNRNPR	RNA-binding / RNP;Translation / ribosome / biogenesis	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPR	5
HNRNPK (P61978)	P61978	28	HNRNPK	RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPK	7
CPSF6 (Q16630)	Q16630	6	CPSF6	RNA-binding / RNP	RRM / KH RBPs;mRNA processing / export / 3'-end	CPSF6	6
SFPQ (P23246)	P23246	20	SFPQ	Chromatin / transcription;RNA-binding / RNP;Translation / ribosome / biogenesis	Nucleolar / ribosome biogenesis;RRM / KH RBPs;Stress granule / paraspeckle / P-body	SFPQ	6
FUS (P35637)	P35637	30	FUS	Nuclear scaffold / pore / lamina;RNA-binding / RNP	Nuclear scaffold / pore / lamina;RRM / KH RBPs;Stress granule / paraspeckle / P-body;hnRNP / RG-rich RBPs	FUS	8
EWSR1 (Q01844)	Q01844	35	EWSR1	Nuclear scaffold / pore / lamina;RNA-binding / RNP	Nuclear scaffold / pore / lamina;RRM / KH RBPs;hnRNP / RG-rich RBPs	EWSR1	6
NONO (Q15233)	Q15233	15	NONO	Chromatin / transcription;RNA-binding / RNP;Translation / ribosome / biogenesis	Nucleolar / ribosome biogenesis;RRM / KH RBPs;Stress granule / paraspeckle / P-body	NONO	7
HSPA1A (P0DMV8)	P0DMV8	6	HSPA1A	Proteostasis / ubiquitin / chaperone;Signaling / enzymes	Proteostasis / chaperone / proteasome;Signaling / enzymes	HSPA1A	6
HSPA5 (P11021)	P11021	5	HSPA5	Membrane / receptor / extracellular;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	Proteostasis / chaperone / proteasome;Signaling / enzymes	HSPA5	5
HSPA8 (P11142)	P11142	5	HSPA8	Proteostasis / ubiquitin / chaperone;Signaling / enzymes	Proteostasis / chaperone / proteasome;Signaling / enzymes	HSPA8	6
HNRNPM (P52272)	P52272	22	HNRNPM	RNA-binding / RNP	RRM / KH RBPs;hnRNP / RG-rich RBPs	HNRNPM	5
VCP (P55072)	P55072	14	VCP	Signaling / enzymes	Signaling / enzymes	VCP	4
DDX5 (P17844)	P17844	21	DDX5	RNA-binding / RNP;Signaling / enzymes	RNA helicases;Signaling / enzymes	DDX5	4
HSP90AA1 (P07900)	P07900	14	HSP90AA1	Proteostasis / ubiquitin / chaperone;RNA-binding / RNP;Signaling / enzymes;Translation / ribosome / biogenesis	Proteostasis / chaperone / proteasome;Signaling / enzymes;Translation / initiation / elongation	HSP90AA1	4
SF3B2 (Q13435)	Q13435	16	SF3B2	RNA-binding / RNP	Spliceosome / splicing;mRNA processing / export / 3'-end	SF3B2	4
ATXN2L (Q8WWM7)	Q8WWM7	16	ATXN2L	RNA-binding / RNP	Poly(A) / stability RBPs;Spliceosome / splicing;Stress granule / paraspeckle / P-body	ATXN2L	4
THRAP3 (Q9Y2W1)	Q9Y2W1	25	THRAP3	Membrane / receptor / extracellular	Membrane / receptor / extracellular	THRAP3	4
LMNA (P02545)	P02545	9	LMNA	Cytoplasmic / trafficking / cytoskeleton;Nuclear scaffold / pore / lamina	Nuclear scaffold / pore / lamina	LMNA	5
DHX36 (Q9H2U1)	Q9H2U1	7	DHX36	RNA-binding / RNP;Signaling / enzymes	RNA helicases;Signaling / enzymes	DHX36	5
HSPA4L (Q92598)	Q92598	2	HSPA4L	Proteostasis / ubiquitin / chaperone;Signaling / enzymes	Proteostasis / chaperone / proteasome;Signaling / enzymes	HSPA4L	5
TARDBP (Q13148)	Q13148	2	TARDBP	Chromatin / transcription;RNA-binding / RNP	RRM / KH RBPs;Stress granule / paraspeckle / P-body	TARDBP	8
