canonical_UniProtAC	condensate_id	condensate_name	condensate_type
Q5JVS0	462A97B5	Leucocyte nuclear body	biomolecular
Q7Z3E1	462A97B5	Leucocyte nuclear body	biomolecular
O43791	462A97B5	Leucocyte nuclear body	biomolecular
Q9UPQ9	C5843A5F	miRISC condensate	biomolecular
P05067	9F779CC8	Nuclear body	biomolecular
Q13342	462A97B5	Leucocyte nuclear body	biomolecular
Q00613	38EC0B30	Transcriptional condensate	biomolecular
Q14149	353F5E6C	MORC3 nuclear body	biomolecular
Q04726	62EA6512	Sam68 nuclear body	biomolecular
P14866	62EA6512	Sam68 nuclear body	biomolecular
Q16082	9F779CC8	Nuclear body	biomolecular
Q14103	62EA6512	Sam68 nuclear body	biomolecular
P09651	62EA6512	Sam68 nuclear body	biomolecular
Q9GZV5	38EC0B30	Transcriptional condensate	biomolecular
P50750	38EC0B30	Transcriptional condensate	biomolecular
P08047	38EC0B30	Transcriptional condensate	biomolecular
B1PRL2	38EC0B30	Transcriptional condensate	biomolecular
P35222	38EC0B30	Transcriptional condensate	biomolecular
P31271	38EC0B30	Transcriptional condensate	biomolecular
Q15059	38EC0B30	Transcriptional condensate	biomolecular
Q15648	38EC0B30	Transcriptional condensate	biomolecular
Q01844	38EC0B30	Transcriptional condensate	biomolecular
Q13950	38EC0B30	Transcriptional condensate	biomolecular
P20226	38EC0B30	Transcriptional condensate	biomolecular
P35453	38EC0B30	Transcriptional condensate	biomolecular
Q13627	38EC0B30	Transcriptional condensate	biomolecular
P40763	38EC0B30	Transcriptional condensate	biomolecular
Q9Y2X0	38EC0B30	Transcriptional condensate	biomolecular
O60885	38EC0B30	Transcriptional condensate	biomolecular
P03372	38EC0B30	Transcriptional condensate	biomolecular
Q16236	38EC0B30	Transcriptional condensate	biomolecular
Q16198	38EC0B30	Transcriptional condensate	biomolecular
Q15561	38EC0B30	Transcriptional condensate	biomolecular
Q13501	718A9EC3	P62 body	biomolecular
Q9UPQ9	9DBB3093	GW-body	biomolecular
P46937	38EC0B30	Transcriptional condensate	biomolecular
P23771	462A97B5	Leucocyte nuclear body	biomolecular
P08621	462A97B5	Leucocyte nuclear body	biomolecular
Q12888	462A97B5	Leucocyte nuclear body	biomolecular
Q9UER7	462A97B5	Leucocyte nuclear body	biomolecular
P02545	462A97B5	Leucocyte nuclear body	biomolecular
Q14103	462A97B5	Leucocyte nuclear body	biomolecular
Q15648	462A97B5	Leucocyte nuclear body	biomolecular
Q01844	462A97B5	Leucocyte nuclear body	biomolecular
O60885	462A97B5	Leucocyte nuclear body	biomolecular
Q12988	462A97B5	Leucocyte nuclear body	biomolecular
P43243	462A97B5	Leucocyte nuclear body	biomolecular
P09651	462A97B5	Leucocyte nuclear body	biomolecular
P06401	462A97B5	Leucocyte nuclear body	biomolecular
P15502	BB244C6C	Elastin granule	biomolecular
Q07666	62EA6512	Sam68 nuclear body	biomolecular
P61978	62EA6512	Sam68 nuclear body	biomolecular
Q9BXY0	62EA6512	Sam68 nuclear body	biomolecular
Q96MU7	62EA6512	Sam68 nuclear body	biomolecular
P38159	62EA6512	Sam68 nuclear body	biomolecular
Q15424	62EA6512	Sam68 nuclear body	biomolecular
Q5VWX1	62EA6512	Sam68 nuclear body	biomolecular
Q8NEJ9	62EA6512	Sam68 nuclear body	biomolecular
Q07352	ACCC2039	TIS granule	biomolecular
Q92804	38EC0B30	Transcriptional condensate	biomolecular
Q16082	462A97B5	Leucocyte nuclear body	biomolecular
Q07889	36896B46	T-cell signalosome	biomolecular
Q9UKV8	C5843A5F	miRISC condensate	biomolecular
P84022	38EC0B30	Transcriptional condensate	biomolecular
Q01860	38EC0B30	Transcriptional condensate	biomolecular
P23771	38EC0B30	Transcriptional condensate	biomolecular
P62993	36896B46	T-cell signalosome	biomolecular
O43561	36896B46	T-cell signalosome	biomolecular
Q8NDV7	9DBB3093	GW-body	biomolecular
Q9UKV8	9DBB3093	GW-body	biomolecular
P45973	B57B8AD8	Heterochromatin	biomolecular
Q14781	B57B8AD8	Heterochromatin	biomolecular
Q92804	462A97B5	Leucocyte nuclear body	biomolecular
Q8N163	62EA6512	Sam68 nuclear body	biomolecular
Q14151	62EA6512	Sam68 nuclear body	biomolecular
Q8TC44	03D56D03	Tau Condensate	biomolecular
Q6ZN04	CA00D4B7	MEX3B granule	biomolecular
O75817	B75B0A5E	SMN-Rpp20 complex	biomolecular
Q13094	F345034F	Signaling cluster	biomolecular
Q92621	D6A53B8E	Nuclear pore complex	biomolecular
A8CG34	D6A53B8E	Nuclear pore complex	biomolecular
Q8WYP5	D6A53B8E	Nuclear pore complex	biomolecular
Q96EP5	2B1872D5	Balbiani body	biomolecular
Q92499	6F9FB6EF	Cleavage body	biomolecular
Q8WUA4	38EC0B30	Transcriptional condensate	biomolecular
P23246	38EC0B30	Transcriptional condensate	biomolecular
Q15233	38EC0B30	Transcriptional condensate	biomolecular
P33240	6F9FB6EF	Cleavage body	biomolecular
Q6ZRY4	2B1872D5	Balbiani body	biomolecular
Q6P158	38EC0B30	Transcriptional condensate	biomolecular
Q9BW27	D6A53B8E	Nuclear pore complex	biomolecular
Q92499	5B6CCA73	DDX1 body	biomolecular
Q8WVC0	38EC0B30	Transcriptional condensate	biomolecular
Q9Y5Q8	38EC0B30	Transcriptional condensate	biomolecular
P63104	03D56D03	Tau Condensate	biomolecular
P33240	5B6CCA73	DDX1 body	biomolecular
Q96J94	278829DE	Chromatoid body	biomolecular
Q9H6R0	975B8A70	Inflammasome	biomolecular
Q8IUD2	F345034F	Signaling cluster	biomolecular
P52948	D6A53B8E	Nuclear pore complex	biomolecular
O00401	F345034F	Signaling cluster	biomolecular
Q8WV28	F345034F	Signaling cluster	biomolecular
Q8NAV1	38EC0B30	Transcriptional condensate	biomolecular
Q14764	D6A53B8E	Nuclear pore complex	biomolecular
Q9NR21	D6A53B8E	Nuclear pore complex	biomolecular
Q96HA1	D6A53B8E	Nuclear pore complex	biomolecular
P55735	D6A53B8E	Nuclear pore complex	biomolecular
O60318	D6A53B8E	Nuclear pore complex	biomolecular
Q9NPA8	D6A53B8E	Nuclear pore complex	biomolecular
Q9NRG9	D6A53B8E	Nuclear pore complex	biomolecular
Q9BXS6	D6A53B8E	Nuclear pore complex	biomolecular
P49792	D6A53B8E	Nuclear pore complex	biomolecular
P57740	D6A53B8E	Nuclear pore complex	biomolecular
P12270	D6A53B8E	Nuclear pore complex	biomolecular
P49790	D6A53B8E	Nuclear pore complex	biomolecular
Q12769	D6A53B8E	Nuclear pore complex	biomolecular
Q9UKX7	D6A53B8E	Nuclear pore complex	biomolecular
Q8WUM0	D6A53B8E	Nuclear pore complex	biomolecular
Q8TD16	D6A53B8E	Nuclear pore complex	biomolecular
Q9HC62	D6A53B8E	Nuclear pore complex	biomolecular
Q9NQI0	45FBF2D1	Nuage	biomolecular
O75791	F345034F	Signaling cluster	biomolecular
Q08881	F345034F	Signaling cluster	biomolecular
O75643	38EC0B30	Transcriptional condensate	biomolecular
Q9P2I0	6F9FB6EF	Cleavage body	biomolecular
P10636	03D56D03	Tau Condensate	biomolecular
Q9UBU9	38EC0B30	Transcriptional condensate	biomolecular
Q96B97	F345034F	Signaling cluster	biomolecular
Q6PIF6	F345034F	Signaling cluster	biomolecular
Q14432	F345034F	Signaling cluster	biomolecular
Q13136	F345034F	Signaling cluster	biomolecular
O43561	F345034F	Signaling cluster	biomolecular
P18031	F345034F	Signaling cluster	biomolecular
Q86SQ0	F345034F	Signaling cluster	biomolecular
Q495M9	F345034F	Signaling cluster	biomolecular
Q9Y2X7	F345034F	Signaling cluster	biomolecular
Q53GS7	D6A53B8E	Nuclear pore complex	biomolecular
P20226	A0DCDA94	DNA damage foci	biomolecular
Q14676	A0DCDA94	DNA damage foci	biomolecular
Q12888	A0DCDA94	DNA damage foci	biomolecular
Q16533	A0DCDA94	DNA damage foci	biomolecular
Q10570	24B72B50	Histone Locus Body	biomolecular
Q9UKL3	24B72B50	Histone Locus Body	biomolecular
Q9UPY3	278829DE	Chromatoid body	biomolecular
Q9UKV8	278829DE	Chromatoid body	biomolecular
Q9UPQ9	F85A2E29	IMP1 RNP granule	biomolecular
Q9BQA5	24B72B50	Histone Locus Body	biomolecular
O43390	F85A2E29	IMP1 RNP granule	biomolecular
P0DMV9	F85A2E29	IMP1 RNP granule	biomolecular
P11940	F85A2E29	IMP1 RNP granule	biomolecular
Q92945	F659AEC6	Pericentriolar compartment	biomolecular
Q9P2I0	24B72B50	Histone Locus Body	biomolecular
Q9NZI8	F85A2E29	IMP1 RNP granule	biomolecular
P11308	F85A2E29	IMP1 RNP granule	biomolecular
Q06609	A0DCDA94	DNA damage foci	biomolecular
Q13315	A0DCDA94	DNA damage foci	biomolecular
Q13535	A0DCDA94	DNA damage foci	biomolecular
P78527	A0DCDA94	DNA damage foci	biomolecular
P35637	A0DCDA94	DNA damage foci	biomolecular
Q92966	A0DCDA94	DNA damage foci	biomolecular
P16104	A0DCDA94	DNA damage foci	biomolecular
Q8IUH3	A0DCDA94	DNA damage foci	biomolecular
Q92878	A0DCDA94	DNA damage foci	biomolecular
Q13547	A0DCDA94	DNA damage foci	biomolecular
Q96B01	A0DCDA94	DNA damage foci	biomolecular
Q5SXM2	A0DCDA94	DNA damage foci	biomolecular
Q13487	A0DCDA94	DNA damage foci	biomolecular
Q9UKF6	24B72B50	Histone Locus Body	biomolecular
Q6UN15	24B72B50	Histone Locus Body	biomolecular
Q9NPI6	278829DE	Chromatoid body	biomolecular
Q16637	91E14AE1	U-body	biomolecular
Q14207	24B72B50	Histone Locus Body	biomolecular
P49711	24B72B50	Histone Locus Body	biomolecular
P67809	F85A2E29	IMP1 RNP granule	biomolecular
R4GMX3	F701F3BC	PcG body	biomolecular
Q9BQ52	F701F3BC	PcG body	biomolecular
Q08211	F85A2E29	IMP1 RNP granule	biomolecular
Q06787	D8E9712B	Neuronal RNP granule	biomolecular
O43707	F85A2E29	IMP1 RNP granule	biomolecular
P11142	F85A2E29	IMP1 RNP granule	biomolecular
P50995	D8E9712B	Neuronal RNP granule	biomolecular
Q15233	D8E9712B	Neuronal RNP granule	biomolecular
Q7Z739	D8E9712B	Neuronal RNP granule	biomolecular
O00257	F701F3BC	PcG body	biomolecular
P0DMV8	F85A2E29	IMP1 RNP granule	biomolecular
P62241	F85A2E29	IMP1 RNP granule	biomolecular
Q93062	D8E9712B	Neuronal RNP granule	biomolecular
P35637	D8E9712B	Neuronal RNP granule	biomolecular
Q9Y5A9	D8E9712B	Neuronal RNP granule	biomolecular
Q92804	D8E9712B	Neuronal RNP granule	biomolecular
Q13148	D8E9712B	Neuronal RNP granule	biomolecular
Q00994	D8E9712B	Neuronal RNP granule	biomolecular
Q13283	D8E9712B	Neuronal RNP granule	biomolecular
Q17RY0	D8E9712B	Neuronal RNP granule	biomolecular
Q9BYJ9	D8E9712B	Neuronal RNP granule	biomolecular
Q14444	D8E9712B	Neuronal RNP granule	biomolecular
Q9Y224	D8E9712B	Neuronal RNP granule	biomolecular
Q92833	F701F3BC	PcG body	biomolecular
Q14781	F701F3BC	PcG body	biomolecular
O43663	F701F3BC	PcG body	biomolecular
O75530	F701F3BC	PcG body	biomolecular
Q8IXK0	F701F3BC	PcG body	biomolecular
P49711	F701F3BC	PcG body	biomolecular
Q14190	F701F3BC	PcG body	biomolecular
Q06587	F701F3BC	PcG body	biomolecular
Q15910	F701F3BC	PcG body	biomolecular
Q6ZN18	F701F3BC	PcG body	biomolecular
Q13310	F85A2E29	IMP1 RNP granule	biomolecular
P46781	F85A2E29	IMP1 RNP granule	biomolecular
Q14103	F85A2E29	IMP1 RNP granule	biomolecular
P05388	F85A2E29	IMP1 RNP granule	biomolecular
Q09161	F85A2E29	IMP1 RNP granule	biomolecular
