distance_aa	target_within_distance	target_total	background_within_distance	background_total	target_fraction_within_distance	background_fraction_within_distance	odds_ratio	log2_odds_ratio	p_value	q_value
1	668	6221	9114	65693	0.10737823501044848	0.13873624282648075	0.7472413413293162	-0.42035382013839945	1.5428507217461728e-12	2.0571342956615637e-11
2	946	6221	12501	65693	0.15206558431120398	0.1902942474845113	0.763387893026337	-0.38951178861863006	4.560175855738762e-14	1.824070342295505e-12
3	1200	6221	15253	65693	0.19289503295290147	0.23218607766428692	0.7905668032808515	-0.3390407187174504	8.142204974427459e-13	1.628440994885492e-11
4	1430	6221	17762	65693	0.2298665809355409	0.2703788835949036	0.8056256758335614	-0.3118184311461152	2.7058870696991312e-12	2.705887069699131e-11
5	1645	6221	19989	65693	0.26442694100626907	0.30427899471785425	0.822093947732917	-0.2826248224116137	3.770542167318259e-11	3.0164337338546074e-10
6	1841	6221	21940	65693	0.29593312972190966	0.333977744965217	0.8383286675902352	-0.2544121300301087	8.487683871399149e-10	4.850105069370942e-09
7	2011	6221	23825	65693	0.323259926056904	0.36267182195972175	0.8395213470115667	-0.25236108498869964	4.854342833283049e-10	3.2362285555220324e-09
8	2179	6221	25479	65693	0.35026523067031023	0.3878495425692235	0.8509393688061132	-0.23287175432625576	4.896272546792089e-09	2.4481362733960443e-08
9	2328	6221	26918	65693	0.37421636392862884	0.4097544639459303	0.8614748719063782	-0.21511937934806669	4.49683776810743e-08	1.9985945636033023e-07
10	2502	6221	28306	65693	0.40218614370679956	0.43088304689997414	0.888648015677921	-0.17031599933178593	1.2401210511924863e-05	4.960484204769945e-05
11	2641	6221	29643	65693	0.4245298183571773	0.45123529143135493	0.8971989364835101	-0.1565001845956729	5.317360419236251e-05	0.0001417962778463
12	2789	6221	30797	65693	0.44832020575470183	0.4688018510343568	0.9208358667888299	-0.11898406698778025	0.0020385649688816013	0.004796623456192003
13	2912	6221	31894	65693	0.4680919466323742	0.48550073828261764	0.932605615453602	-0.10066097835273131	0.008928687674604472	0.017857375349208945
14	3044	6221	32968	65693	0.48931040025719336	0.5018495121245795	0.9510810351158099	-0.0723598263787386	0.059606976098026995	0.0822165187558993
15	3160	6221	33969	65693	0.5079569201093072	0.5170870564595923	0.9641112763208146	-0.052728425059374674	0.17160655232402766	0.22142780945035828
16	3277	6221	34900	65693	0.5267641858222151	0.5312590382536952	0.9821064122156224	-0.026048744422317912	0.4979149009250677	0.5532387788056308
17	3389	6221	35813	65693	0.5447677222311526	0.545157018251564	0.9984051535197094	-0.002302713834096978	0.9575113314230587	0.9680351941925412
18	3479	6221	36719	65693	0.5592348497026202	0.558948441995342	1.0011275110183595	0.0016257382079975092	0.9680351941925411	0.9680351941925412
19	3571	6221	37533	65693	0.5740234688956759	0.5713394121139238	1.0109836759372908	0.015759702647011202	0.6876228603250146	0.743376065216232
20	3637	6221	38278	65693	0.5846326957080855	0.5826800420136088	1.0080166958548769	0.011519534500086902	0.7673057061463742	0.8076902169961834
21	3731	6221	39049	65693	0.5997428066227295	0.5944164522856317	1.0223250379637607	0.031853959587298815	0.41758448211221344	0.4912758613084864
22	3798	6221	39773	65693	0.6105127792959332	0.6054374134230436	1.021453666241706	0.030623764032599463	0.4391380054516953	0.5018720062305089
23	3872	6221	40460	65693	0.6224079729946954	0.6158951486459745	1.0279268850114704	0.03973765131905503	0.319369183071734	0.3871141612990715
24	3946	6221	41125	65693	0.6343031666934577	0.6260179927846193	1.036102491780249	0.05116672220346916	0.19741759356545643	0.24677199195682054
25	4015	6221	41747	65693	0.6453946310882495	0.6354862770767052	1.0438720547671168	0.06194489460446159	0.12253017019454693	0.1633735602593959
26	4085	6221	42341	65693	0.6566468413438354	0.6445283363524272	1.0546526762869188	0.07676796130318156	0.057471721150327636	0.08210245878618234
27	4144	6221	42919	65693	0.6661308471306864	0.6533268384759411	1.0585839588957633	0.08213569757316966	0.043133906553780174	0.0718898442563003
28	4193	6221	43456	65693	0.6740073943095966	0.661501225396922	1.0578713397596045	0.08116417492085229	0.04638335179179757	0.0742133628668761
29	4241	6221	43993	65693	0.6817231956277126	0.669675612317903	1.0563938166636107	0.07914776218858971	0.054920362486288156	0.08136349997968616
30	4291	6221	44505	65693	0.6897604886674168	0.6774694411885589	1.0583415316425844	0.08180526686218839	0.04837242426387459	0.07441911425211475
31	4345	6221	44961	65693	0.6984407651502974	0.6844108200264868	1.0678298769745034	0.09468182006369434	0.023108448028064575	0.042015360051026504
32	4388	6221	45435	65693	0.705352837164443	0.6916262006606487	1.0672033073540388	0.09383504267699895	0.02490577111112069	0.043314384541079456
33	4435	6221	45869	65693	0.712907892621765	0.6982326884142908	1.0730446647600238	0.10171012855173574	0.015695190614870087	0.029895601171181115
34	4487	6221	46292	65693	0.7212666773830574	0.7046717306257897	1.084313413555778	0.11678181834254987	0.005925682321459076	0.01247512067675595
35	4533	6221	46688	65693	0.7286609869795853	0.7106997701429376	1.0929541248609977	0.12823284728200085	0.0027976990739588597	0.006217109053241911
36	4588	6221	47057	65693	0.7375020093232599	0.7163168069657345	1.1124669050968115	0.15376241782024877	0.0003800755909222524	0.000950188977305631
37	4642	6221	47422	65693	0.7461822858061405	0.7218729545004795	1.1324578308077702	0.179457329814831	3.7028231761694795e-05	0.00011393302080521475
38	4677	6221	47824	65693	0.7518083909339335	0.7279923279497055	1.131586730688515	0.17834716448897686	4.810413173766212e-05	0.00013744037639332033
