window_start_aa	window_end_aa	window_center_aa	window_label	target_in_window	target_total	background_in_window	background_total	target_fraction_in_window	background_fraction_in_window	odds_ratio	log2_odds_ratio	p_value	q_value
1	5	3.0	1-5 aa	1253	6221	14787	65693	0.20141456357498794	0.22509247560622897	0.868515403593782	-0.20337665874237448	1.5674141438954833e-05	5.64269091802374e-05
2	6	4.0	2-6 aa	1173	6221	12826	65693	0.18855489471146117	0.19524150213873626	0.9580790458386883	-0.06178340517331618	0.2089679817859456	0.25940852911358764
3	7	5.0	3-7 aa	1065	6221	11324	65693	0.17119434174570006	0.17237757447521046	0.992052680629606	-0.01151136130636939	0.8330622892537325	0.8330622892537325
4	8	6.0	4-8 aa	979	6221	10226	65693	0.1573701977174088	0.1556634649049366	1.0133922310594925	0.019192673922860042	0.7282296856546624	0.7490362481019385
5	9	7.0	5-9 aa	898	6221	9156	65693	0.14434978299308793	0.13937558035102673	1.0421444597040748	0.059555274596515655	0.284116909866241	0.3409402918394892
6	10	8.0	6-10 aa	857	6221	8317	65693	0.13775920270053046	0.12660405218211987	1.1026714295235325	0.1410029653495255	0.012239645735439677	0.022031362323791416
7	11	9.0	7-11 aa	800	6221	7703	65693	0.12859668863526763	0.11725754646613794	1.1115030033772502	0.1525118466569504	0.008553400657547124	0.016446657301741305
8	12	10.0	8-12 aa	778	6221	6972	65693	0.1250602796977978	0.10613002907463505	1.2044506421667376	0.2683752738085974	6.30945462223783e-06	3.244862377150884e-05
9	13	11.0	9-13 aa	733	6221	6415	65693	0.11782671596206398	0.09765119571339412	1.2348469856276314	0.3043322833056667	6.710186684827199e-07	4.680056538600083e-06
10	14	12.0	10-14 aa	716	6221	6050	65693	0.11509403632856453	0.09209504817864918	1.2828955044774923	0.35940366355957437	7.602599845102668e-09	1.3684679721184803e-07
11	15	13.0	11-15 aa	658	6221	5663	65693	0.10577077640250764	0.08620400955961822	1.254569550781193	0.3271924530394149	3.632837705422481e-07	3.2695539348802332e-06
12	16	14.0	12-16 aa	636	6221	5257	65693	0.10223436746503778	0.08002374682234029	1.3099549973432074	0.3895172497589097	3.0084268577560482e-09	1.0830336687921773e-07
13	17	15.0	13-17 aa	600	6221	5016	65693	0.09644751647645074	0.07635516721720731	1.2920748082958364	0.36968960132675566	3.950522712630784e-08	4.74062725515694e-07
14	18	16.0	14-18 aa	567	6221	4825	65693	0.09114290307024595	0.07344770371272434	1.2659656937362422	0.34023830986325443	7.800094231000139e-07	4.680056538600083e-06
15	19	17.0	15-19 aa	527	6221	4565	65693	0.08471306863848256	0.06948989998934438	1.2402871909818434	0.3106742182187919	1.2251301166984851e-05	4.9005204667939405e-05
16	20	18.0	16-20 aa	477	6221	4309	65693	0.07667577559877833	0.06559298555401641	1.184003482560552	0.2436733244343028	0.000964351533438072	0.0026705119387515843
17	21	19.0	17-21 aa	454	6221	4149	65693	0.07297862080051438	0.06315741403193643	1.168798816533742	0.22502662245513902	0.002867050476212254	0.007372415510260082
18	22	20.0	18-22 aa	409	6221	3960	65693	0.06574505706478058	0.060280395171479456	1.0981503964553188	0.13507565121165488	0.08517565809178998	0.11356754412238663
19	23	21.0	19-23 aa	393	6221	3741	65693	0.06317312329207522	0.056946706650632485	1.1178950231774676	0.16078471711487038	0.0460321225761349	0.06904818386420235
20	24	22.0	20-24 aa	375	6221	3592	65693	0.06027969779778171	0.05467858067069551	1.1102462137206441	0.15087965128181974	0.06714087731750173	0.09296429167038701
21	25	23.0	21-25 aa	378	6221	3469	65693	0.06076193538016396	0.05280623506309653	1.1616822650136795	0.21621552711440592	0.00868018024258569	0.016446657301741305
22	26	24.0	22-26 aa	354	6221	3292	65693	0.05690403472110593	0.05011188406679555	1.1450709236722496	0.19543695907450964	0.021527183176093617	0.03522629974269865
23	27	25.0	23-27 aa	346	6221	3146	65693	0.05561806783475325	0.04788942505289757	1.1723050290184283	0.22934800200916414	0.007924433525684843	0.016446657301741305
24	28	26.0	24-28 aa	321	6221	2996	65693	0.05159942131490114	0.04560607675094759	1.1400610403406408	0.1891110702138784	0.0340501379880485	0.05329586815520635
25	29	27.0	25-29 aa	295	6221	2868	65693	0.04742002893425494	0.043657619533283606	1.0920443993919413	0.1270315132911104	0.16435466479510213	0.21131314045084562
26	30	28.0	26-30 aa	276	6221	2758	65693	0.044365857579167334	0.04198316411185362	1.0610343664943886	0.08547138534605571	0.37292865172651446	0.42666199432518176
27	31	29.0	27-31 aa	260	6221	2620	65693	0.041793923806461984	0.03988248367405964	1.0517558742822253	0.07279987589055642	0.456758651536067	0.49828216531207303
28	32	30.0	28-32 aa	244	6221	2516	65693	0.03922199003375663	0.038299362184707655	1.0268920233111403	0.0382844916627442	0.7041563171465853	0.7455772769787374
29	33	31.0	29-33 aa	242	6221	2413	65693	0.03890049831216846	0.03673146301736867	1.063333439178016	0.08859406687550064	0.3792551060668282	0.42666199432518176
30	34	32.0	30-34 aa	246	6221	2299	65693	0.0395434817553448	0.03499611830788669	1.137262816426479	0.18556569322770744	0.06702318487427678	0.09296429167038701
31	35	33.0	31-35 aa	242	6221	2183	65693	0.03890049831216846	0.0332303289543787	1.1796120716470535	0.238312491513836	0.02053446201002204	0.03520193487432349
32	36	34.0	32-36 aa	243	6221	2096	65693	0.03906124417296255	0.03190598693924771	1.235526057569236	0.3051254378050924	0.003108382228129397	0.007460117347510553
33	37	35.0	33-37 aa	254	6221	1987	65693	0.04082944864169748	0.030246753839830727	1.36701086862012	0.4510247133477876	1.0878378278812506e-05	4.8952702254656277e-05
34	38	36.0	34-38 aa	242	6221	1955	65693	0.03890049831216846	0.02975963953541473	1.3218765282361544	0.402587426149332	0.00011318251103734376	0.0003704154906676705
35	39	37.0	35-39 aa	229	6221	1880	65693	0.036810802121845364	0.028617965384439743	1.299612484230654	0.3780815075451509	0.00039553152805796223	0.0011865945841738866
36	40	38.0	36-40 aa	212	6221	1838	65693	0.03407812248834593	0.02797862785989375	1.228160910034047	0.29649959075700527	0.006695878495949998	0.015065726615887495
