side	distance_aa	count_within_distance	total_on_side	fraction_within_distance	expected_count_within_distance	expected_total_site_weighted	expected_fraction_within_distance	obs_minus_expected_fraction
N	1	25	1994	0.012537612838515547	23.631891340137024	1994	0.011851500170580252	0.0006861126679352948
N	2	37	1994	0.018555667001003008	36.904540244660105	1994	0.018507793502838567	4.7873498164440614e-05
N	3	61	1994	0.030591775325977934	59.411727813133595	1994	0.029795249655533398	0.000796525670444536
N	4	74	1994	0.037111334002006016	70.56691865070806	1994	0.03538962820998398	0.0017217057920220352
N	5	89	1994	0.044633901705115345	84.45263293642238	1994	0.042353376598005206	0.0022805251071101387
N	6	104	1994	0.05215646940822467	99.010172618962	1994	0.049654048454845535	0.0025024209533791378
N	7	111	1994	0.055667001003009024	107.95760851639793	1994	0.05414122794202504	0.0015257730609839829
N	8	122	1994	0.06118355065195587	121.23977326431607	1994	0.06080229351269612	0.0003812571392597455
N	9	146	1994	0.0732196589769308	144.87511607465893	1994	0.07265552461116295	0.0005641343657678405
N	10	158	1994	0.07923771313941826	162.06207947732003	1994	0.08127486433165498	-0.0020371511922367275
N	11	167	1994	0.08375125376128385	173.29149251124673	1994	0.0869064656525811	-0.0031552118912972493
N	12	186	1994	0.09327983951855567	192.57980857479134	1994	0.09657964321704682	-0.003299803698491144
N	13	195	1994	0.09779338014042126	206.20979424227684	1994	0.10341514254878477	-0.005621762408363512
N	14	208	1994	0.10431293881644935	217.9840366665196	1994	0.10931997826806399	-0.005007039451614639
N	15	225	1994	0.11283851554663991	235.0386884474872	1994	0.11787296311308285	-0.005034447566442932
N	16	237	1994	0.11885656970912738	247.98822086948655	1994	0.12436721207095615	-0.005510642361828771
N	17	254	1994	0.12738214643931794	266.40770685354164	1994	0.133604667429058	-0.006222520989740049
N	18	270	1994	0.1354062186559679	284.8153272763163	1994	0.142836172154622	-0.007429953498654079
N	19	293	1994	0.1469408224674022	303.10688395111856	1994	0.15200947038671944	-0.005068647919317243
N	20	305	1994	0.15295887662988966	316.99163507788313	1994	0.1589727357461801	-0.006013859116290432
N	21	322	1994	0.16148445336008024	332.60398754523567	1994	0.16680240097554447	-0.005317947615464225
N	22	335	1994	0.16800401203610832	347.9576730271188	1994	0.17450234354419197	-0.0064983315080836546
N	23	346	1994	0.17352056168505517	357.23780436920634	1994	0.17915637129849868	-0.00563580961344351
N	24	363	1994	0.18204613841524575	374.26142582155165	1994	0.1876937942936568	-0.00564765587841104
N	25	374	1994	0.18756268806419257	384.8354165581229	1994	0.192996698374184	-0.005434010309991438
N	26	392	1994	0.19658976930792377	403.21100909322126	1994	0.2022121409695192	-0.005622371661595432
N	27	406	1994	0.20361083249749248	418.1517294214863	1994	0.20970497964969223	-0.006094147152199747
N	28	419	1994	0.21013039117352056	428.54949459862604	1994	0.2149195058167633	-0.004789114643242748
N	29	436	1994	0.21865596790371114	443.2298429052902	1994	0.22228176675290381	-0.003625798849192674
N	30	443	1994	0.22216649949849548	450.92267528131265	1994	0.2261397569113905	-0.003973257412895004
N	31	457	1994	0.2291875626880642	462.8726683438053	1994	0.23213273236900966	-0.002945169680945464
N	32	466	1994	0.2337011033099298	473.0186144304488	1994	0.2372209701256012	-0.003519866815671402
N	33	479	1994	0.24022066198595787	486.55303199009535	1994	0.2440085416199074	-0.0037878796339495258
N	34	487	1994	0.24423269809428286	495.5600635020348	1994	0.24852560857674763	-0.0042929104824647735
N	35	499	1994	0.2502507522567703	510.9940039163294	1994	0.2562657993562334	-0.0060150470994631
N	36	512	1994	0.2567703109327984	523.6473494473295	1994	0.262611509251419	-0.005841198318620622
N	37	528	1994	0.26479438314944836	537.2297463758699	1994	0.2694231426157823	-0.004628759466333954
N	38	535	1994	0.2683049147442327	543.5626188533531	1994	0.2725991067469173	-0.004294192002684605
N	39	543	1994	0.2723169508525577	552.2615182250981	1994	0.2769616440446831	-0.004644693192125404
N	40	552	1994	0.2768304914744233	561.7620689663465	1994	0.28172621312254087	-0.004895721648117579
N	41	565	1994	0.28335005015045134	575.7280672955025	1994	0.2887302243207134	-0.005380174170262042
N	42	571	1994	0.28635907723169507	582.5155677829111	1994	0.292134186450808	-0.0057751092191129505
N	43	583	1994	0.29237713139418253	595.365621177792	1994	0.29857854622757873	-0.006201414833396202
N	44	594	1994	0.2978936810431294	605.4591635003039	1994	0.30364050325993175	-0.005746822216802339
N	45	606	1994	0.3039117352056169	617.2471816225332	1994	0.30955224755392835	-0.005640512348311477
N	46	611	1994	0.30641925777331996	627.1666903699247	1994	0.3145269259628509	-0.008107668189530959
N	47	620	1994	0.31093279839518556	639.4631658389004	1994	0.32069366391118376	-0.009760865515998196
N	48	631	1994	0.3164493480441324	650.9589781136829	1994	0.32645886565380283	-0.010009517609670449
N	49	640	1994	0.320962888665998	661.9521786395078	1994	0.33197200533576116	-0.011009116669763175
N	50	653	1994	0.3274824473420261	674.2296044692689	1994	0.3381291898040466	-0.01064674246202052
N	51	665	1994	0.33350050150451355	687.7756772269207	1994	0.3449226064327586	-0.01142210492824508
N	52	672	1994	0.3370110330992979	697.6125504431272	1994	0.3498558427498131	-0.012844809650515154
N	53	676	1994	0.33901705115346037	703.0078129420659	1994	0.35256159124476727	-0.0135445400913069
N	54	692	1994	0.34704112337011034	715.7261082168122	1994	0.3589398737295949	-0.011898750359484567
N	55	697	1994	0.34954864593781343	722.2596871378913	1994	0.36221649304808995	-0.01266784711027652
N	56	705	1994	0.35356068204613844	729.8785806474825	1994	0.36603740253133527	-0.012476720485196824
N	57	717	1994	0.3595787362086259	738.4979622986485	1994	0.3703600613333242	-0.010781325124698315
N	58	727	1994	0.3645937813440321	747.6987618107336	1994	0.37497430381681723	-0.010380522472785148
N	59	737	1994	0.3696088264794383	756.6926641344639	1994	0.3794847864265115	-0.009875959947073187
N	60	748	1994	0.37512537612838515	766.7540603663145	1994	0.3845306220493052	-0.009405245920920069
N	61	758	1994	0.3801404212637914	776.156660300494	1994	0.38924606835531295	-0.009105647091521563
N	62	767	1994	0.384653961885657	782.6528907275537	1994	0.39250395723548326	-0.007849995349826278
N	63	780	1994	0.39117352056168503	792.7292192449179	1994	0.39755728146685954	-0.006383760905174507
N	64	790	1994	0.39618856569709127	801.439984586512	1994	0.40192576960206217	-0.0057372039049709
N	65	793	1994	0.39769307923771313	809.6474515359332	1994	0.4060418513219324	-0.008348772084219247
N	66	805	1994	0.4037111334002006	818.9326332401939	1994	0.41069841185566397	-0.006987278455463375
N	67	815	1994	0.40872617853560683	829.3691579332984	1994	0.415932376094934	-0.0072061975593271654
N	68	827	1994	0.4147442326980943	842.0883812698447	1994	0.4223111240069432	-0.007566891308848911
N	69	835	1994	0.41875626880641925	852.0782527287946	1994	0.4273210896332972	-0.008564820826877928
N	70	843	1994	0.4227683049147442	861.6081345875872	1994	0.4321003683989906	-0.009332063484246367
N	71	852	1994	0.4272818455366098	869.4948060699616	1994	0.43605556974421344	-0.00877372420760364
N	72	863	1994	0.4327983951855567	879.5910437726501	1994	0.44111887852189074	-0.008320483336334061
N	73	870	1994	0.436308926780341	884.6222111763182	1994	0.4436420316832087	-0.007333104902867704
N	74	876	1994	0.43931795386158473	893.094774349579	1994	0.4478910603558571	-0.008573106494272342
N	75	883	1994	0.4428284854563691	900.9769137226211	1994	0.451843988827794	-0.009015503371424871
N	76	897	1994	0.4498495486459378	910.2934438722759	1994	0.45651627074838314	-0.006666722102445344
N	77	901	1994	0.4518555667001003	915.1616289279617	1994	0.4589576875265605	-0.007102120826460223
N	78	910	1994	0.4563691073219659	922.0611093849868	1994	0.46241780811684396	-0.00604870079487807
N	79	919	1994	0.4608826479438315	933.6590631394048	1994	0.46823423427252	-0.007351586328688486
N	80	928	1994	0.4653961885656971	941.1790485001785	1994	0.47200554087270735	-0.006609352307010263
N	81	936	1994	0.46940822467402205	951.1909751787796	1994	0.4770265672912636	-0.007618342617241536
N	82	945	1994	0.47392176529588764	958.6507840826908	1994	0.4807676951267256	-0.006845929830837982
N	83	959	1994	0.4809428284854564	967.9758327468417	1994	0.48544424912078316	-0.004501420635326769
N	84	969	1994	0.48595787362086257	974.5206739542282	1994	0.4887265165266942	-0.0027686429058316198
N	85	976	1994	0.48946840521564694	979.6869830036984	1994	0.49131744383334924	-0.0018490386177023033
N	86	987	1994	0.49498495486459376	990.1732717149868	1994	0.4965763649523504	-0.0015914100877566506
N	87	994	1994	0.49849548645937813	995.2188168104958	1994	0.49910672859102095	-0.0006112421316428196
N	88	999	1994	0.5010030090270813	1002.1030205696995	1994	0.5025591878483949	-0.0015561788213136474
N	89	1007	1994	0.5050150451354062	1009.1406097475115	1994	0.5060885705855123	-0.0010735254501060831
N	90	1013	1994	0.5080240722166499	1015.5080677323605	1994	0.5092818795046943	-0.0012578072880443658
N	91	1018	1994	0.5105315947843531	1023.9788167900659	1994	0.5135299983902035	-0.0029984036058504637
N	92	1023	1994	0.5130391173520562	1030.4396332519623	1994	0.5167701270070022	-0.0037310096549459937
N	93	1025	1994	0.5140421263791374	1034.6004943138103	1994	0.5188568176097343	-0.004814691230596968
N	94	1032	1994	0.5175526579739218	1042.5030018839198	1994	0.5228199608244332	-0.005267302850511357
N	95	1036	1994	0.5195586760280843	1048.7358690167866	1994	0.5259457718238649	-0.006387095795780673
