category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value
Sm / Lsm	12	0.0008746993221080254	44	0.00022012987662721006	4.095160321893821	2.0339199332029367	0.00019118146975756158	0.00029739339740065136
RRM / KH RNA-binding	1055	0.07690064873533056	4657	0.023298746260293574	3.4934446728291326	1.8046502918751717	4.875868252071712e-216	6.826215552900397e-215
Ribosome / RNP structural	218	0.015890371018295796	1067	0.0053381495082098435	3.014059189017163	1.5917077483435287	5.794545204066806e-39	2.704121095231176e-38
dsRNA-binding	19	0.0013849405933377067	176	0.0008805195065088403	1.610444212608605	0.6874586851933014	0.0767360783300404	0.08952542471838047
DNA-binding	160	0.011662657628107006	1810	0.009055342652164778	1.294961972658906	0.37290973292191987	0.0026664622894853815	0.003733047205279534
No domain annotation	3140	0.22887965595159998	38689	0.1935591999279575	1.2367674961024464	0.3065743089258405	3.9829355616059024e-23	1.394027446562066e-22
RNA-associated zinc finger	104	0.007580727458269553	1252	0.006263695580392432	1.217169040421599	0.2835295434358425	0.06638870273171915	0.08449471256764256
Chromatin catalytic / remodeler	99	0.007216269407391209	1441	0.00720925345954113	1.005652377425873	0.008131696761182874	0.9584281456881831	0.9584281456881831
RNA helicase	250	0.018222902543917195	3984	0.019931759738245566	0.914352243903141	-0.12917804050745324	0.1733089863378933	0.18664044682542352
Catalytic enzyme domain	804	0.0586048545812377	14223	0.07115698261974565	0.8130654824609691	-0.29855654650175356	1.3414157179896977e-08	3.129970008642628e-08
Other domain	6892	0.5023689773307093	113637	0.5685204270519607	0.7661782857821366	-0.38424795588926347	3.0451725296865665e-51	2.1316207707805966e-50
Repeat / superfamily	482	0.03513375610467235	9186	0.04595711469767163	0.7566307500429023	-0.40233868509679754	1.2153750602917937e-09	3.4030501688170224e-09
Protein-protein repeat / scaffold	373	0.027188570595524455	7198	0.03601124663551496	0.749079629042399	-0.41680900595190096	2.2637195253824486e-08	4.527439050764898e-08
Chromatin reader	111	0.008090968729499234	2518	0.012597432485166248	0.6420837713329052	-0.6391665598415581	1.2010856578515783e-06	2.1018999012402623e-06
