outside_domain_idr_length_bin	observed_sites_in_length_bin	category	observed_count	observed_fraction	expected_count_length_conditioned	expected_fraction_length_conditioned	enrichment_ratio_vs_length_null	log2_enrichment_vs_length_null	binomial_p_value	q_value
<=40 aa	1297	Domain edge <=20 aa	395	0.3045489591364688	402.9650432900433	0.3106900873477589	0.9802339100557905	-0.028802038913904517	0.6527329813461016	0.955628677978514
<=40 aa	1297	Domain edge 21-40 aa	214	0.16499614494988435	204.68575036075035	0.15781476512008508	1.0455051200331906	0.0642001270909608	0.4694480449893229	0.955628677978514
<=40 aa	1297	Domain-distal >40 aa	688	0.5304548959136469	689.3492063492064	0.531495147532156	0.9980427824725415	-0.0028264348979193674	0.955628677978514	0.955628677978514
41-80 aa	975	Domain edge <=20 aa	126	0.12923076923076923	137.6873195771937	0.1412177636689166	0.9151169503983171	-0.12797196572246672	0.3115328369468001	0.6744480877573006
41-80 aa	975	Domain edge 21-40 aa	158	0.16205128205128205	152.57914812748908	0.15649143397691187	1.0355281304099397	0.05036674530316726	0.6278172544046725	0.6744480877573006
41-80 aa	975	Domain-distal >40 aa	691	0.7087179487179487	684.7335322953172	0.7022908023541715	1.0091516880788307	0.013143045793233527	0.6744480877573007	0.6744480877573006
81-160 aa	927	Domain edge <=20 aa	72	0.07766990291262135	71.8793118426336	0.07753971072560259	1.001679038853775	0.0024203096989186823	0.9510751790611072	0.9510751790611072
81-160 aa	927	Domain edge 21-40 aa	95	0.10248112189859762	98.81437788282688	0.10659587689625337	0.9613985538890916	-0.056793461474592306	0.7493873262244426	0.9510751790611072
81-160 aa	927	Domain-distal >40 aa	760	0.819848975188781	756.3063102745396	0.8158644123781441	1.0048838541676581	0.00702876239968025	0.7993070047312801	0.9510751790611072
>160 aa	1216	Domain edge <=20 aa	30	0.024671052631578948	43.09003342169848	0.0354358827481073	0.6962166797692285	-0.5223917167176232	0.04323844492764464	0.06485766739146696
>160 aa	1216	Domain edge 21-40 aa	45	0.03700657894736842	56.25245466955609	0.046260242326937574	0.7999650906674844	-0.32199105066208855	0.13290488498989206	0.13290488498989206
>160 aa	1216	Domain-distal >40 aa	1141	0.9383223684210527	1116.6575119087452	0.9183038749249549	1.0217994217847917	0.03111202445912605	0.010192352031937826	0.030577056095813477
