distance_aa	target_within_distance	target_total	background_within_distance	background_total	target_fraction_within_distance	background_fraction_within_distance	odds_ratio	log2_odds_ratio	p_value	q_value
1	40	4415	301	44411	0.009060022650056626	0.006777600144108441	1.354197473380441	0.4374381326304838	0.0876291071396378	0.08987600732270543
2	70	4415	566	44411	0.015855039637599093	0.012744590304203914	1.2556669848377708	0.3284538981259885	0.09431756533867922	0.09431756533867922
3	109	4415	814	44411	0.024688561721404302	0.01832879241629326	1.3610063933935148	0.44467384398772236	0.004436790445741034	0.005545988057176292
4	136	4415	1072	44411	0.030804077010192527	0.024138163968386212	1.2889207532740656	0.3661635651944582	0.008175634256004306	0.009343582006862063
5	165	4415	1295	44411	0.03737259343148358	0.029159442480466553	1.2958778296157951	0.3739297128865203	0.002990831120942092	0.003859136930247861
6	189	4415	1556	44411	0.04280860702151756	0.03503636486456058	1.234484900902703	0.30390919085411805	0.009464336225719825	0.010515929139688693
7	212	4415	1812	44411	0.048018120045300115	0.04080070252865281	1.1881584722091196	0.24872727033297054	0.02398680830801181	0.025931684657310064
8	239	4415	2094	44411	0.05413363533408833	0.04715048073675441	1.1585977217900394	0.212379733280096	0.04179463000201232	0.04399434737053929
9	283	4415	2360	44411	0.06409966024915062	0.05313998784085024	1.2221307968297037	0.2893986958273009	0.002690317565611137	0.0036840786601132977
10	310	4415	2650	44411	0.07021517553793885	0.05966990160095472	1.1916365867229743	0.2529443243307333	0.00603485609130372	0.007099830695651435
11	337	4415	2900	44411	0.07633069082672707	0.06529913760104479	1.184319465534566	0.24405829479713842	0.005772997472261205	0.006997572693649945
12	376	4415	3188	44411	0.08516421291053228	0.07178401747314854	1.2050243107584517	0.26906225239454484	0.0014371698719912963	0.0020530998171304233
13	399	4415	3437	44411	0.09037372593431484	0.07739073652923825	1.1856048527098446	0.24562325775478194	0.0027630589950849733	0.0036840786601132977
14	435	4415	3719	44411	0.0985277463193658	0.08374051473733984	1.1969619369895372	0.25937727576550873	0.0010283783518212348	0.0015235234841796074
15	468	4415	3969	44411	0.10600226500566251	0.08936975073742992	1.2091763502916195	0.27402466736418357	0.0003206204272604057	0.0004932621957852395
16	498	4415	4246	44411	0.11279728199320499	0.0956069442255297	1.2035889911516156	0.26734281596832943	0.0003197339838154419	0.0004932621957852395
17	534	4415	4472	44411	0.12095130237825595	0.10069577356961114	1.22970345565062	0.29831045000101053	3.4901188745603535e-05	6.069771955757136e-05
18	559	4415	4711	44411	0.12661381653454135	0.10607732318569724	1.2224849919714058	0.2898167538144555	4.1860258050214175e-05	6.976709675035696e-05
19	592	4415	4946	44411	0.13408833522083805	0.1113688050257819	1.2363654381600664	0.306105230214627	9.310026276051343e-06	1.6927320501911532e-05
20	623	4415	5208	44411	0.14110985277463195	0.1172682443538763	1.237436840254467	0.30735489078655104	5.273258675888578e-06	1.0546517351777157e-05
21	649	4415	5439	44411	0.14699886749716876	0.12246965841795951	1.2354935095946435	0.305087431791573	3.978086607618623e-06	8.374919173933944e-06
22	677	4415	5723	44411	0.15334088335220838	0.12886447051406183	1.224988803788477	0.2927685632746562	6.3451825425877835e-06	1.2086061985881493e-05
23	706	4415	5949	44411	0.15990939977349944	0.13395329985814325	1.2312715116348418	0.3001489302200199	2.669029939324128e-06	5.931177642942506e-06
24	737	4415	6191	44411	0.16693091732729332	0.13940240030623044	1.2376326307125822	0.3075831396715853	1.0178958814867388e-06	2.3950491329099737e-06
25	769	4415	6407	44411	0.17417893544733862	0.14426606021030824	1.2516382151276921	0.323817612855375	1.5960876107378297e-07	3.990219026844574e-07
26	797	4415	6636	44411	0.18052095130237825	0.14942244038639077	1.2545074288986877	0.32712101407395866	8.146446080980861e-08	2.1723856215948964e-07
27	835	4415	6893	44411	0.18912797281993204	0.15520929499448335	1.2700138673952248	0.3448442499998778	8.61979683207106e-09	2.6522451790987876e-08
28	862	4415	7111	44411	0.19524348810872028	0.1601179887865619	1.2730815464354537	0.34832483311991513	3.7056119202576348e-09	1.347495243730049e-08
29	888	4415	7345	44411	0.20113250283125708	0.1653869536826462	1.2710148549850522	0.345980891938488	3.086886038470626e-09	1.2347544153882505e-08
30	907	4415	7561	44411	0.20543601359003397	0.170250613586724	1.2605514643115847	0.33405502005400495	7.602439365197465e-09	2.5341464550658214e-08
31	930	4415	7787	44411	0.21064552661381652	0.17533944293080544	1.255523757792257	0.3282893284300268	9.909087220092337e-09	2.8311677771692393e-08
32	959	4415	7974	44411	0.21721404303510758	0.1795501114588728	1.268392097525313	0.3430007941465081	1.4806999954869399e-09	6.580888868830843e-09
33	986	4415	8184	44411	0.2233295583238958	0.18427866969894846	1.2732465101237924	0.3485117629185426	5.361730473082535e-10	2.680865236541268e-09
34	1008	4415	8387	44411	0.22831257078142694	0.1888496093310216	1.271175361616842	0.3461630672300995	5.263556312560793e-10	2.680865236541268e-09
35	1033	4415	8591	44411	0.23397508493771235	0.1934430659070951	1.2738999627461423	0.3492519895905797	2.40552264603312e-10	1.924418116826496e-09
36	1059	4415	8791	44411	0.23986409966024916	0.19794645470716715	1.2789434450870154	0.354952469617155	8.332133269883654e-11	1.1109511026511539e-09
37	1087	4415	9004	44411	0.2462061155152888	0.20274256377924388	1.2847433125858583	0.36148014256974376	2.5417354933730014e-11	9.420999023861924e-10
38	1105	4415	9200	44411	0.25028312570781425	0.20715588480331448	1.2780217688273527	0.35391241023779896	4.7104995119309616e-11	9.420999023861924e-10
39	1119	4415	9379	44411	0.2534541336353341	0.211186417779379	1.2684181879365581	0.34303046960717243	1.5397398439527775e-10	1.5397398439527775e-09
40	1135	4415	9572	44411	0.2570781426953567	0.21553218797144852	1.2597768838227457	0.3331682439591139	3.861772359459761e-10	2.5745149063065072e-09
