category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	family	q_value
RNA-binding / RNP	1170	0.22986247544204322	428	0.026904702036711088	10.786091925919125	3.4311003294633915	0.0	broad	0.0
Translation / ribosome / biogenesis	527	0.10353634577603144	456	0.028664822730701534	3.912752517085484	1.968183862177178	1.1407505902393394e-91	broad	3.7074394182778534e-91
Nuclear scaffold / pore / lamina	175	0.0343811394891945	166	0.010435001257229067	3.375739181354073	1.7552034418700553	1.769884662120464e-27	broad	2.300850060756603e-27
Signaling / enzymes	1619	0.3180746561886051	2465	0.15495348252451596	2.5437306761875016	1.3469459297820874	2.16899878514508e-133	broad	1.409849210344302e-132
Proteostasis / ubiquitin / chaperone	490	0.0962671905697446	658	0.04136283630877546	2.469234180002718	1.3040636669008552	2.3910447142096784e-45	broad	3.885447660590728e-45
DNA repair / genome maintenance	314	0.06168958742632613	434	0.027281870756851897	2.344972274478149	1.2295708652953024	1.7346560911158703e-27	broad	2.300850060756603e-27
Cell cycle / centrosome / spindle	105	0.0206286836935167	146	0.009177772190093036	2.2768331916825004	1.1870285987438562	6.971166509354297e-10	broad	6.971166509354297e-10
Cytoplasmic / trafficking / cytoskeleton	1099	0.21591355599214146	1719	0.10805883832034197	2.2731286318407715	1.184679325716684	9.575953223744847e-79	broad	2.48974783817366e-78
Chromatin / transcription	1095	0.2151277013752456	1981	0.12452853909982399	1.9271713796870835	0.9464848734658413	4.009109131516496e-53	broad	7.445488387102064e-53
Mitochondrial / metabolism	420	0.0825147347740668	768	0.048277596178023637	1.7737767965532356	0.8268244793316057	9.661914665596287e-19	broad	1.141862642297743e-18
Poorly characterized / specialized	438	0.08605108055009823	1997	0.12553432235353282	0.6564027441609911	-0.6073468246841557	3.736443064024572e-15	broad	4.047813319359953e-15
Membrane / receptor / extracellular	715	0.14047151277013753	4090	0.2571033442293186	0.47246311878359587	-1.0817263802091397	9.8028715471948e-72	broad	2.1239555018922064e-71
Other / unclassified	584	0.11473477406679765	4331	0.2722529544883078	0.34667427104120474	-1.5283473261823535	1.2761561503517133e-131	broad	5.530009984857425e-131
