category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	family	q_value
mRNA processing / export / 3'-end	520	0.10216110019646366	71	0.004463163188332914	25.225373576210465	4.65680373002892	1.031911440013816e-244	subclass	2.7861608880373035e-243
RRM / KH RBPs	249	0.04891944990176817	36	0.002263012320844858	22.410063393123664	4.486074824807323	2.3779619985082247e-114	subclass	1.6051243489930517e-113
RNA-associated zinc finger / post-transcriptional	79	0.015520628683693517	17	0.0010686447070656273	14.405430367298072	3.8485408570506756	4.777674832701726e-33	subclass	1.289972204829466e-32
Stress granule / paraspeckle / P-body	42	0.008251473477406679	10	0.000628614533568016	12.746572532152408	3.672037463099535	1.3483431142303556e-17	subclass	1.82026320421098e-17
Chromatin readers	202	0.03968565815324165	76	0.004777470455116922	8.573091709835207	3.0998155765752893	1.2160994857905444e-65	subclass	5.472447686057449e-65
RNA helicases	87	0.017092337917485264	36	0.002263012320844858	7.604779394150122	2.926906397643152	1.5193366499414609e-27	subclass	3.729280868038131e-27
Poly(A) / stability RBPs	45	0.008840864440078585	20	0.001257229067136032	6.989340900246779	2.805156414859891	2.3033275101697507e-14	subclass	2.8268110352083306e-14
Spliceosome / splicing	112	0.02200392927308448	70	0.004400301734976113	5.076670106991981	2.3438825136680865	8.142458643951446e-27	subclass	1.691126026051454e-26
Translation / initiation / elongation	278	0.054616895874263265	196	0.012320844857933116	4.6274016060275605	2.2102023139196696	1.012072412927159e-58	subclass	3.9037078784333276e-58
hnRNP / RG-rich RBPs	127	0.024950884086444008	101	0.006349006789036962	4.00054635290825	2.000197041701345	2.226300742455111e-24	subclass	4.007341336419199e-24
Nuclear scaffold / pore / lamina	175	0.0343811394891945	166	0.010435001257229067	3.375739181354073	1.7552034418700553	1.769884662120464e-27	subclass	3.982240489771044e-27
Nucleolar / ribosome biogenesis	145	0.02848722986247544	159	0.009994971083731456	2.9050851776527153	1.5385804643443095	3.8863694664133353e-19	subclass	5.829554199620003e-19
Signaling / enzymes	1593	0.31296660117878194	2240	0.1408096555192356	2.7795228810581216	1.4748372584141676	3.001400263098557e-154	subclass	4.051890355183052e-153
Chromatin writers / remodelers	208	0.04086444007858546	257	0.016155393512698013	2.5956285326532744	1.3760839301609364	2.1823814363902003e-22	subclass	3.4661352225020827e-22
Junction / polarity / scaffold	220	0.043222003929273084	281	0.01766406839326125	2.5133105514531517	1.329588945536236	1.9609793204315214e-22	subclass	3.309152603228192e-22
Proteostasis / chaperone / proteasome	488	0.09587426326129667	658	0.04136283630877546	2.4580973250399962	1.2975420384009086	9.426321579998804e-45	subclass	2.8278964739996415e-44
Cell cycle / centrosome / spindle	104	0.02043222003929273	137	0.008612019109881821	2.4037581469968914	1.265291747263392	1.0113301710268296e-10	subclass	1.1377464424051834e-10
DNA repair / DDR	194	0.0381139489194499	260	0.01634397787276842	2.3861560012018455	1.254688366085572	2.4715075292198487e-18	subclass	3.512142278365048e-18
Cytoskeleton / trafficking	753	0.14793713163064834	1116	0.0701533819461906	2.3015828849675617	1.2026263980597414	2.1523570174606162e-58	subclass	7.26420493392958e-58
Endomembrane / coat trafficking	115	0.022593320235756387	171	0.010749308524013075	2.1301827936480593	1.0909772352278082	2.1842381739514275e-09	subclass	2.358977227867542e-09
Transcription / mediator / polymerase	379	0.07445972495088408	594	0.03733970329394016	2.074930468700004	1.0530629922945423	2.0123078667166268e-25	subclass	3.880879457239209e-25
Mitochondrial / metabolic enzymes	375	0.07367387033398821	733	0.04607744531053558	1.6474987092777398	0.7202773349636254	1.5457003883354968e-13	subclass	1.814517847176453e-13
DNA-binding transcription factors / developmental regulators	470	0.09233791748526522	1271	0.07989690721649484	1.1722525786639693	0.22928345263231323	0.005528195484299926	subclass	0.005740818387542231
Adhesion / intermediate filament scaffolds	67	0.013163064833005894	185	0.011629368871008298	1.1389448030912395	0.18769783112317298	0.37552154991672937	subclass	0.3755215499167294
Poorly characterized / specialized	438	0.08605108055009823	1996	0.12547146090017602	0.6567787287075326	-0.6065206920181446	4.482611052231828e-15	subclass	5.763357067155208e-15
Membrane / receptor / extracellular	591	0.11611001964636543	3615	0.22724415388483782	0.44698986130221846	-1.1616859865545988	1.159353010271769e-72	subclass	6.260506255467552e-72
Other / unclassified	741	0.1455795677799607	5093	0.3201533819461906	0.36199461607202693	-1.4659598545511159	1.2816685806028878e-141	subclass	1.153501722542599e-140
