category	target_count	background_count	total_class_count	methyl_fraction_in_class	odds_ratio	log2_odds_ratio	p_value	q_value
mRNA processing / export / 3'-end	520	71	591	0.8798646362098139	25.225373576210465	4.65680373002892	1.031911440013816e-244	2.7861608880373035e-243
RRM / KH RBPs	249	36	285	0.8736842105263158	22.410063393123664	4.486074824807323	2.3779619985082247e-114	1.6051243489930517e-113
RNA-associated zinc finger / post-transcriptional	79	17	96	0.8229166666666666	14.405430367298072	3.8485408570506756	4.777674832701726e-33	1.289972204829466e-32
Stress granule / paraspeckle / P-body	42	10	52	0.8076923076923077	12.746572532152408	3.672037463099535	1.3483431142303556e-17	1.82026320421098e-17
Chromatin readers	202	76	278	0.7266187050359713	8.573091709835207	3.0998155765752893	1.2160994857905444e-65	5.472447686057449e-65
RNA helicases	87	36	123	0.7073170731707317	7.604779394150122	2.926906397643152	1.5193366499414609e-27	3.729280868038131e-27
Poly(A) / stability RBPs	45	20	65	0.6923076923076923	6.989340900246779	2.805156414859891	2.3033275101697507e-14	2.8268110352083306e-14
Spliceosome / splicing	112	70	182	0.6153846153846154	5.076670106991981	2.3438825136680865	8.142458643951446e-27	1.691126026051454e-26
Translation / initiation / elongation	278	196	474	0.5864978902953587	4.6274016060275605	2.2102023139196696	1.012072412927159e-58	3.9037078784333276e-58
hnRNP / RG-rich RBPs	127	101	228	0.5570175438596491	4.00054635290825	2.000197041701345	2.226300742455111e-24	4.007341336419199e-24
