canonical_UniProtAC	primary_symbol	protein_name	functional_class_broad	ENTREZID
C9JG80	61E3.4	Nuclear pore complex-interacting protein family member B4	Cytoplasmic / trafficking / cytoskeleton;Nuclear scaffold / pore / lamina	NA
Q9NQ94	A1CF	APOBEC1 complementation factor; ; APOBEC1 complementation factor (APOBEC1-stimulating protein)	DNA repair / genome maintenance;RNA-binding / RNP	29974
P01023	A2M	Alpha-2-macroglobulin precursor; ; Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	Membrane / receptor / extracellular;Signaling / enzymes	2
Q9NPC4	A4GALT	Lactosylceramide 4-alpha-galactosyltransferase; ; Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)	Signaling / enzymes	53947
P22760	AADAC	Arylacetamide deacetylase; ; Arylacetamide deacetylase (EC 3.1.1.3)	Chromatin / transcription;Signaling / enzymes	13
Q2M2I8	AAK1	AP2-associated protein kinase 1; ; AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	Signaling / enzymes	22848
Q9H7C9	AAMDC	Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein)	Other / unclassified	28971
E9PR47	AAMDC		Other / unclassified	28971
C9JEH3	AAMP		RNA-binding / RNP;Translation / ribosome / biogenesis	14
Q13685	AAMP	Angio-associated migratory cell protein; ; Angio-associated migratory cell protein	RNA-binding / RNP;Translation / ribosome / biogenesis	14
