canonical_UniProtAC	primary_symbol	protein_name	functional_class_broad	ENTREZID
Q9H7C9	AAMDC	Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein)	Other / unclassified	28971
E9PR47	AAMDC		Other / unclassified	28971
Q8NFV4	ABHD11	sn-1-specific diacylglycerol lipase ABHD11 (EC 3.1.1.116) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)	Other / unclassified	83451
Q8N6N7	ACBD7	Acyl-CoA-binding domain-containing protein 7	Other / unclassified	414149
P35611	ADD1	Alpha-adducin; ; Alpha-adducin (Erythrocyte adducin subunit alpha)	Other / unclassified	118
Q9UEY8	ADD3	Gamma-adducin; ; Gamma-adducin (Adducin-like protein 70)	Other / unclassified	120
O00116	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal precursor; ; Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	Other / unclassified	8540
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK; ; Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	Other / unclassified	79026
Q96B36	AKT1S1	Proline-rich AKT1 substrate 1; ; Proline-rich AKT1 substrate 1 (40 kDa proline-rich AKT substrate)	Other / unclassified	84335
O75342	ALOX12B	Arachidonate 12-lipoxygenase, 12R-type; ; Arachidonate 12-lipoxygenase, 12R-type (12R-LOX) (12R-lipoxygenase) (EC 1.13.11.-) (Epidermis-type lipoxygenase 12)	Other / unclassified	242
O95841	ANGPTL1	Angiopoietin-related protein 1 (Angiopoietin-3) (ANG-3) (Angiopoietin-like protein 1)	Other / unclassified	9068
Q9BY76	ANGPTL4	Angiopoietin-related protein 4 precursor; ; Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP) [Cleaved into: ANGPTL4 N-terminal chain; ANGPTL4 C-terminal chain]	Other / unclassified	51129
Q86XS5	ANGPTL5	Angiopoietin-related protein 5 precursor; ; Angiopoietin-related protein 5 (Angiopoietin-like protein 5)	Other / unclassified	253935
Q6AI12	ANKRD40	Ankyrin repeat domain-containing protein 40; ; Ankyrin repeat domain-containing protein 40	Other / unclassified	91369
Q92625	ANKS1A	Ankyrin repeat and SAM domain-containing protein 1A; ; Ankyrin repeat and SAM domain-containing protein 1A (Odin)	Other / unclassified	23294
P50995	ANXA11	Annexin A11; ; Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	Other / unclassified	311
P09525	ANXA4	Annexin A4; ; Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)	Other / unclassified	307
P08758	ANXA5	Annexin A5; ; Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	Other / unclassified	308
P08133	ANXA6	Annexin A6; ; Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	Other / unclassified	309
P20073	ANXA7	Annexin A7; ; Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	Other / unclassified	310
Q5VT79	ANXA8	Annexin A8-like protein 1	Other / unclassified	653145
Q9NWB6	ARGLU1	Arginine and glutamate-rich protein 1; ; Arginine and glutamate-rich protein 1	Other / unclassified	55082
E9PMR6	ARHGEF12		Other / unclassified	23365
Q9NZN5	ARHGEF12	Rho guanine nucleotide exchange factor 12; ; Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)	Other / unclassified	23365
O94989	ARHGEF15	Rho guanine nucleotide exchange factor 15; ; Rho guanine nucleotide exchange factor 15 (Ephexin-5) (E5) (Vsm-RhoGEF)	Other / unclassified	22899
Q5VV41	ARHGEF16	Rho guanine nucleotide exchange factor 16; ; Rho guanine nucleotide exchange factor 16 (Ephexin-4)	Other / unclassified	27237
Q96DR7	ARHGEF26	Rho guanine nucleotide exchange factor 26; ; Rho guanine nucleotide exchange factor 26 (SH3 domain-containing guanine exchange factor)	Other / unclassified	26084
Q8TER5	ARHGEF40	Rho guanine nucleotide exchange factor 40; ; Rho guanine nucleotide exchange factor 40 (Protein SOLO) (Scambio) (Sabi)	Other / unclassified	55701
A0A2R8YF49	ARHGEF5		Other / unclassified	7984
O43307	ARHGEF9	Rho guanine nucleotide exchange factor 9; ; Rho guanine nucleotide exchange factor 9 (Collybistin) (PEM-2 homolog) (Rac/Cdc42 guanine nucleotide exchange factor 9)	Other / unclassified	23229
Q9Y2Y0	ARL2BP	ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (ARL2-binding protein) (Binder of ARF2 protein 1)	Other / unclassified	23568
Q7Z6K5	ARPIN	Arpin (Arp2/3 inhibition protein)	Other / unclassified	348110
P56211	ARPP19	cAMP-regulated phosphoprotein 19; ; cAMP-regulated phosphoprotein 19 (ARPP-19)	Other / unclassified	10776
Q9UBL0	ARPP21	cAMP-regulated phosphoprotein 21; ; cAMP-regulated phosphoprotein 21 (ARPP-21) (Thymocyte cAMP-regulated phosphoprotein)	Other / unclassified	10777
D6RG30	ASTE1		Other / unclassified	28990
P54253	ATXN1	Ataxin-1; ; Ataxin-1 (Spinocerebellar ataxia type 1 protein)	Other / unclassified	6310
P0C7T5	ATXN1L	Ataxin-1-like; ; Ataxin-1-like (Brother of ataxin-1) (Brother of ATXN1)	Other / unclassified	342371
F5H4C0	ATXN3		Other / unclassified	4287
O15265	ATXN7	Ataxin-7; ; Ataxin-7 (Spinocerebellar ataxia type 7 protein)	Other / unclassified	6314
Q9ULK2	ATXN7L1	Ataxin-7-like protein 1; ; Ataxin-7-like protein 1 (Ataxin-7-like protein 4)	Other / unclassified	222255
Q9NQS1	AVEN	Cell death regulator Aven; ; Cell death regulator Aven	Other / unclassified	57099
Q92934	BAD	Bcl2-associated agonist of cell death; ; Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)	Other / unclassified	572
O75531	BANF1	Barrier-to-autointegration factor; ; Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]	Other / unclassified	8815
Q07812	BAX	Apoptosis regulator BAX; ; Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	Other / unclassified	581
E9PAW3	BBC3		Other / unclassified	27113
Q9BXH1	BBC3	Bcl-2-binding component 3, isoforms 1/2; ; Bcl-2-binding component 3, isoforms 1/2 (JFY-1) (p53 up-regulated modulator of apoptosis)	Other / unclassified	27113
Q96PG8	BBC3	Bcl-2-binding component 3, isoforms 3/4 (JFY-1) (p53 up-regulated modulator of apoptosis)	Other / unclassified	27113
Q8IWZ6	BBS7	Bardet-Biedl syndrome 7 protein; ; BBSome complex member BBS7 (BBS2-like protein 1) (Bardet-Biedl syndrome 7 protein)	Other / unclassified	55212
Q9HB09	BCL2L12	Bcl-2-like protein 12; ; Bcl-2-like protein 12 (Bcl2-L-12) (Bcl-2-related proline-rich protein)	Other / unclassified	83596
Q4VC05	BCL7A	B-cell CLL/lymphoma 7 protein family member A; ; B-cell CLL/lymphoma 7 protein family member A	Other / unclassified	605
Q8WUZ0	BCL7C	B-cell CLL/lymphoma 7 protein family member C; ; B-cell CLL/lymphoma 7 protein family member C	Other / unclassified	9274
P11274	BCR	Breakpoint cluster region protein; ; Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)	Other / unclassified	613
Q5T5X7	BEND3	BEN domain-containing protein 3; ; BEN domain-containing protein 3	Other / unclassified	57673
Q5SZJ8	BEND6	BEN domain-containing protein 6	Other / unclassified	221336
F5H7H5	BEX2		Other / unclassified	84707
Q8TD16	BICD2	Protein bicaudal D homolog 2; ; Protein bicaudal D homolog 2 (Bic-D 2)	Other / unclassified	23299
P54132	BLM	RecQ-like DNA helicase BLM; ; RecQ-like DNA helicase BLM (EC 5.6.2.4) (Bloom syndrome protein) (DNA 3'-5' helicase BLM) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	Other / unclassified	641
Q2LD37	BLTP1	Bridge-like lipid transfer protein family member 1; ; Bridge-like lipid transfer protein family member 1 (Fragile site-associated protein)	Other / unclassified	84162
Q96IK1	BOD1	Biorientation of chromosomes in cell division protein 1; ; Biorientation of chromosomes in cell division protein 1 (Biorientation defective protein 1) (Protein FAM44B)	Other / unclassified	91272
Q8NFC6	BOD1L1	Biorientation of chromosomes in cell division protein 1-like 1; ; Biorientation of chromosomes in cell division protein 1-like 1	Other / unclassified	259282
Q9NW68	BSDC1	BSD domain-containing protein 1; ; BSD domain-containing protein 1	Other / unclassified	55108
Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 precursor; ; ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal cell antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPR hydrolase 2) (CD antigen CD157)	Other / unclassified	683
Q9BRD0	BUD13	BUD13 homolog; ; BUD13 homolog	Other / unclassified	84811
Q4AC94	C2CD3	C2 domain-containing protein 3; ; C2 domain-containing protein 3	Other / unclassified	26005
Q8TF44	C2CD4C	C2 calcium-dependent domain-containing protein 4C; ; C2 calcium-dependent domain-containing protein 4C (Nuclear-localized factor 3) (Protein FAM148C)	Other / unclassified	126567
O75493	CA11	Carbonic anhydrase-related protein 11 precursor; ; Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2)	Other / unclassified	770
P43166	CA7	Carbonic anhydrase 7 (EC 4.2.1.1) (Carbonate dehydratase VII) (Carbonic anhydrase VII) (CA-VII)	Other / unclassified	766
Q9NZU7	CABP1	Calcium-binding protein 1; ; Calcium-binding protein 1 (CaBP1) (Calbrain) (Caldendrin)	Other / unclassified	9478
P27482	CALML3	Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1)	Other / unclassified	810
P27797	CALR	Calreticulin precursor; ; Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	Other / unclassified	811
O43852	CALU	Calumenin precursor; ; Calumenin (Crocalbin) (IEF SSP 9302)	Other / unclassified	813
P49069	CAMLG	Guided entry of tail-anchored proteins factor CAMLG; ; Guided entry of tail-anchored proteins factor CAMLG (Calcium signal-modulating cyclophilin ligand)	Other / unclassified	819
Q9BX69	CARD6	Caspase recruitment domain-containing protein 6; ; Caspase recruitment domain-containing protein 6	Other / unclassified	84674
Q6XLA1	CASC2	Protein CASC2, isoform 3 (Cancer susceptibility candidate gene 2 protein, isoform 3)	Other / unclassified	255082
P04040	CAT	Catalase; ; Catalase (EC 1.11.1.6)	Other / unclassified	847
O95810	CAVIN2	Caveolae-associated protein 2; ; Caveolae-associated protein 2 (Cavin-2) (PS-p68) (Phosphatidylserine-binding protein) (Serum deprivation-response protein)	Other / unclassified	8436
Q13951	CBFB	Core-binding factor subunit beta; ; Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)	Other / unclassified	865
P35520	CBS	Cystathionine beta-synthase; ; Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	Other / unclassified	875
Q14781	CBX2	Chromobox protein homolog 2; ; Chromobox protein homolog 2	Other / unclassified	84733
O00257	CBX4	E3 SUMO-protein ligase CBX4; ; E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	Other / unclassified	8535
Q9HC52	CBX8	Chromobox protein homolog 8; ; Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1)	Other / unclassified	57332
Q9H0I3	CCDC113	Cilia- and flagella-associated protein 263	Other / unclassified	NA
O75909	CCNK	Cyclin-K; ; Cyclin-K	Other / unclassified	8812
Q9Y5K6	CD2AP	CD2-associated protein; ; CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains)	Other / unclassified	23607
Q8IWY9	CDAN1	Codanin-1; ; Codanin-1	Other / unclassified	146059
