ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015630	microtubule cytoskeleton	60/347	1525/18675	0.039344262295082	2.11744696933907	6.26549890152413	2.0955433203035e-08	1.05615383343296e-05	9.15421555711529e-06	ANKRD7/ATAT1/BOD1L2/BRSK2/CC2D1A/CCT8/CEP128/CEP78/CEP85L/CFAP20/CFAP210/CFAP298/CHAMP1/CHMP5/CNTLN/CTAG2/CTNNBL1/DIDO1/DSN1/DZANK1/EML4/FAM83D/HNRNPU/HYPK/IST1/KIAA1671/KIF1A/KIF6/LCA5/LSM14A/LZTS2/MAP1S/MID1/MISP/MLLT11/MPLKIP/MTCL2/MYH10/MYH9/NME7/PCIF1/PIBF1/PINX1/PRPF6/RABL6/REEP4/RTRAF/SKA1/SLAIN1/SMG6/SPAG9/SPAST/SPOUT1/STMN1/TCEA2/TEDC2/TESK1/TMUB1/TUBA4A/WDR62	60
GO:0099080	supramolecular complex	67/347	1885/18675	0.0355437665782493	1.91291020417523	5.7515416252769	1.38047924795358e-07	3.18886455525057e-05	2.76394901927524e-05	ACTL8/AHCTF1/AIF1L/ATAT1/BOD1L2/BTBD1/CCT8/CFAP20/CFAP210/CHAMP1/CHMP5/CHTOP/CWC15/DSN1/EHMT2/EML4/H3-3A/HNRNPU/INF2/JPH2/KIF1A/KIF6/LSM14A/LSM14B/LUC7L2/LZTS2/MAP1S/MCRIP2/MID1/MISP/MTCL2/MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9/NCBP3/NEBL/NES/NME7/NOC3L/OIP5/PABPC1L/PABPC3/PINX1/PIWIL1/PIWIL2/PRPF6/QKI/RBM15B/REEP4/RMI2/SDE2/SKA1/SLAIN1/SNRPGP15/SON/SPAST/SPOUT1/STMN1/SYNE1/TPM1/TUBA4A/YLPM1/YTHDF1	67
GO:0032982	myosin filament	7/347	24/18675	0.291666666666667	15.6970461095101	9.91312295908135	1.89813366383962e-07	3.18886455525057e-05	2.76394901927524e-05	MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9	7
GO:0031981	nuclear lumen	127/347	4605/18675	0.0275787187839305	1.48424372706024	5.20903947524826	3.92206516938529e-07	4.6790751846544e-05	4.05558939354966e-05	AHCTF1/ANAPC1/ANKRD7/ANP32A/ANP32B/ARID1A/ASXL2/BABAM1/BTBD1/C2orf42/C9orf78/CASZ1/CC2D1A/CDC73/CFAP20/CFAP298/CHAMP1/CHCHD1/CHTF18/CHTOP/CNTLN/COA7/COPRS/CSNK2A3/CTNNBL1/CWC15/DDRGK1/DFFA/DNTTIP1/DSN1/EHMT2/EPOP/ESF1/FAAP20/FTSJ3/GCFC2/GLYR1/GTF3C4/H2BC1/H2BC4/H3-3A/H3C1/H3C15/HDHD3/HNRNPU/HYPK/INAVA/INTS13/IRF2BPL/KANSL2/KDM3B/KNOP1/LCA5/LUC7L2/MAGEA11/MAP1S/MCM8/MCMBP/METTL1/MIDEAS/MIS18A/MLLT11/MPG/MPLKIP/MRNIP/MRTO4/MYH9/NCBP3/NIBAN2/NME7/NOB1/NOC3L/NOM1/NOP14/NOP9/NPLOC4/NTMT1/NUP205/OIP5/PABIR1/PAXX/PCIF1/PDXK/PINX1/PPP6R3/PRPF6/PSME3IP1/PTMA/RBM15B/RBM5/REXO2/RMI2/RNF213/RNF220/RPRD1B/RRP36/RTCB/RTRAF/SDE2/SINHCAF/SKA1/SLX9/SMG6/SON/SORL1/SPAST/SYNE1/TASOR2/TCEA2/THOC5/TMUB1/TP53RK/TP53TG5/TPRN/TRMT61A/TSPYL1/UBQLN1/USB1/USP1/UTP23/UTP25/UTP6/VPS51/VTA1/WDR46/YLPM1/ZC3H4	127
GO:0016460	myosin II complex	7/347	27/18675	0.259259259259259	13.9529298751201	9.26743700687857	4.64193966731587e-07	4.6790751846544e-05	4.05558939354966e-05	MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9	7
GO:1990904	ribonucleoprotein complex	33/347	683/18675	0.0483162518301611	2.60030548394311	5.86272334268718	5.75666900132091e-07	4.83560196110956e-05	4.19125900973364e-05	C9orf78/CHCHD1/CTNNBL1/CWC15/FTSJ3/GCFC2/HNRNPU/LSM14A/LSM14B/LUC7L2/MRPL39/MRPS6/MRTO4/NOB1/NOP14/NOP9/PABPC1L/PABPC3/PRPF6/RBM5/RBMXL2/RRP36/SLIRP/SLX9/SMG6/SMG7/SNRPGP15/TSSC4/UTP23/UTP25/UTP6/WDR46/ZNHIT6	33
GO:0005813	centrosome	35/347	764/18675	0.0458115183246073	2.46550462453038	5.69114737627873	8.87311716981769e-07	6.38864436226874e-05	5.53735883529976e-05	ANKRD7/BOD1L2/BRSK2/CC2D1A/CCT8/CEP128/CEP78/CEP85L/CFAP298/CNTLN/CTAG2/CTNNBL1/DZANK1/HNRNPU/IST1/LCA5/LZTS2/MAP1S/MID1/MISP/MLLT11/MPLKIP/NME7/PIBF1/PRPF6/RABL6/RTRAF/SKA1/SPAG9/SPAST/SPOUT1/TCEA2/TESK1/TMUB1/WDR62	35
GO:0000786	nucleosome	11/347	99/18675	0.111111111111111	5.97982708933718	6.83567861773821	2.28154525481465e-06	0.000143737351053323	0.0001245843790458	GLYR1/H2AC11/H2AC18/H2AC4/H2BC1/H2BC19P/H2BC4/H2BW1/H3-3A/H3C1/H3C15	11
GO:0030684	preribosome	11/347	102/18675	0.107843137254902	5.80394982200373	6.69396435659458	3.06870616635145e-06	0.000171847545315681	0.000148948895793667	FTSJ3/MRTO4/NOB1/NOP14/NOP9/RRP36/SLX9/UTP23/UTP25/UTP6/WDR46	11
GO:0030688	preribosome, small subunit precursor	5/347	14/18675	0.357142857142857	19.2208727871552	9.38407810805661	3.75354611703426e-06	0.000189178724298527	0.00016397069879676	FTSJ3/NOB1/NOP14/NOP9/SLX9	5
GO:0005815	microtubule organizing center	39/347	967/18675	0.0403309203722854	2.17054737162084	5.14331769722085	4.62625226582009e-06	0.000211966467452121	0.000183721979934482	ANKRD7/BOD1L2/BRSK2/CC2D1A/CCT8/CEP128/CEP78/CEP85L/CFAP20/CFAP298/CNTLN/CTAG2/CTNNBL1/DZANK1/EML4/HNRNPU/IST1/LCA5/LZTS2/MAP1S/MID1/MISP/MLLT11/MPLKIP/NME7/PIBF1/PRPF6/RABL6/RTRAF/SKA1/SMG6/SPAG9/SPAST/SPOUT1/TCEA2/TEDC2/TESK1/TMUB1/WDR62	39
