canonical_UniProtAC	primary_symbol	protein_name	functional_class_broad	ENTREZID
P49588	AARS1	Alanine--tRNA ligase, cytoplasmic; ; Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase AARS1) (EC 6.-.-.-) (Renal carcinoma antigen NY-REN-42)	Cytoplasmic / trafficking / cytoskeleton;Mitochondrial / metabolism;Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	16
Q5JTZ9	AARS2	Alanine--tRNA ligase, mitochondrial precursor; ; Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase AARS2) (EC 6.-.-.-)	Mitochondrial / metabolism;Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	57505
Q9BTE6	AARSD1	Alanyl-tRNA editing protein Aarsd1; ; Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)	Mitochondrial / metabolism;Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	80755
B4DI73	AARSD1		Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	80755
O14639	ABLIM1	Actin-binding LIM protein 1; ; Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)	Chromatin / transcription;Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	3983
Q9H568	ACTL8	Actin-like protein 8; ; Actin-like protein 8 (Cancer/testis antigen 57) (CT57)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Signaling / enzymes	81569
Q96SZ5	ADO	2-aminoethanethiol dioxygenase; ; 2-aminoethanethiol dioxygenase (EC 1.13.11.19) (Cysteamine dioxygenase)	Poorly characterized / specialized	84890
Q8WYP5	AHCTF1	Protein ELYS; ; Protein ELYS (Embryonic large molecule derived from yolk sac) (Protein MEL-28) (Putative AT-hook-containing transcription factor 1)	Chromatin / transcription;Mitochondrial / metabolism;Poorly characterized / specialized;Translation / ribosome / biogenesis	25909
O43865	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1; ; S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)	Poorly characterized / specialized;Signaling / enzymes	10768
Q8IVF2	AHNAK2	Protein AHNAK2; ; Protein AHNAK2	Poorly characterized / specialized	113146
O95433	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1; ; Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	10598
Q9BQI0	AIF1L	Allograft inflammatory factor 1-like; ; Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2)	Poorly characterized / specialized	83543
C9J069	AJM1	Apical junction component 1 homolog; ; Apical junction component 1 homolog	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	389813
