ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003723	RNA binding	76/357	1671/18100	0.0454817474566128	2.30593733603555	7.94790871173918	2.86145636848716e-12	1.47651148613937e-09	1.34036640418609e-09	AARS1/AARS2/AHCYL1/ANP32A/C11orf68/C9orf78/CCDC9B/CFAP20/CHCHD1/CHTOP/CMSS1/CWC15/DDX43/DHX57/DIDO1/DTD1/ESF1/FAM120A/FARSB/FTSJ3/HNRNPU/KCTD12/KNOP1/LSM14A/LSM14B/LUC7L2/MCRIP2/METTL1/MRPL39/MRPS6/MRTO4/MYH10/MYH4/MYH9/NCBP3/NME1/NOC3L/NOM1/NOP14/NOP9/NSUN5P1/NSUN5P2/PABPC1L/PABPC3/PINX1/PIWIL1/PIWIL2/PRPF6/QKI/RAMAC/RBM15B/RBM26/RBM5/RBMXL2/RRP36/RTCB/RTRAF/SDE2/SLIRP/SMG6/SMG7/SNRPGP15/SON/SPOUT1/SYNE1/THOC5/THUMPD2/TRIR/UTP23/UTP25/UTP6/WDR46/YLPM1/YTHDF1/ZC3H4/ZCCHC3	76
GO:0030527	structural constituent of chromatin	10/357	62/18100	0.161290322580645	8.17746453420078	8.03009309985818	3.39631645056644e-07	8.76249644246143e-05	7.95453063422141e-05	H2AC11/H2AC18/H2AC4/H2BC1/H2BC19P/H2BC4/H2BW1/H3-3A/H3C1/H3C15	10
GO:0003676	nucleic acid binding	118/357	3952/18100	0.0298582995951417	1.51382415314304	5.18230929453978	5.21749089434056e-07	8.97408433826577e-05	8.14660858940895e-05	AARS1/AARS2/AARSD1/AHCTF1/AHCYL1/ANP32A/APP/ARID1A/ASXL2/ATAD5/C11orf68/C9orf78/CASZ1/CC2D1A/CCDC9B/CFAP20/CHCHD1/CHCHD2/CHTF18/CHTOP/CMSS1/CWC15/DDX43/DHX57/DIDO1/DNTTIP1/DTD1/EHMT2/ESF1/FAM120A/FARSB/FTSJ3/GCFC2/GLYR1/GTF3C4/H1-7/H2AC11/H2AC18/H2AC4/H2BC1/H2BC19P/H2BC4/H2BW1/H3-3A/H3C1/H3C15/HNRNPU/HROB/JPH2/KCTD12/KDM3B/KNOP1/LSM14A/LSM14B/LUC7L2/MAP1S/MCM8/MCM9/MCRIP2/METTL1/MIDEAS/MPG/MRPL39/MRPS6/MRTO4/MYH10/MYH4/MYH9/NCBP3/NME1/NME2/NOC3L/NOM1/NOP14/NOP9/NSUN5P1/NSUN5P2/OTUD7A/PABPC1L/PABPC3/PAGE4/PINX1/PIWIL1/PIWIL2/PRPF6/QKI/RAMAC/RBM15B/RBM26/RBM5/RBMXL2/REXO2/RMI2/RRP36/RTCB/RTRAF/SDE2/SLIRP/SMG6/SMG7/SNRPGP15/SON/SPOUT1/SYNE1/TCEA2/THOC5/THUMPD2/TOX4/TRIR/UTP23/UTP25/UTP6/WDR46/YLPM1/YTHDF1/ZC3H4/ZCCHC3/ZNF213	118
GO:0140640	catalytic activity, acting on a nucleic acid	32/357	655/18100	0.0488549618320611	2.47696024974875	5.4613730382276	2.42611358195792e-06	0.000302082359431728	0.000274228172066746	AARS1/AARS2/AARSD1/ATAD5/CHTF18/DDX43/DHX57/DTD1/FARSB/FTSJ3/MCM8/MCM9/METTL1/MPG/NME1/NME7/NOB1/NSUN5P1/NSUN5P2/PCIF1/PIWIL1/PIWIL2/PTRHD1/REXO2/RTCB/SMG6/SPOUT1/THUMPD2/TRIR/TRMT61A/TSR3/USB1	32
GO:0140098	catalytic activity, acting on RNA	24/357	416/18100	0.0576923076923077	2.92501616031028	5.63428308663462	2.92715464565628e-06	0.000302082359431728	0.000274228172066746	AARS1/AARS2/AARSD1/DDX43/DHX57/DTD1/FARSB/FTSJ3/METTL1/NOB1/NSUN5P1/NSUN5P2/PCIF1/PIWIL1/PIWIL2/PTRHD1/REXO2/RTCB/SMG6/SPOUT1/THUMPD2/TRMT61A/TSR3/USB1	24
GO:0000146	microfilament motor activity	7/357	38/18100	0.184210526315789	9.33952528379773	7.29958350037103	8.16155296747738e-06	0.000701893555203055	0.000637173872022357	MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9	7
GO:0008173	RNA methyltransferase activity	8/357	67/18100	0.119402985074627	6.05376478949789	5.87849708372131	5.01038730284895e-05	0.00369337121181437	0.00335281556356058	FTSJ3/METTL1/NSUN5P1/NSUN5P2/PCIF1/SPOUT1/THUMPD2/TRMT61A	8
GO:0051015	actin filament binding	14/357	208/18100	0.0673076923076923	3.41251885369532	4.96387470236883	6.91124106651198e-05	0.00445775048790023	0.00404671351920767	ABLIM1/AIF1L/MAP1S/MISP/MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9/NEBL/SYNE1/TPM1	14
GO:0003729	mRNA binding	19/357	358/18100	0.053072625698324	2.69079698918674	4.58331349305952	9.73582046842339e-05	0.00502368336170647	0.00456046327205096	DDX43/HNRNPU/LSM14A/LSM14B/LUC7L2/MYH10/NCBP3/PABPC1L/PABPC3/PIWIL1/PIWIL2/QKI/RBM15B/RBM5/RBMXL2/SLIRP/THOC5/UTP23/YTHDF1	19
GO:0002161	aminoacyl-tRNA deacylase activity	4/357	13/18100	0.307692307692308	15.6000861883215	7.46950286560549	9.24189972490817e-05	0.00502368336170647	0.00456046327205096	AARS1/AARS2/AARSD1/DTD1	4
GO:0044877	protein-containing complex binding	45/357	1290/18100	0.0348837209302326	1.76861442251319	4.06319251388926	0.000136214655307356	0.00570218652948376	0.00517640352023719	ABLIM1/AIF1L/APP/ARID1A/BRK1/DNAAF8/DNTTIP1/EPOP/GLYR1/GTPBP6/H1-7/H3-3A/HNRNPU/IGF2/IST1/LCA5/LTN1/MAP1S/MCM8/MCM9/MCRIP2/MISP/MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9/NEBL/NME1/NOPCHAP1/NPLOC4/PINX1/PIWIL1/PRPF6/SCFD1/SMG6/SORL1/SPAST/SYNE1/TPM1/TSSC4/YTHDF1/ZNHIT6	45
GO:0120544	polypeptide conformation or assembly isomerase activity	10/357	120/18100	0.0833333333333333	4.2250233426704	5.02778286493539	0.000133434542642865	0.00570218652948376	0.00517640352023719	KIF1A/KIF6/MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9/SPAST	10
GO:0044183	protein folding chaperone	8/357	78/18100	0.102564102564103	5.20002872944049	5.27285637065823	0.000149259958775632	0.00570218652948376	0.00517640352023719	AHSA1/CCT6B/CCT8/DFFA/HSP90AB3P/HSP90B2P/HSPA7/HYPK	8
GO:0070063	RNA polymerase binding	7/357	59/18100	0.11864406779661	6.01528747092057	5.47317589703212	0.000154710487234055	0.00570218652948376	0.00517640352023719	ANP32B/CDC73/DHX57/HNRNPU/PCIF1/RPRD1B/RTRAF	7
GO:0003774	cytoskeletal motor activity	9/357	114/18100	0.0789473684210526	4.00265369305617	4.56182109602833	0.000429606644833335	0.0147784685822667	0.0134157864526901	KIF1A/KIF6/MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9	9
GO:0120543	macromolecular conformation isomerase activity	15/357	281/18100	0.0533807829181495	2.70642064655044	4.08926697332457	0.000489687984458098	0.0148634705870811	0.013492950655347	CHTF18/DDX43/DHX57/KIF1A/KIF6/MCM8/MCM9/MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9/SPAST	15
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	11/357	166/18100	0.0662650602409639	3.35965711585839	4.33223725652311	0.000467100259891051	0.0148634705870811	0.013492950655347	EHMT2/FTSJ3/METTL1/NSUN5P1/NSUN5P2/NTMT1/PCIF1/PRDM6/SPOUT1/THUMPD2/TRMT61A	11
GO:0000993	RNA polymerase II complex binding	5/357	35/18100	0.142857142857143	7.24289715886355	5.24383589131074	0.000579152446585698	0.0166023701354567	0.0150715110368793	CDC73/HNRNPU/PCIF1/RPRD1B/RTRAF	5
GO:0070034	telomerase RNA binding	4/357	22/18100	0.181818181818182	9.21823274764451	5.47094637434391	0.000821672484968198	0.0212511492893607	0.0192916389917697	HNRNPU/PINX1/SMG6/SMG7	4
GO:0099122	RNA polymerase II C-terminal domain binding	3/357	10/18100	0.3	15.2100840336134	6.37566125584202	0.000823687956951965	0.0212511492893607	0.0192916389917697	HNRNPU/PCIF1/RPRD1B	3
GO:0001098	basal transcription machinery binding	6/357	59/18100	0.101694915254237	5.15596068936049	4.53539383453242	0.00105455543474021	0.0242985463139036	0.0220580438794107	CDC73/HNRNPU/PCIF1/RPRD1B/RTRAF/ZNHIT6	6
GO:0001099	basal RNA polymerase II transcription machinery binding	6/357	59/18100	0.101694915254237	5.15596068936049	4.53539383453242	0.00105455543474021	0.0242985463139036	0.0220580438794107	CDC73/HNRNPU/PCIF1/RPRD1B/RTRAF/ZNHIT6	6
GO:0140662	ATP-dependent protein folding chaperone	5/357	40/18100	0.125	6.3375350140056	4.7935772601144	0.00108307473879803	0.0242985463139036	0.0220580438794107	CCT6B/CCT8/HSP90AB3P/HSP90B2P/HSPA7	5
GO:0043175	RNA polymerase core enzyme binding	5/357	41/18100	0.121951219512195	6.18296098927376	4.71271190159329	0.00121382262404848	0.0260971864170424	0.0236908363027007	CDC73/HNRNPU/PCIF1/RPRD1B/RTRAF	5
GO:0008174	mRNA methyltransferase activity	3/357	12/18100	0.25	12.6750700280112	5.73855719254337	0.00146642495902621	0.0302670111543009	0.027476172916491	METTL1/PCIF1/TRMT61A	3
GO:0008168	methyltransferase activity	11/357	199/18100	0.0552763819095477	2.80252804639444	3.62675146008697	0.00204914445532367	0.0406676361133467	0.0369177847214184	EHMT2/FTSJ3/METTL1/NSUN5P1/NSUN5P2/NTMT1/PCIF1/PRDM6/SPOUT1/THUMPD2/TRMT61A	11
GO:0140657	ATP-dependent activity	22/357	578/18100	0.0380622837370242	1.92976844717126	3.22251358448423	0.00262922343267896	0.0502473811578646	0.0456142077014479	ATAD5/CCT6B/CCT8/CHTF18/DDX43/DHX57/HSP90AB3P/HSP90B2P/HSPA7/KIF1A/KIF6/MCM8/MCM9/MYH1/MYH10/MYH11/MYH14/MYH2/MYH4/MYH9/RNF213/SPAST	22
GO:0140101	catalytic activity, acting on a tRNA	9/357	150/18100	0.06	3.04201680672269	3.56221876493125	0.0029692475151189	0.0547189899214768	0.0496735016627034	AARS1/AARS2/AARSD1/DTD1/FARSB/METTL1/PTRHD1/THUMPD2/TRMT61A	9
