entrez_id	gene_symbol	is_methylarginine_protein	contributing_term_count	contributing_term_ids	contributing_term_names
1	A1BG	False	1	C0002736	Amyotrophic Lateral Sclerosis
29974	A1CF	True	1	C0002736	Amyotrophic Lateral Sclerosis
8086	AAAS	False	3	C0085084;C0338451;C1833662	Motor Neuron Disease;Frontotemporal dementia;INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
22848	AAK1	True	1	C0002736	Amyotrophic Lateral Sclerosis
57505	AARS2	True	1	C0338451	Frontotemporal dementia
26574	AATF	False	1	C0002736	Amyotrophic Lateral Sclerosis
5243	ABCB1	False	1	C0002736	Amyotrophic Lateral Sclerosis
1244	ABCC2	False	1	C0002736	Amyotrophic Lateral Sclerosis
6833	ABCC8	False	1	C0002736	Amyotrophic Lateral Sclerosis
10060	ABCC9	False	1	C0002736	Amyotrophic Lateral Sclerosis
215	ABCD1	False	1	C4082299	Bulbar palsy
9619	ABCG1	False	4	C1842675;C1862939;C1862941;C3542025	AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder);AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE
9429	ABCG2	False	1	C0002736	Amyotrophic Lateral Sclerosis
25	ABL1	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
31	ACACA	True	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
39	ACAT2	True	1	C0002736	Amyotrophic Lateral Sclerosis
65057	ACD	True	1	C0002736	Amyotrophic Lateral Sclerosis
1636	ACE	True	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
43	ACHE	False	3	C0002736;C0085084;C0338451	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Frontotemporal dementia
55	ACP3	False	1	C0002736	Amyotrophic Lateral Sclerosis
58	ACTA1	True	3	C0002736;C1833662;C4082299	Amyotrophic Lateral Sclerosis;INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA;Bulbar palsy
60	ACTB	True	4	C0002736;C0085084;C4024896;C4551993	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Motor neuron atrophy;Amyotrophic Lateral Sclerosis, Familial
89	ACTN3	True	1	C0002736	Amyotrophic Lateral Sclerosis
95	ACY1	True	1	C0002736	Amyotrophic Lateral Sclerosis
100	ADA	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
9509	ADAMTS2	True	1	C0338451	Frontotemporal dementia
9508	ADAMTS3	False	1	C0002736	Amyotrophic Lateral Sclerosis
