term_id	term_name	methylarginine_genes	background_genes	total_genes_in_universe
C0002736	Amyotrophic Lateral Sclerosis	345	706	1051
C0338451	Frontotemporal dementia	117	183	300
C0085084	Motor Neuron Disease	81	102	183
C0751072	Frontotemporal Lobar Degeneration	68	119	187
C4024896	Motor neuron atrophy	63	68	131
C1862941	Amyotrophic Lateral Sclerosis, Sporadic	55	109	164
C4551993	Amyotrophic Lateral Sclerosis, Familial	50	77	127
C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1	49	107	156
C3811918	GRN-related frontotemporal dementia	42	64	106
C4082299	Bulbar palsy	23	25	48
C1833662	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA	18	14	32
C0543859	Amyotrophic Lateral Sclerosis, Guam Form	15	21	36
C0393554	Amyotrophic Lateral Sclerosis With Dementia	14	16	30
C1859807	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)	11	9	20
C4011788	Behavioral variant of frontotemporal dementia	11	23	34
C0270764	Motor Neuron Disease, Lower	11	10	21
C1865412	Abnormal lower motor neuron morphology	10	13	23
C4025723	Abnormal upper motor neuron morphology	10	10	20
C4522181	Brachial Amyotrophic Diplegia	10	17	27
C1839042	Upper motor neuron dysfunction	10	6	16
C0270763	Familial Motor Neuron Disease	8	1	9
C0033790	Pseudobulbar Palsy	8	5	13
C3888102	Frontotemporal Dementia With Motor Neuron Disease	7	6	13
C3468114	Juvenile amyotrophic lateral sclerosis	7	7	14
C4021584	Frontotemporal cerebral atrophy	6	8	14
C3542025	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE	5	24	29
C1842675	AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder)	5	20	25
C1865409	Amyotrophic Lateral Sclerosis 4, Juvenile	5	1	6
C1843792	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED	5	3	8
C3661519	Hereditary Motor Neuronopathy	5	6	11
C4551951	Inclusion Body Myopathy with Early-Onset Paget Disease with or without Frontotemporal Dementia 1	5	3	8
C0521659	Motor Neuron Disease, Upper	5	2	7
C0749870	Upper motor neuron signs	4	3	7
C1837728	AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder)	3	1	4
C4016314	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO	3	0	3
C0543858	Motor Neuron Disease, Secondary	3	1	4
C0030442	Progressive bulbar palsy	3	6	9
C3715156	AMYOTROPHIC LATERAL SCLEROSIS 20	2	0	2
C4225326	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 3	2	0	2
C1833296	FRONTOTEMPORAL DEMENTIA, CHROMOSOME 3-LINKED	2	4	6
C2677565	AMYOTROPHIC LATERAL SCLEROSIS 10 (disorder)	1	0	1
C2675491	AMYOTROPHIC LATERAL SCLEROSIS 11	1	0	1
C3151403	AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA	1	0	1
C3152097	AMYOTROPHIC LATERAL SCLEROSIS 14 WITHOUT FRONTOTEMPORAL DEMENTIA	1	0	1
C3275459	AMYOTROPHIC LATERAL SCLEROSIS 15, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA	1	0	1
C3553719	AMYOTROPHIC LATERAL SCLEROSIS 18	1	0	1
C3807521	AMYOTROPHIC LATERAL SCLEROSIS 21	1	0	1
C4016414	AMYOTROPHIC LATERAL SCLEROSIS 22 WITH FRONTOTEMPORAL DEMENTIA	1	0	1
