ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	gene_ratio_num	bg_ratio_num	fold_enrichment	log2_fold_enrichment	target
C1853242	Midface retrusion	109/4384	225/16946	0.484444444444444	1.87258110300081	7.78381676537733	2.22312102012617e-13	1.85630605180535e-09	1.57350165677141e-09	RASA2/EHMT1/GLI2/HCFC1/SMCHD1/USP27X/RAI1/RERE/FLNB/WDR73/RAB3GAP1/COL18A1/KIF1A/MAN2B1/DVL1/CHD1/POLR1C/FIBP/BUB1B/BANF1/SEC24D/POLR1A/AIFM1/IGF2/COL2A1/LMNA/RAF1/P4HB/RRAS/PRKAR1A/BRAF/FLNA/NF1/PIK3R1/GDI1/FBN1/AGL/HSPA9/MTOR/LRPPRC/ATRX/SLC6A8/IREB2/SERPINH1/ERF/MECP2/RPS6KA3/ACTB/RPS28/AMPD2/PTPN11/SOS1/SOS2/PDE4D/BPTF/CHD3/FOXC1/KCNAB2/PTCH1/RUNX2/LBR/KIF22/NFIX/CUL7/FRMPD4/EFTUD2/SF3B4/DDR2/IQSEC2/NXN/RFWD3/FAT4/CHST3/POGZ/TSEN54/MEGF8/LZTR1/KMT2C/LINS1/BICD2/COG1/IFT81/KAT6B/DVL3/USP9X/MED12/CCDC47/TONSL/DCHS1/B3GALT6/ARX/SLC9A7/TCF12/POP1/USB1/WAC/UPF3B/TBL1XR1/CCDC8/BCL11A/RAB3GAP2/ALG13/OSGEP/KIF15/IARS2/NDUFB11/WDR35/TCF20/SATB2	109	0.0248631386861314	0.0132774696093473	1.87258110300081	0.905028204325256	All methyl proteins
C0424503	Dysmorphic facies	123/4384	268/16946	0.458955223880597	1.77405456749101	7.54559783890547	8.41493525620615e-13	2.34215697964405e-09	1.98533419869229e-09	EHMT1/CRBN/HCFC1/SLC12A6/POLE/MPDZ/RFX5/KIF1A/TAF6/DDX3X/MEFV/PHGDH/CACNA1G/PDE6D/KIF4A/TDP2/CHRNA1/RAF1/CSTB/INSR/RPS17/PRKAR1A/PEPD/ETFA/EZR/FLG/ATP6V1B2/FLNA/AHCY/RPL10/PPP2R1A/CTNNB1/FBN1/MYH9/NUP214/ARL3/TALDO1/ETFB/MTOR/NKX2-1/ATRX/SLC6A8/DHPS/SARS1/ERF/SMARCA2/SSR4/BCAP31/MECP2/HSD17B4/ALDH18A1/LAMB2/NRXN1/RAC1/PSPH/CRADD/COG7/SET/ALDH6A1/KMT2A/PTPN11/NSUN2/AIMP1/TUSC3/PEX6/CUL4B/TRIP12/PUM1/EFTUD2/RAB11B/KIF7/QRICH1/C2CD3/EARS2/ERMARD/FBXO31/NIPBL/CC2D1A/ZC3H14/TRAF7/FAT4/PACS1/DHX30/POGZ/TSEN54/BRSK2/DIS3L2/KMT2E/KMT2C/ARID1B/LINS1/BICD2/COG1/PHIP/AUTS2/KAT6B/KAT6A/GCDH/MED12/DNAJC19/HOOK2/EDC3/DCHS1/POLR3GL/GTPBP2/NAA15/LMAN2L/SMG9/EBF3/ASH1L/PRMT7/NDUFB11/CHD7/TNIK/STUB1/SATB2/COLQ/PLAA/MAST1/MRPS16/LAS1L/CTDP1/GMPPB	123	0.0280565693430657	0.0158149415791337	1.77405456749101	0.827050385646834	All methyl proteins
C1837260	Prominent forehead	83/4384	158/16946	0.525316455696203	2.03056858080015	7.68834079794879	6.76492837244203e-13	2.34215697964405e-09	1.98533419869229e-09	SH3PXD2B/FLNB/FOXP1/GNS/DPF2/DVL1/MID1/KDM1A/LRP4/ACTL6B/APC2/IGF2/COL2A1/LMNA/RAF1/PEPD/BRAF/SON/FLNA/RYR1/CPT2/PIK3R1/ATIC/FBN1/STAT3/NAA10/MTOR/LRPPRC/SERPINH1/ERF/MECP2/CLCN7/RPS6KA3/ALDH18A1/PPP1CB/CHD3/FOXC1/PEX6/PTCH1/DYNC1H1/MBTPS1/LBR/NFIX/HERC1/TBCE/KIF7/LARP7/GLE1/EARS2/AMER1/ERMARD/TRAF7/BRWD3/MED13L/CHST3/ASXL1/COL27A1/KMT2E/POC1A/GATAD2B/IFT81/GCDH/DVL3/USP9X/MED12/VPS33A/B3GALT6/NSD1/ARX/WAC/SETD2/UPF3B/SMG9/ADNP/EBF3/COG4/ARNT2/NANS/FARSB/IARS2/PUF60/KIDINS220/TRRAP	83	0.0189324817518248	0.00932373421456391	2.03056858080015	1.02188375393519	All methyl proteins
C0000772	Multiple congenital anomalies	115/4384	248/16946	0.463709677419355	1.79243252590064	7.42647237622388	2.00377300179852e-12	4.18287614125441e-09	3.54562359581401e-09	MYO15A/DOCK1/TTN/SRCAP/GLI2/PDHA1/RAI1/RBFOX2/RAB3GAP1/MEF2C/NFIA/POLD1/SETD5/FOXP1/KDM6A/KIF1A/PAX2/ATP1A3/CACNA1A/DDX3X/MAN2B1/DVL1/KMT2D/HNRNPR/ATP8B1/NRP2/USH2A/TRIO/GNAS/COL2A1/RAF1/TUBB/RBM10/GAA/BRAF/GJA1/SON/NEB/NF1/ECHS1/CTNNB1/FBN1/STAT3/HADHA/ATRX/NOTCH1/RPL5/SMARCA4/RPS6KA3/NRXN1/ACTB/PRPS1/HNRNPK/ACTG1/ACTG2/ACTC1/FGD1/CLTC/KMT2A/PTPN11/SOS1/PPP3CA/EP300/MN1/BPTF/TUBB3/PKD2/CUL3/CDK13/SCN5A/SMC1A/CHD4/EFTUD2/SF3B4/TBCE/KIF7/GLE1/AMER1/AARS2/NIPBL/PACS1/BCOR/MED13L/POGZ/LCA5/PHF6/ASXL1/COL27A1/ASPM/ARID1B/DNAH5/STAG1/AUTS2/KAT6B/CREBBP/MED12/SMARCE1/FKBP10/CHAMP1/NSD1/WAC/BCL11B/ALX4/IRF2BPL/RAB3GAP2/ADNP/WDR26/CHD8/CHD7/AFF4/PUF60/SATB2/GMPPB/DNMT3A/MORC2	115	0.0262317518248175	0.0146347220583028	1.79243252590064	0.841918811322867	All methyl proteins
C3553764	Joint hyperflexibility	89/4384	179/16946	0.497206703910615	1.92191259226033	7.32512845698085	5.72729554084572e-12	9.56458355321235e-09	8.10743899297823e-09	SRCAP/RASA2/JMJD1C/FLNB/PLOD1/CDC45/TBL2/COL18A1/KDM6A/PAX2/DPF2/ARVCF/PLK4/ARID1A/KMT2D/ORC4/SEC24D/ADAMTS2/PCNT/COL2A1/LMNA/RAF1/P4HB/RRAS/BCR/BRAF/FLNA/RYR1/TNXB/ENPP1/PIK3R1/MAPK1/RFC2/FBN1/LONP1/STAT3/GDF5/CRKL/SLC6A8/LIG4/SMARCA4/RPS6KA3/LIMK1/SEC24C/ALDH18A1/GTF2I/FGD1/CENPE/NOTCH2/UBE3A/PTPN11/SOS1/SOS2/NSUN2/ATR/PEX6/CUL4B/PTCH1/KIF22/NFIX/CUL7/EXT1/XYLT1/PHF6/LZTR1/ARID1B/SMARCC2/ATRIP/KAT6B/MED12/SMARCE1/TONSL/DDRGK1/ZNF469/B3GALT6/NSD1/RBBP8/CDC6/UPF3B/CCDC8/CDT1/KLC4/TAB2/WDR35/CLIP2/BAZ1B/NOTCH3/SATB2/ORC6	89	0.0203010948905109	0.0105629647114363	1.92191259226033	0.942542724467508	All methyl proteins
C0239676	High forehead	99/4384	208/16946	0.475961538461538	1.83979111103313	7.19909366307492	1.0382058947926e-11	1.44483653691971e-08	1.22471867308517e-08	RASA2/CAMK2G/EEF1A2/SH3PXD2B/CTNND1/MEF2C/HUWE1/TBL2/NECAP1/CACNA1A/NFIB/DVL1/SYNJ1/BUB3/BUB1B/PEX10/PEX14/TRIO/ACTL6B/LETM1/APC2/RAF1/GLI3/RRAS/ETFA/BRAF/GJA1/ATP6V1B2/CBL/CPT2/APC/RFC2/FBN1/ETFB/ATP6V1A/MTOR/PAFAH1B1/AARS1/SERPINH1/ERF/HSD17B4/LIMK1/ATN1/ACTB/YWHAG/YWHAE/IGBP1/GTF2I/CLTC/HNRNPU/FLI1/ALDH6A1/MAP2K1/KMT2A/DNM1/PTPN11/PRDX1/SOS1/SOS2/PPP3CA/VAC14/CTBP1/AP3B2/PEX6/CUL4B/EXOSC2/HIC1/SMC1A/LBR/NFIX/FRMPD4/TBCE/BCORL1/SZT2/NXN/PARS2/DIS3L2/LZTR1/THOC2/PHIP/KAT6B/FIG4/MED12/NSD1/ARX/SETD2/UPF3B/TBL1XR1/NELFA/EBF3/ATAD3A/WDR35/CLIP2/TCF20/SHPK/BAZ1B/TRAK1/SATB2/RBM8A	99	0.0225821167883212	0.0122742830166411	1.83979111103313	0.879541972703885	All methyl proteins
C1850049	Clinodactyly of the 5th finger	124/4384	281/16946	0.441281138790036	1.70573681066057	7.0472541853192	1.8626176117087e-11	1.94410713222096e-08	1.6479264238328e-08	SRCAP/RASA2/EHMT1/SH3PXD2B/RAI1/RERE/FLNB/SLC12A6/DONSON/HUWE1/SETD5/CDC45/TBL2/HMGA2/BMPR1B/PLK4/DVL1/FANCA/BUB3/ORC4/RAD21/KDM1A/BUB1B/PQBP1/MACROH2A1/TRIO/PCNT/IGF2/RAF1/RB1/RRAS/BCR/SNRPB/BRAF/GJA1/MAPK1/RFC2/EIF4A3/NAA10/GDF5/PAFAH1B1/ATRX/CRKL/DHPS/LIG4/MECP2/NKX2-5/LIMK1/BLM/YWHAE/PITX1/GTF2I/FGD1/CENPE/MECOM/KMT2A/UBE3A/PTPN11/RAD51/SOS1/SOS2/NSUN2/EP300/BPTF/KCNAB2/ATR/CUL4B/PTCH1/RUNX2/CDK13/HIC1/SMC1A/CUL7/NONO/KIF7/ESCO2/AMER1/IQSEC2/NXN/NIPBL/RFWD3/PACS1/BCOR/XYLT1/SLX4/STAG2/LZTR1/ARID1B/NUP37/ATRIP/KAT6B/TFAP2B/CREBBP/KAT6A/GATA6/EMG1/DVL3/SLC9A7/RBBP8/CDC6/CITED2/SHANK3/CCDC8/CDT1/EBF3/FANCE/FANCI/RNF216/DACT1/CHD7/WDR35/CLIP2/TCF20/PUF60/BAZ1B/MAPK8IP3/SATB2/SMC3/LEMD3/TRRAP/ORC6/RBM8A/KPTN/MORC2	124	0.0282846715328467	0.0165820842676738	1.70573681066057	0.770395060931316	All methyl proteins
C0007959	Charcot-Marie-Tooth Disease	93/4384	193/16946	0.481865284974093	1.86261156915397	7.11990671513744	1.84456278759156e-11	1.94410713222096e-08	1.6479264238328e-08	MYO15A/RAB7B/TTN/SMN1/SNRPN/SLC12A6/DCTN2/ATP1A1/DMPK/ACE/NRG2/SPTLC2/SCO2/MCM3AP/KIF1B/PSIP1/MFN2/BAG3/AIFM1/SOD1/EGFR/PGK1/LMNA/MBP/HSPB1/APP/NEFL/EGR2/NEFH/COX6A1/HCLS1/ARSA/TCF3/STMN1/DES/HK1/MAG/GART/WARS1/CANX/GJB2/PFN2/RFC1/FUS/PGM1/IGHMBP2/CUX1/BUD31/GARS1/NEDD4/AARS1/HINT1/DNM2/RAB7A/POLG/YARS1/HADHB/MARS1/ACTB/PRPS1/ACTG1/EEF1A1/TUBA1B/DNM1/KIF5A/TARDBP/DYNC1H1/KARS1/PDK3/HSPB2/INF2/AARS2/IQSEC2/SETX/AHNAK2/MFN1/SH3TC2/FIG4/TFG/KHSRP/ARHGEF2/SLC25A46/ACD/PNKP/SORT1/BAG1/PRX/GNB4/SACS/HSPB8/YARS2/CTDP1/MORC2	93	0.021213503649635	0.0113891183760179	1.86261156915397	0.897326844605318	All methyl proteins
C1839739	Thick lower lip vermilion	75/4384	145/16946	0.517241379310345	1.99935502139441	7.13941946504469	2.31254991917067e-11	2.14553242500835e-08	1.81866498906475e-08	RASA2/HCFC1/USP27X/TBL2/GNS/DPF2/AIP/ARID1A/PHGDH/RAF1/INSR/GLA/RPS17/RRAS/BRAF/RPL35A/YY1/PSMB8/GDI1/RFC2/FBN1/RBMX/RPS19/RPS27/RPL35/ATRX/RPL5/RPS10/SMARCA2/SMARCA4/MECP2/RPS6KA3/KIF11/SMS/LIMK1/RPL26/RPL15/RPL27/PPP1CB/RPS15A/RPS29/RPS26/RPS28/RPL11/GTF2I/PTPN11/RPL18/SOS1/SOS2/BPTF/CUL4B/CUL7/FRMPD4/AMER1/IQSEC2/LZTR1/ARID1B/SMARCC2/KAT6B/USP9X/MED12/SMARCE1/ARX/SLC9A7/UPF3B/SMG9/CDT1/ADNP/ALG13/NANS/KIF15/CLIP2/BAZ1B/ORC6/CAMTA1	75	0.0171076642335766	0.00855659152602384	1.99935502139441	0.999534671246314	All methyl proteins
C1854114	Short nose	117/4384	264/16946	0.443181818181818	1.71308373424021	6.89834800838673	4.93293637021289e-11	4.11900186912776e-08	3.49148043719068e-08	EHMT1/GLI2/SMCHD1/RAI1/FLNB/SLC12A6/RAB3GAP1/MEF2C/NFIA/HUWE1/SETD5/TBL2/FOXP1/TCF4/KIF1A/DVL1/INPPL1/CACNA1G/RAD21/BUB1B/PLOD3/LRP4/TRIO/POLR1A/STAMBP/COL2A1/RPS17/GLI3/PRKAR1A/PEPD/BRAF/GJA1/RPL35A/SON/FLNA/UBA1/PAX3/APC/VARS1/CTNNB1/RFC2/FBN1/LONP1/ATP6V1A/HSPA9/RPS19/MTOR/RPS27/RPL35/PAFAH1B1/ATRX/RPL5/RPS10/MECP2/RPS6KA3/LIMK1/BLM/RIPK4/ACTB/RPL26/RPL15/RPL27/PPP1CB/RPS15A/YWHAE/RPS29/RPS26/RPS28/RPL11/GTF2I/COG7/H3-3A/FGD1/FLI1/ALDH6A1/MAP2K1/KMT2A/PTPN11/RPL18/SOS1/PDE4D/PEX6/PTCH1/CDK13/HIC1/TRIP12/SMC1A/KIF22/NFIX/EFTUD2/DDR2/BLTP1/KIF7/IQSEC2/NXN/NIPBL/PARS2/DIS3L2/PHIP/KAT6B/DVL3/TONSL/WAC/GTPBP2/TBL1XR1/RAB3GAP2/ATAD3A/DNMT3B/CLIP2/TCF20/AFF4/PUF60/BAZ1B/SMC3/PLAA/YARS2/TRRAP	117	0.0266879562043796	0.0155788976749675	1.71308373424021	0.776595670990318	All methyl proteins
