term_id	term_name	primary_family	audit_status	assignment_method	secondary_rule_matches	override_reason	genes_in_reviewed_universe
C0000727	Abdomen, Acute	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0000729	Abdominal Cramps	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0000731	Abdomen distended	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	103
C0000734	Abdominal mass	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0000735	Abdominal Neoplasms	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	13
C0000737	Abdominal Pain	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	287
C0000744	Abetalipoproteinemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	61
C0000768	Congenital Abnormality	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1044
C0000771	Abnormalities, Drug-Induced	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0000772	Multiple congenital anomalies	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	248
C0000786	Spontaneous abortion	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	187
C0000809	Abortion, Habitual	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0000821	Threatened abortion	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0000822	Abortion, Tubal	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	109
C0000832	Abruptio Placentae	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	11
C0000833	Abscess	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	94
C0000846	Agenesis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	158
C0000880	Acanthamoeba Keratitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	21
C0000887	Acantholysis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	11
C0000889	Acanthosis Nigricans	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	64
C0000921	Accidental Falls	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0001075	Achlorhydria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0001079	Achondrogenesis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0001080	Achondroplasia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	46
C0001122	Acidosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	27
C0001125	Acidosis, Lactic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	194
C0001126	Renal tubular acidosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	50
C0001127	Acidosis, Respiratory	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	13
C0001139	Acinetobacter Infections	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001144	Acne Vulgaris	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	86
C0001145	Acne Keloid	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001175	Acquired Immunodeficiency Syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	227
C0001193	Apert syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	20
C0001197	Acrodermatitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	5
C0001202	Acrokeratosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0001206	Acromegaly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	132
C0001231	ACTH Syndrome, Ectopic	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	10
C0001249	Actinobacillus Infections	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001261	Actinomycosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0001306	Acute alcoholic liver disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	35
C0001308	Acute and subacute liver necrosis (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0001311	Acute bronchiolitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	10
C0001338	Herpetic Acute Necrotizing Encephalitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0001339	Acute pancreatitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	412
C0001342	Acute periodontitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	123
C0001344	Acute pharyngitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0001349	Acute-Phase Reaction	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	24
C0001361	Acute tonsillitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0001363	Acute vascular insufficiency of intestine (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0001364	Massive Hepatic Necrosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0001403	Addison Disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	101
C0001416	Adenitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0001418	Adenocarcinoma	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	2069
C0001420	Papillary adenocarcinoma	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	11
C0001422	Adenofibroma	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0001429	Adenolymphoma	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	19
C0001430	Adenoma	Cancer / neoplasia	included	precedence_rule		Primary assignment is the first matching family in precedence order (Cancer / neoplasia).	1085
