disease_theme	matched_dgn_term_count	target_count	background_count	total_theme_gene_count	target_fraction_in_theme	odds_ratio	log2_odds_ratio	p_value	q_value
Metabolic / mitochondrial	479	1567	4274	5841	0.268275980140387	1.30816412524157	0.387543555987244	1.10208660731624e-13	1.22454067479582e-13
Immune / inflammatory	539	1758	4807	6565	0.267783701447068	1.32340668639564	0.404256473775288	1.324407912105e-15	1.65550989013125e-15
Parkinsonism	66	626	1479	2105	0.297387173396675	1.45195365622222	0.53799540580929	7.10452459868841e-13	7.10452459868841e-13
Alzheimer / tau / dementia	95	1064	2470	3534	0.301075268817204	1.53824374755699	0.621284128481159	1.08460915240625e-24	2.71152288101563e-24
Myopathy / muscle / cardiomyopathy	461	874	1935	2809	0.311142755428978	1.59599224213054	0.674453638861635	1.41193271259702e-24	2.82386542519405e-24
Developmental / congenital syndromes	3439	2501	6246	8747	0.285926603406882	1.67809662758224	0.746825790938683	9.06864184961688e-54	4.53432092480844e-53
ALS / motor neuron / FTD	183	617	1263	1880	0.328191489361702	1.69799729866903	0.763834163720221	5.58693004837931e-23	9.31155008063218e-23
Premature aging / genome instability	61	361	695	1056	0.341856060606061	1.76721782890007	0.821479878771856	2.36586382639621e-16	3.3798054662803e-16
Ataxia / cerebellar degeneration	305	713	1315	2028	0.351577909270217	1.92288189058311	0.943270150559743	4.23292642156412e-37	1.41097547385471e-36
Cancer / neoplasia	3263	3774	9801	13575	0.278011049723757	2.36709034421222	1.24311477014502	6.95177876592658e-111	6.95177876592658e-110
