target	disease_theme	matched_dgn_term_count	target_count	background_count	total_theme_gene_count	target_fraction_in_theme	odds_ratio	log2_odds_ratio	p_value	q_value
All methyl proteins	Metabolic / mitochondrial	479	1567	4274	5841	0.268275980140387	1.30816412524157	0.387543555987244	1.10208660731624e-13	1.22454067479582e-13
All methyl proteins	Immune / inflammatory	539	1758	4807	6565	0.267783701447068	1.32340668639564	0.404256473775288	1.324407912105e-15	1.65550989013125e-15
All methyl proteins	Parkinsonism	66	626	1479	2105	0.297387173396675	1.45195365622222	0.53799540580929	7.10452459868841e-13	7.10452459868841e-13
All methyl proteins	Alzheimer / tau / dementia	95	1064	2470	3534	0.301075268817204	1.53824374755699	0.621284128481159	1.08460915240625e-24	2.71152288101563e-24
All methyl proteins	Myopathy / muscle / cardiomyopathy	461	874	1935	2809	0.311142755428978	1.59599224213054	0.674453638861635	1.41193271259702e-24	2.82386542519405e-24
All methyl proteins	Developmental / congenital syndromes	3439	2501	6246	8747	0.285926603406882	1.67809662758224	0.746825790938683	9.06864184961688e-54	4.53432092480844e-53
All methyl proteins	ALS / motor neuron / FTD	183	617	1263	1880	0.328191489361702	1.69799729866903	0.763834163720221	5.58693004837931e-23	9.31155008063218e-23
All methyl proteins	Premature aging / genome instability	61	361	695	1056	0.341856060606061	1.76721782890007	0.821479878771856	2.36586382639621e-16	3.3798054662803e-16
All methyl proteins	Ataxia / cerebellar degeneration	305	713	1315	2028	0.351577909270217	1.92288189058311	0.943270150559743	4.23292642156412e-37	1.41097547385471e-36
All methyl proteins	Cancer / neoplasia	3263	3774	9801	13575	0.278011049723757	2.36709034421222	1.24311477014502	6.95177876592658e-111	6.95177876592658e-110
Poorly characterized / specialized	Metabolic / mitochondrial	479	10	5831	5841	0.0017120356103407	0.245825085399511	-2.02429595080062	2.09029221115196e-07	2.09029221115196e-06
Poorly characterized / specialized	Ataxia / cerebellar degeneration	305	3	2025	2028	0.0014792899408284	0.280486020434036	-1.83399922691632	0.00440785589324869	0.00881571178649738
Poorly characterized / specialized	Immune / inflammatory	539	17	6548	6565	0.00258948971820259	0.371459112773918	-1.42872467562991	2.95384881054937e-05	0.000147692440527468
Poorly characterized / specialized	Alzheimer / tau / dementia	95	9	3525	3534	0.00254668930390492	0.423834143448383	-1.23842828112842	0.00594311282047067	0.00990518803411779
Poorly characterized / specialized	Parkinsonism	66	5	2100	2105	0.00237529691211401	0.431050539864877	-1.21407106237631	0.0306541423058406	0.0383176778823008
Poorly characterized / specialized	Myopathy / muscle / cardiomyopathy	461	7	2802	2809	0.00249199003203987	0.431191968941212	-1.21359778710442	0.0137559326983228	0.0196513324261755
Poorly characterized / specialized	Developmental / congenital syndromes	3439	29	8718	8747	0.00331542243054762	0.450220285843916	-1.15129703225995	8.65896437380006e-05	0.000288632145793335
Poorly characterized / specialized	ALS / motor neuron / FTD	183	5	1875	1880	0.00265957446808511	0.488844142330094	-1.03255352935976	0.0742513551280365	0.0825015056978184
Poorly characterized / specialized	Cancer / neoplasia	3263	58	13517	13575	0.00427255985267035	0.502522755787043	-0.992739167416109	0.000367610905350336	0.00091902726337584
Poorly characterized / specialized	Premature aging / genome instability	61	3	1053	1056	0.00284090909090909	0.568497166308384	-0.814774936909735	0.289044146431385	0.289044146431385
