ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	gene_ratio_num	bg_ratio_num	fold_enrichment	log2_fold_enrichment	target
C1846707	SPINOCEREBELLAR ATAXIA 17	5/509	27/16946	0.185185185185185	6.16532052681365	4.72672366584552	0.00111922592474979	0.68683164248812	0.68683164248812	ATXN7/P4HB/HMGB1/PDIA3/JPH3	5	0.00982318271119843	0.00159329635312168	6.16532052681365	2.62417590037409	Other / unclassified
C0494463	Alzheimer Disease, Late Onset	19/509	371/16946	0.0512129380053908	1.70501856078458	2.41617917656179	0.0171236599723809	0.875168336023903	0.875168336023903	FERMT2/DISC1/AGPS/CAT/CSTB/TYMS/CTNNA2/ATXN1/TPI1/BAX/IL16/FHL5/PLD3/WWC1/MSRB3/NCSTN/NRGN/SDF4/CD2AP	19	0.037328094302554	0.0218930721114127	1.70501856078458	0.769787444472981	Other / unclassified
C0004135	Ataxia Telangiectasia	15/509	345/16946	0.0434782608695652	1.44751003673016	1.47779299305356	0.0981787052740202	0.875168336023903	0.875168336023903	ARHGEF5/CLSPN/ATXN3/DHFR/CAT/TYMS/CRYGD/FOSL1/VHL/BLM/SESN2/BAX/PTCH1/ENAH/FLCN	15	0.0294695481335953	0.0203587867343326	1.44751003673016	0.533573351593186	Other / unclassified
C0242422	Parkinsonian Disorders	14/509	367/16946	0.0381471389645777	1.27002243004663	0.920284500944062	0.215987828505061	0.875168336023903	0.875168336023903	PPT1/ATXN3/ATXN7/TYMS/ENO2/VHL/EMD/ATXN1/YWHAE/TET2/JPH3/NRGN/BAD/NIF3L1	14	0.0275049115913556	0.0216570282072465	1.27002243004663	0.34485397686459	Other / unclassified
C0752120	Spinocerebellar Ataxia Type 1	9/509	99/16946	0.0909090909090909	3.02661189498125	3.55873210984841	0.00293121033501074	0.875168336023903	0.875168336023903	ATXN3/CIC/ATXN7/PQBP1/CAT/HMGB1/ATXN1L/ATXN1/GLO1	9	0.0176817288801572	0.00584208662811283	3.02661189498125	1.5977036890129	Other / unclassified
C0087012	Ataxia, Spinocerebellar	9/509	145/16946	0.0620689655172414	2.0664453627803	2.26946477080792	0.0310407192107942	0.875168336023903	0.875168336023903	ATXN3/CIC/ATXN7/CAT/ATXN1L/FGF3/ATXN1/GLO1/JPH3	9	0.0176817288801572	0.00855659152602384	2.0664453627803	1.04715121907758	Other / unclassified
C0751072	Frontotemporal Lobar Degeneration	9/509	187/16946	0.0481283422459893	1.60232394440184	1.45745542509148	0.111373256017074	0.875168336023903	0.875168336023903	DISC1/SCRN1/STXBP3/CAT/PFN1/HMBS/PHB1/SUGP1/FLCN	9	0.0176817288801572	0.0110350525197687	1.60232394440184	0.680165849204874	Other / unclassified
C0276496	Familial Alzheimer Disease (FAD)	9/509	242/16946	0.0371900826446281	1.23815941158324	0.656649459527798	0.304297528153185	0.875168336023903	0.875168336023903	CAT/ENO2/CREB1/SERPINB5/TPI1/BAX/NCSTN/NRGN/CD2AP	9	0.0176817288801572	0.0142806562020536	1.23815941158324	0.308197071817916	Other / unclassified
C4551993	Amyotrophic Lateral Sclerosis, Familial	8/509	127/16946	0.062992125984252	2.09717989573504	2.1839767794935	0.037781826845113	0.875168336023903	0.875168336023903	ATXN3/CAT/CSTB/P4HB/PFN1/SHC1/ATXN1/CD2AP	8	0.0157170923379175	0.00749439395727605	2.09717989573504	1.06845062087803	Other / unclassified
C1862941	Amyotrophic Lateral Sclerosis, Sporadic	8/509	164/16946	0.0487804878048781	1.62403565096555	1.41311617442948	0.12150322516417	0.875168336023903	0.875168336023903	DISC1/CAT/P4HB/PFN1/SHC1/ATXN1/IDI1/SUGP1	8	0.0157170923379175	0.00967780007081317	1.62403565096555	0.699583303032115	Other / unclassified
C0038868	Progressive supranuclear palsy	8/509	168/16946	0.0476190476190476	1.58536813546637	1.34178219278021	0.133996290334308	0.875168336023903	0.875168336023903	SCRN1/STXBP3/TYMS/ANXA6/CBS/TPI1/YWHAE/TET2	8	0.0157170923379175	0.00991384397497935	1.58536813546637	0.664817884871438	Other / unclassified
C0011269	Dementia, Vascular	8/509	204/16946	0.0392156862745098	1.30559728803113	0.772732735800081	0.271073663143854	0.875168336023903	0.875168336023903	GPI/CREB1/CBS/CRK/NUBP1/PTCH1/MOAP1/CD2AP	8	0.0157170923379175	0.0120382391124749	1.30559728803113	0.384709965678703	Other / unclassified
