disease_theme	matched_dgn_term_count	target_count	background_count	total_theme_gene_count	target_fraction_in_theme	odds_ratio	log2_odds_ratio	p_value	q_value
Metabolic / mitochondrial	479	10	5831	5841	0.0017120356103407	0.245825085399511	-2.02429595080062	2.09029221115196e-07	2.09029221115196e-06
Ataxia / cerebellar degeneration	305	3	2025	2028	0.0014792899408284	0.280486020434036	-1.83399922691632	0.00440785589324869	0.00881571178649738
Immune / inflammatory	539	17	6548	6565	0.00258948971820259	0.371459112773918	-1.42872467562991	2.95384881054937e-05	0.000147692440527468
Alzheimer / tau / dementia	95	9	3525	3534	0.00254668930390492	0.423834143448383	-1.23842828112842	0.00594311282047067	0.00990518803411779
Parkinsonism	66	5	2100	2105	0.00237529691211401	0.431050539864877	-1.21407106237631	0.0306541423058406	0.0383176778823008
Myopathy / muscle / cardiomyopathy	461	7	2802	2809	0.00249199003203987	0.431191968941212	-1.21359778710442	0.0137559326983228	0.0196513324261755
Developmental / congenital syndromes	3439	29	8718	8747	0.00331542243054762	0.450220285843916	-1.15129703225995	8.65896437380006e-05	0.000288632145793335
ALS / motor neuron / FTD	183	5	1875	1880	0.00265957446808511	0.488844142330094	-1.03255352935976	0.0742513551280365	0.0825015056978184
Cancer / neoplasia	3263	58	13517	13575	0.00427255985267035	0.502522755787043	-0.992739167416109	0.000367610905350336	0.00091902726337584
Premature aging / genome instability	61	3	1053	1056	0.00284090909090909	0.568497166308384	-0.814774936909735	0.289044146431385	0.289044146431385
