canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
A0A024RBG1	Other / unclassified	Other / unclassified	NUDT4B	NUD4B_HUMAN	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B)				a0a024rbg1 nudt4b nud4b_human diphosphoinositol polyphosphate phosphohydrolase nudt4b (dipp-2b) (ec 3.6.1.52) (nucleoside diphosphate-linked moiety x motif 4b) (nudix motif 4b) (nudix hydrolase 4b)   	False
A0A060CZ20	Membrane / receptor / extracellular	Other / unclassified	HLA-A	A0A060CZ20_HUMAN	Lymphocyte antigen;	Name: HLA-A; Synonyms: hla-A;			a0a060cz20 hla-a a0a060cz20_human lymphocyte antigen; name: hla-a; synonyms: hla-a;  	False
A0A075B6H7	Membrane / receptor / extracellular	Other / unclassified	IGKV3-7	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7				a0a075b6h7 igkv3-7 kv37_human probable non-functional immunoglobulin kappa variable 3-7   	False
A0A075B6H8	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-42	KVD42_HUMAN	Probable non-functional immunoglobulin kappa variable 1D-42				a0a075b6h8 igkv1d-42 kvd42_human probable non-functional immunoglobulin kappa variable 1d-42   	False
A0A075B6H9	Membrane / receptor / extracellular	Other / unclassified	IGLV4-69	LV469_HUMAN	Immunoglobulin lambda variable 4-69				a0a075b6h9 iglv4-69 lv469_human immunoglobulin lambda variable 4-69   	False
A0A075B6I0	Membrane / receptor / extracellular	Other / unclassified	IGLV8-61	LV861_HUMAN	Immunoglobulin lambda variable 8-61				a0a075b6i0 iglv8-61 lv861_human immunoglobulin lambda variable 8-61   	False
A0A075B6I1	Membrane / receptor / extracellular	Other / unclassified	IGLV4-60	LV460_HUMAN	Immunoglobulin lambda variable 4-60				a0a075b6i1 iglv4-60 lv460_human immunoglobulin lambda variable 4-60   	False
A0A075B6I3	Membrane / receptor / extracellular	Other / unclassified	IGLV11-55	LVK55_HUMAN	Probable non-functional immunoglobulin lambda variable 11-55				a0a075b6i3 iglv11-55 lvk55_human probable non-functional immunoglobulin lambda variable 11-55   	False
A0A075B6I4	Membrane / receptor / extracellular	Other / unclassified	IGLV10-54	LVX54_HUMAN	Immunoglobulin lambda variable 10-54				a0a075b6i4 iglv10-54 lvx54_human immunoglobulin lambda variable 10-54   	False
A0A075B6I6	Membrane / receptor / extracellular	Other / unclassified	IGLV1-50	LV150_HUMAN	Probable non-functional immunoglobulin lambda variable 1-50				a0a075b6i6 iglv1-50 lv150_human probable non-functional immunoglobulin lambda variable 1-50   	False
A0A075B6I7	Membrane / receptor / extracellular	Other / unclassified	IGLV5-48	LV548_HUMAN	Probable non-functional immunoglobulin lambda variable 5-48				a0a075b6i7 iglv5-48 lv548_human probable non-functional immunoglobulin lambda variable 5-48   	False
