canonical_UniProtAC	family	label
A0A024R1R8	broad	Translation / ribosome / biogenesis
A0A024RBG1	broad	Other / unclassified
A0A060CZ20	broad	Membrane / receptor / extracellular
A0A075B6H7	broad	Membrane / receptor / extracellular
A0A075B6H8	broad	Membrane / receptor / extracellular
A0A075B6H9	broad	Membrane / receptor / extracellular
A0A075B6I0	broad	Membrane / receptor / extracellular
A0A075B6I1	broad	Membrane / receptor / extracellular
A0A075B6I3	broad	Membrane / receptor / extracellular
A0A075B6I4	broad	Membrane / receptor / extracellular
A0A075B6I6	broad	Membrane / receptor / extracellular
A0A075B6I7	broad	Membrane / receptor / extracellular
A0A075B6I9	broad	Membrane / receptor / extracellular
A0A075B6J1	broad	Membrane / receptor / extracellular
A0A075B6J2	broad	Membrane / receptor / extracellular
A0A075B6J6	broad	Membrane / receptor / extracellular
A0A075B6J9	broad	Membrane / receptor / extracellular
A0A075B6K0	broad	Membrane / receptor / extracellular
A0A075B6K2	broad	Membrane / receptor / extracellular
A0A075B6K4	broad	Membrane / receptor / extracellular
A0A075B6K5	broad	Membrane / receptor / extracellular
A0A075B6K6	broad	Membrane / receptor / extracellular
A0A075B6L2	broad	Membrane / receptor / extracellular
A0A075B6L6	broad	Membrane / receptor / extracellular
A0A075B6N1	broad	Membrane / receptor / extracellular
A0A075B6N2	broad	Membrane / receptor / extracellular
A0A075B6N3	broad	Membrane / receptor / extracellular
A0A075B6N4	broad	Membrane / receptor / extracellular
A0A075B6P5	broad	Membrane / receptor / extracellular
A0A075B6Q5	broad	Membrane / receptor / extracellular
A0A075B6R0	broad	Membrane / receptor / extracellular
A0A075B6R2	broad	Membrane / receptor / extracellular
A0A075B6R9	broad	Membrane / receptor / extracellular
A0A075B6S0	broad	Membrane / receptor / extracellular
A0A075B6S2	broad	Membrane / receptor / extracellular
A0A075B6S4	broad	Membrane / receptor / extracellular
A0A075B6S5	broad	Membrane / receptor / extracellular
A0A075B6S6	broad	Membrane / receptor / extracellular
A0A075B6S9	broad	Membrane / receptor / extracellular
A0A075B6T6	broad	Membrane / receptor / extracellular
A0A075B6T7	broad	Membrane / receptor / extracellular
A0A075B6T8	broad	Membrane / receptor / extracellular
A0A075B6U4	broad	Membrane / receptor / extracellular
A0A075B6V5	broad	Membrane / receptor / extracellular
A0A075B6W5	broad	Membrane / receptor / extracellular
A0A075B6X5	broad	Membrane / receptor / extracellular
A0A075B6Y3	broad	Membrane / receptor / extracellular
A0A075B6Y9	broad	Membrane / receptor / extracellular
A0A075B700	broad	Membrane / receptor / extracellular
A0A075B706	broad	Membrane / receptor / extracellular
A0A075B730	broad	Cytoplasmic / trafficking / cytoskeleton
A0A075B734	broad	Poorly characterized / specialized
A0A075B759	broad	Other / unclassified
A0A075B767	broad	Other / unclassified
A0A075B7F1	broad	Membrane / receptor / extracellular
A0A075B7F1	broad	Poorly characterized / specialized
A0A087WSW0	broad	Chromatin / transcription
A0A087WSX0	broad	Membrane / receptor / extracellular
A0A087WSY4	broad	Membrane / receptor / extracellular
A0A087WSY6	broad	Membrane / receptor / extracellular
A0A087WSZ0	broad	Membrane / receptor / extracellular
A0A087WSZ9	broad	Membrane / receptor / extracellular
A0A087WT01	broad	Membrane / receptor / extracellular
A0A087WT02	broad	Membrane / receptor / extracellular
A0A087WT03	broad	Membrane / receptor / extracellular
A0A087WTH1	broad	Membrane / receptor / extracellular
A0A087WUK2	broad	RNA-binding / RNP
A0A087WUL4	broad	RNA-binding / RNP
A0A087WUL4	broad	Chromatin / transcription
A0A087WUL4	broad	Signaling / enzymes
A0A087WUL8	broad	Other / unclassified
A0A087WUV0	broad	Chromatin / transcription
A0A087WV53	broad	Other / unclassified
A0A087WV62	broad	Membrane / receptor / extracellular
A0A087WVF7	broad	Cytoplasmic / trafficking / cytoskeleton
