canonical_UniProtAC	family	label
A0A024R1R8	subclass	Translation / initiation / elongation
A0A024RBG1	subclass	Other / unclassified
A0A060CZ20	subclass	Other / unclassified
A0A075B6H7	subclass	Other / unclassified
A0A075B6H8	subclass	Other / unclassified
A0A075B6H9	subclass	Other / unclassified
A0A075B6I0	subclass	Other / unclassified
A0A075B6I1	subclass	Other / unclassified
A0A075B6I3	subclass	Other / unclassified
A0A075B6I4	subclass	Other / unclassified
A0A075B6I6	subclass	Other / unclassified
A0A075B6I7	subclass	Other / unclassified
A0A075B6I9	subclass	Other / unclassified
A0A075B6J1	subclass	Other / unclassified
A0A075B6J2	subclass	Other / unclassified
A0A075B6J6	subclass	Other / unclassified
A0A075B6J9	subclass	Other / unclassified
A0A075B6K0	subclass	Other / unclassified
A0A075B6K2	subclass	Other / unclassified
A0A075B6K4	subclass	Other / unclassified
A0A075B6K5	subclass	Other / unclassified
A0A075B6K6	subclass	Other / unclassified
A0A075B6L2	subclass	Membrane / receptor / extracellular
A0A075B6L6	subclass	Membrane / receptor / extracellular
A0A075B6N1	subclass	Membrane / receptor / extracellular
A0A075B6N2	subclass	Membrane / receptor / extracellular
A0A075B6N3	subclass	Membrane / receptor / extracellular
A0A075B6N4	subclass	Membrane / receptor / extracellular
A0A075B6P5	subclass	Other / unclassified
A0A075B6Q5	subclass	Other / unclassified
A0A075B6R0	subclass	Membrane / receptor / extracellular
A0A075B6R2	subclass	Other / unclassified
A0A075B6R9	subclass	Other / unclassified
A0A075B6S0	subclass	Membrane / receptor / extracellular
A0A075B6S2	subclass	Other / unclassified
A0A075B6S4	subclass	Other / unclassified
A0A075B6S5	subclass	Other / unclassified
A0A075B6S6	subclass	Other / unclassified
A0A075B6S9	subclass	Other / unclassified
A0A075B6T6	subclass	Membrane / receptor / extracellular
A0A075B6T7	subclass	Membrane / receptor / extracellular
A0A075B6T8	subclass	Membrane / receptor / extracellular
A0A075B6U4	subclass	Membrane / receptor / extracellular
A0A075B6V5	subclass	Membrane / receptor / extracellular
A0A075B6W5	subclass	Membrane / receptor / extracellular
A0A075B6X5	subclass	Membrane / receptor / extracellular
A0A075B6Y3	subclass	Membrane / receptor / extracellular
A0A075B6Y9	subclass	Membrane / receptor / extracellular
A0A075B700	subclass	Membrane / receptor / extracellular
A0A075B706	subclass	Membrane / receptor / extracellular
A0A075B730	subclass	Adhesion / intermediate filament scaffolds
A0A075B734	subclass	Poorly characterized / specialized
A0A075B759	subclass	Other / unclassified
A0A075B767	subclass	Other / unclassified
A0A075B7F1	subclass	Poorly characterized / specialized
A0A087WSW0	subclass	Transcription / mediator / polymerase
A0A087WSW0	subclass	DNA-binding transcription factors / developmental regulators
A0A087WSX0	subclass	Other / unclassified
A0A087WSY4	subclass	Other / unclassified
A0A087WSY6	subclass	Other / unclassified
A0A087WSZ0	subclass	Other / unclassified
A0A087WSZ9	subclass	Membrane / receptor / extracellular
A0A087WT01	subclass	Membrane / receptor / extracellular
A0A087WT02	subclass	Membrane / receptor / extracellular
A0A087WT03	subclass	Membrane / receptor / extracellular
A0A087WTH1	subclass	Membrane / receptor / extracellular
A0A087WUK2	subclass	RRM / KH RBPs
A0A087WUK2	subclass	hnRNP / RG-rich RBPs
A0A087WUL4	subclass	RNA-associated zinc finger / post-transcriptional
A0A087WUL4	subclass	Transcription / mediator / polymerase
A0A087WUL4	subclass	Signaling / enzymes
A0A087WUL8	subclass	Other / unclassified
A0A087WUV0	subclass	DNA-binding transcription factors / developmental regulators
A0A087WV53	subclass	Other / unclassified
A0A087WV62	subclass	Membrane / receptor / extracellular
A0A087WVF3	subclass	Endomembrane / coat trafficking
A0A087WVF7	subclass	Cytoskeleton / trafficking
A0A087WW06	subclass	DNA repair / DDR
A0A087WW87	subclass	Other / unclassified
A0A087WWA1	subclass	Poorly characterized / specialized
A0A087WWP4	subclass	RRM / KH RBPs
A0A087WWP4	subclass	hnRNP / RG-rich RBPs
A0A087WWS6	subclass	Other / unclassified
A0A087WXM9	subclass	Cell cycle / centrosome / spindle
A0A087WXS9	subclass	Endomembrane / coat trafficking
A0A087WYA1	subclass	Cytoskeleton / trafficking
A0A087WZ32	subclass	Cytoskeleton / trafficking
A0A087WZV0	subclass	Signaling / enzymes
A0A087WZX0	subclass	Chromatin readers
A0A087X0D8	subclass	Other / unclassified
A0A087X0K7	subclass	Membrane / receptor / extracellular
A0A087X0M5	subclass	Membrane / receptor / extracellular
A0A087X0Q1	subclass	RRM / KH RBPs
A0A087X0Q1	subclass	mRNA processing / export / 3'-end
A0A087X179	subclass	Endomembrane / coat trafficking
A0A087X1A5	subclass	RRM / KH RBPs
A0A087X1A5	subclass	mRNA processing / export / 3'-end
A0A087X1C1	subclass	Other / unclassified
A0A087X1C5	subclass	Other / unclassified
A0A087X1G2	subclass	Endomembrane / coat trafficking
A0A087X208	subclass	Nuclear scaffold / pore / lamina
A0A087X208	subclass	Membrane / receptor / extracellular
A0A096LNH6	subclass	mRNA processing / export / 3'-end
A0A096LNH6	subclass	Nuclear scaffold / pore / lamina
A0A096LNH6	subclass	Cytoskeleton / trafficking
A0A096LNH7	subclass	Membrane / receptor / extracellular
A0A096LNP1	subclass	Other / unclassified
A0A096LNW5	subclass	Other / unclassified
A0A096LP01	subclass	Membrane / receptor / extracellular
A0A096LP44	subclass	Cytoskeleton / trafficking
A0A096LP44	subclass	Signaling / enzymes
A0A096LP49	subclass	Junction / polarity / scaffold
A0A096LP55	subclass	Mitochondrial / metabolic enzymes
A0A096LPI5	subclass	Poorly characterized / specialized
A0A096LPK9	subclass	Membrane / receptor / extracellular
A0A0A0MQV9	subclass	Chromatin writers / remodelers
A0A0A0MRF6	subclass	Nuclear scaffold / pore / lamina
A0A0A0MRF6	subclass	Cytoskeleton / trafficking
A0A0A0MRF6	subclass	Cell cycle / centrosome / spindle
A0A0A0MRF6	subclass	Signaling / enzymes
A0A0A0MRF9	subclass	Signaling / enzymes
A0A0A0MRJ6	subclass	Signaling / enzymes
A0A0A0MRM9	subclass	Nucleolar / ribosome biogenesis
A0A0A0MRZ7	subclass	Other / unclassified
A0A0A0MRZ8	subclass	Other / unclassified
A0A0A0MRZ9	subclass	Other / unclassified
A0A0A0MS00	subclass	Other / unclassified
A0A0A0MS01	subclass	Membrane / receptor / extracellular
A0A0A0MS02	subclass	Membrane / receptor / extracellular
A0A0A0MS03	subclass	Membrane / receptor / extracellular
A0A0A0MS04	subclass	Membrane / receptor / extracellular
A0A0A0MS05	subclass	Membrane / receptor / extracellular
A0A0A0MS06	subclass	Membrane / receptor / extracellular
A0A0A0MS14	subclass	Other / unclassified
A0A0A0MS15	subclass	Other / unclassified
A0A0A0MS59	subclass	Chromatin writers / remodelers
A0A0A0MSJ9	subclass	Signaling / enzymes
A0A0A0MSK4	subclass	DNA repair / DDR
A0A0A0MSS8	subclass	Signaling / enzymes
A0A0A0MT33	subclass	RRM / KH RBPs
A0A0A0MT33	subclass	mRNA processing / export / 3'-end
A0A0A0MT36	subclass	Other / unclassified
A0A0A0MT70	subclass	Membrane / receptor / extracellular
A0A0A0MT76	subclass	Other / unclassified
A0A0A0MT78	subclass	Membrane / receptor / extracellular
A0A0A0MT87	subclass	Membrane / receptor / extracellular
A0A0A0MT89	subclass	Other / unclassified
A0A0A0MT94	subclass	Membrane / receptor / extracellular
A0A0A0MTA4	subclass	Membrane / receptor / extracellular
A0A0A0MTA7	subclass	Membrane / receptor / extracellular
A0A0A0MTB8	subclass	Nucleolar / ribosome biogenesis
A0A0A0MTK1	subclass	DNA-binding transcription factors / developmental regulators
A0A0A0MTR7	subclass	Chromatin readers
A0A0A0MTR7	subclass	Signaling / enzymes
A0A0A6YYC5	subclass	Membrane / receptor / extracellular
A0A0A6YYD4	subclass	Membrane / receptor / extracellular
A0A0A6YYG2	subclass	Membrane / receptor / extracellular
A0A0A6YYG3	subclass	Membrane / receptor / extracellular
A0A0A6YYJ7	subclass	Membrane / receptor / extracellular
A0A0A6YYK1	subclass	Membrane / receptor / extracellular
A0A0A6YYK4	subclass	Membrane / receptor / extracellular
A0A0A6YYK6	subclass	Membrane / receptor / extracellular
A0A0A6YYK7	subclass	Membrane / receptor / extracellular
A0A0A6YYL3	subclass	Other / unclassified
A0A0B4J1U3	subclass	Other / unclassified
A0A0B4J1U4	subclass	Membrane / receptor / extracellular
A0A0B4J1U6	subclass	Membrane / receptor / extracellular
A0A0B4J1U7	subclass	Other / unclassified
A0A0B4J1V0	subclass	Other / unclassified
A0A0B4J1V1	subclass	Other / unclassified
A0A0B4J1V2	subclass	Other / unclassified
A0A0B4J1V6	subclass	Other / unclassified
A0A0B4J1V7	subclass	Other / unclassified
A0A0B4J1W7	subclass	Nuclear scaffold / pore / lamina
A0A0B4J1W7	subclass	Cytoskeleton / trafficking
A0A0B4J1X5	subclass	Other / unclassified
A0A0B4J1X8	subclass	Other / unclassified
A0A0B4J1Y8	subclass	Other / unclassified
A0A0B4J1Y9	subclass	Other / unclassified
