group_col	group_value	motif_family	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value
ip	ADMA	CARM1_hydrophobic_proline	198	0.34797891036906853	361	0.3005828476269775	1.2423132268158878	0.3130289688894111	0.048746486798025956	0.1787371182594285
ip	ADMA	CARM1_proline_rich	256	0.44991212653778556	504	0.4196502914238135	1.1311829894585097	0.17783233041520768	0.23726055576950117	0.3883205801802009
ip	ADMA	DR	17	0.029876977152899824	61	0.0507910074937552	0.5873891770591914	-0.76761141136093	0.04739260312673971	0.1787371182594285
ip	ADMA	ER	10	0.01757469244288225	10	0.00832639467110741	2.129579982126899	1.090568915213877	0.0949626611907495	0.2535526366258764
ip	ADMA	GAR	5	0.008787346221441126	14	0.011656952539550375	0.7979292019180844	-0.32566734915760315	0.8054475540084192	0.8859923094092611
ip	ADMA	GRG	200	0.351493848857645	449	0.37385512073272276	0.9083991986284565	-0.13860166155861356	0.36978529686173833	0.521842159146298
ip	ADMA	RD	6	0.01054481546572935	6	0.004995836802664446	2.121561668145519	1.085126614539407	0.21708865549194317	0.377048717433375
ip	ADMA	RE	7	0.012302284710017574	7	0.005828476269775187	2.1235555555555554	1.0864818523519328	0.1596662016064928	0.2927213696119035
ip	ADMA	RG	368	0.6467486818980668	919	0.765195670274771	0.5618613525259845	-0.8317139265422853	2.565563699980797e-07	8.46636020993663e-06
ip	ADMA	RGG	150	0.26362038664323373	429	0.3572023313905079	0.6452675936345308	-0.632030522026848	9.203104670698993e-05	0.0008104529486259626
ip	ADMA	RXR	244	0.4288224956063269	462	0.38467943380516234	1.201031261676423	0.2642737034819914	0.07752989605986468	0.2388872316473409
ip	MMA	CARM1_hydrophobic_proline	232	0.3118279569892473	327	0.31871345029239767	0.9689592254701173	-0.04549213765747401	0.795671128348754	0.8859923094092611
ip	MMA	CARM1_proline_rich	323	0.43413978494623656	437	0.42592592592592593	1.0341474326385358	0.048441877310496706	0.7337445171840248	0.8647703238240292
ip	MMA	DR	44	0.05913978494623656	34	0.03313840155945419	1.8275248528483796	0.8698910257877308	0.00971860174289701	0.04581626535937162
ip	MMA	ER	8	0.010752688172043012	12	0.011695906432748537	0.936673455532926	-0.09438191380357554	1.0	1.0
ip	MMA	GAR	6	0.008064516129032258	13	0.012670565302144249	0.6607738408686276	-0.5977715213202668	0.4845586878829317	0.6150167961591056
ip	MMA	GRG	258	0.3467741935483871	391	0.3810916179337232	0.8625047416910478	-0.21339570675225863	0.14741742659250678	0.2861632398560426
ip	MMA	RD	3	0.004032258064516129	9	0.008771929824561403	0.5055541753912766	-0.9840623946870025	0.3795215702882167	0.521842159146298
ip	MMA	RE	4	0.005376344086021506	10	0.009746588693957114	0.5883090575865728	-0.7653538467805632	0.4179200598306825	0.5516544789765009
ip	MMA	RG	577	0.7755376344086021	710	0.6920077972709552	1.5358429527240645	0.6190307011438462	9.823672104557123e-05	0.0008104529486259626
ip	MMA	RGG	288	0.3870967741935484	291	0.28362573099415206	1.5945904309582004	0.673185916715594	6.099616505490471e-06	0.00010064367234059278
ip	MMA	RXR	265	0.35618279569892475	441	0.4298245614035088	0.7342975943466971	-0.44556322136122806	0.001943970967560135	0.01283020838589689
ip	SDMA	CARM1_hydrophobic_proline	129	0.28227571115973743	430	0.3274942878903275	0.8090358985781638	-0.3057243754810029	0.0796290772157803	0.2388872316473409
ip	SDMA	CARM1_proline_rich	181	0.39606126914660833	579	0.44097486671744096	0.8319933471362573	-0.26535610268914833	0.09988437200413314	0.2535526366258764
ip	SDMA	DR	17	0.037199124726477024	61	0.046458492003046456	0.8090861271836328	-0.3056348092321162	0.5080415786249892	0.6209397072083201
ip	SDMA	ER	2	0.00437636761487965	18	0.013709063214013708	0.3843415314326401	-1.3795392143635439	0.12620430204169863	0.26029637296100344
ip	SDMA	GAR	8	0.0175054704595186	11	0.008377760853008377	2.1417517047927648	1.0987912368447497	0.11533542637418286	0.25373793802320227
ip	SDMA	GRG	191	0.4179431072210066	458	0.3488194973343488	1.3407636861369872	0.4230549800601402	0.00949400572569143	0.04581626535937162
ip	SDMA	RD	3	0.006564551422319475	9	0.006854531607006854	1.0574373226796363	0.08057215323736348	1.0	1.0
ip	SDMA	RE	3	0.006564551422319475	11	0.008377760853008377	0.8721959152436983	-0.19727586102764522	1.0	1.0
ip	SDMA	RG	342	0.7483588621444202	945	0.7197258187357197	1.1557251139482763	0.2087982975771397	0.24711309647830965	0.3883205801802009
ip	SDMA	RGG	141	0.3085339168490153	438	0.3335872048743336	0.8926254771310351	-0.16387311060763435	0.35439332271094776	0.521842159146298
ip	SDMA	RXR	197	0.4310722100656455	509	0.38766184310738766	1.1971297742131743	0.2595795553435896	0.10787001709046873	0.25373793802320227
