window_aa	methyl_site_count	protein_arg_count	observed_max_methyl_sites	null_mean_max_sites	null_q025_max_sites	null_q975_max_sites	observed_over_null_mean	log2_observed_over_null_mean	empirical_p_greater	best_window_start	best_window_end	best_window_arg_count	best_window_methyl_fraction_of_args	best_window_methyl_positions	canonical_UniProtAC	gene	q_value	max_log2_enrichment_for_protein
100	11	116	11	3.015	2.0	5.0	3.648424543946932	1.867273616511937	0.000999000999000999	55	145	15	0.7333333333333333	55,56,62,84,95,99,105,118,136,143,145	O60293	ZFC3H1	0.035464535464535464	1.867273616511937
10	5	151	4	1.112	1.0	2.0	3.597122302158273	1.8468432119385796	0.000999000999000999	2122	2132	4	1.0	2122,2128,2131,2132	O43497	CACNA1G	0.035464535464535464	1.8468432119385796
10	8	77	5	1.411	1.0	2.0	3.543586109142452	1.825210106952185	0.000999000999000999	1396	1403	5	1.0	1396,1398,1400,1401,1403	Q12888	TP53BP1	0.035464535464535464	1.825210106952185
50	4	226	4	1.131	1.0	2.0	3.5366931918656057	1.8224010706722666	0.000999000999000999	206	238	8	0.5	206,235,236,238	Q5CZC0	FSIP2	0.035464535464535464	1.8224010706722666
15	5	151	4	1.164	1.0	2.0	3.436426116838488	1.7809089417538033	0.000999000999000999	2122	2132	4	1.0	2122,2128,2131,2132	O43497	CACNA1G	0.035464535464535464	1.8468432119385796
30	5	270	4	1.166	1.0	2.0	3.430531732418525	1.7784322114615907	0.000999000999000999	540	563	4	1.0	540,544,553,563	Q9UKN7	MYO15A	0.035464535464535464	1.7784322114615907
20	6	327	4	1.167	1.0	2.0	3.427592116538132	1.7771954389547389	0.000999000999000999	8	25	4	1.0	8,18,19,25	Q8IZT6	ASPM	0.035464535464535464	1.7771954389547389
20	4	64	4	1.172	1.0	2.0	3.4129692832764507	1.7710274302398392	0.000999000999000999	628	645	4	1.0	628,635,640,645	Q68CZ2	TNS3	0.035464535464535464	1.7710274302398392
75	4	226	4	1.174	1.0	2.0	3.4071550255536627	1.768567591552035	0.000999000999000999	206	238	8	0.5	206,235,236,238	Q5CZC0	FSIP2	0.035464535464535464	1.8224010706722666
10	4	55	4	1.178	1.0	2.0	3.395585738539898	1.7636604608316264	0.000999000999000999	232	239	4	1.0	232,234,237,239	Q9HAU4	SMURF2	0.035464535464535464	1.7636604608316264
75	8	85	8	2.36	2.0	4.0	3.3898305084745766	1.7612131404128835	0.000999000999000999	207	270	8	1.0	207,210,211,218,234,238,254,270	Q99569	PKP4	0.035464535464535464	1.7612131404128835
20	5	151	4	1.199	1.0	2.0	3.3361134278565467	1.7381683412478632	0.000999000999000999	2122	2132	4	1.0	2122,2128,2131,2132	O43497	CACNA1G	0.035464535464535464	1.8468432119385796
5	8	77	4	1.215	1.0	2.0	3.2921810699588474	1.7190436861689435	0.000999000999000999	1396	1401	4	1.0	1396,1398,1400,1401	Q12888	TP53BP1	0.035464535464535464	1.825210106952185
100	4	226	4	1.215	1.0	2.0	3.2921810699588474	1.7190436861689435	0.000999000999000999	206	238	8	0.5	206,235,236,238	Q5CZC0	FSIP2	0.035464535464535464	1.8224010706722666
15	8	77	5	1.527	1.0	3.0	3.2743942370661427	1.711228032752598	0.000999000999000999	1396	1403	5	1.0	1396,1398,1400,1401,1403	Q12888	TP53BP1	0.035464535464535464	1.825210106952185
50	8	85	7	2.141	1.0	3.0	3.269500233535731	1.7090701263341816	0.000999000999000999	207	254	7	1.0	207,210,211,218,234,238,254	Q99569	PKP4	0.035464535464535464	1.7612131404128835
30	6	327	4	1.241	1.0	2.0	3.2232070910556	1.6884968845317303	0.000999000999000999	8	25	4	1.0	8,18,19,25	Q8IZT6	ASPM	0.035464535464535464	1.7771954389547389
15	4	55	4	1.258	1.0	2.0	3.179650238473768	1.6688680777827978	0.000999000999000999	232	239	4	1.0	232,234,237,239	Q9HAU4	SMURF2	0.035464535464535464	1.7636604608316264
30	5	151	4	1.263	1.0	2.0	3.1670625494853524	1.6631453608745348	0.000999000999000999	2122	2132	4	1.0	2122,2128,2131,2132	O43497	CACNA1G	0.035464535464535464	1.8468432119385796
50	5	270	4	1.264	1.0	2.0	3.1645569620253164	1.6620035364849841	0.000999000999000999	540	563	4	1.0	540,544,553,563	Q9UKN7	MYO15A	0.035464535464535464	1.7784322114615907
30	4	64	4	1.269	1.0	2.0	3.1520882584712373	1.6563079308209812	0.000999000999000999	628	645	4	1.0	628,635,640,645	Q68CZ2	TNS3	0.035464535464535464	1.7710274302398392
15	4	34	4	1.277	1.0	2.0	3.1323414252153485	1.6472414749593633	0.000999000999000999	631	642	4	1.0	631,633,641,642	Q8IWZ8	SUGP1	0.035464535464535464	1.6472414749593633
50	7	73	7	2.241	1.0	3.0	3.1236055332440875	1.643212273209298	0.000999000999000999	862	911	7	1.0	862,867,874,878,905,909,911	Q9P107	GMIP	0.035464535464535464	1.643212273209298
50	13	52	12	3.848	3.0	6.0	3.1185031185031185	1.6408537016132012	0.000999000999000999	570	616	12	1.0	570,572,574,576,577,580,587,592,594,604,606,616	P49959	MRE11A	0.035464535464535464	1.6408537016132012
100	8	85	8	2.579	2.0	4.0	3.1019775106630476	1.633188226872873	0.000999000999000999	207	270	8	1.0	207,210,211,218,234,238,254,270	Q99569	PKP4	0.035464535464535464	1.7612131404128835
100	7	80	7	2.27	1.0	4.0	3.0837004405286343	1.6246626245414137	0.000999000999000999	1784	1877	11	0.6363636363636364	1784,1809,1833,1843,1851,1859,1877	Q5JRA6	MIA3	0.035464535464535464	1.6246626245414137
30	5	55	5	1.624	1.0	3.0	3.0788177339901477	1.6223764623642731	0.000999000999000999	868	893	5	1.0	868,871,878,885,893	Q96EK7	FAM120B	0.035464535464535464	1.6223764623642731
20	8	77	5	1.638	1.0	3.0	3.0525030525030528	1.6099927379084409	0.000999000999000999	1396	1403	5	1.0	1396,1398,1400,1401,1403	Q12888	TP53BP1	0.035464535464535464	1.825210106952185
10	9	61	5	1.654	1.0	3.0	3.0229746070133015	1.595968860378175	0.000999000999000999	10	17	5	1.0	10,11,14,15,17	P33991	MCM4	0.035464535464535464	1.595968860378175
20	4	55	4	1.329	1.0	2.0	3.0097817908201656	1.5896588953859125	0.000999000999000999	232	239	4	1.0	232,234,237,239	Q9HAU4	SMURF2	0.035464535464535464	1.7636604608316264
75	11	111	7	2.348	2.0	4.0	2.981260647359455	1.575922513609639	0.000999000999000999	1854	1912	7	1.0	1854,1859,1862,1871,1899,1910,1912	Q93074	MED12	0.035464535464535464	1.575922513609639
50	7	108	6	2.021	1.0	3.0	2.9688273132112815	1.5698931790035078	0.000999000999000999	1378	1416	6	1.0	1378,1387,1395,1400,1405,1416	Q9P2R6	RERE	0.035464535464535464	1.5698931790035078
50	9	119	8	2.698	2.0	4.0	2.965159377316531	1.5681096517138196	0.000999000999000999	107	157	11	0.7272727272727273	107,118,120,128,130,149,153,157	Q6Y7W6	GIGYF2	0.035464535464535464	1.5681096517138196
5	4	226	3	1.016	1.0	1.0	2.952755905511811	1.5620620986110774	0.000999000999000999	235	238	3	1.0	235,236,238	Q5CZC0	FSIP2	0.035464535464535464	1.8224010706722666
75	7	84	7	2.375	2.0	4.0	2.9473684210526314	1.5594274086140185	0.000999000999000999	12	71	11	0.6363636363636364	12,13,44,47,61,69,71	Q96FS4	SIPA1	0.035464535464535464	1.5594274086140185
