occupancy_k	distance_aa	sites_with_at_least_k_neighbors	sites_total	observed_fraction	permutation
1	1	290	12826	0.02261032278184937	1
1	2	679	12826	0.05293934196164042	1
1	3	951	12826	0.07414626539840947	1
1	4	1210	12826	0.09433962264150944	1
1	5	1405	12826	0.10954311554654608	1
1	6	1673	12826	0.1304381724621862	1
1	8	2084	12826	0.1624824575081865	1
1	10	2505	12826	0.1953064088570092	1
1	15	3206	12826	0.24996101668485887	1
1	20	3749	12826	0.2922968969281148	1
1	30	4669	12826	0.3640261967877748	1
1	40	5319	12826	0.4147045064712303	1
1	50	5821	12826	0.4538437548729144	1
1	75	6785	12826	0.529003586464993	1
1	100	7487	12826	0.5837361609231249	1
2	1	8	12826	0.0006237330422579137	1
2	2	54	12826	0.004210198035240917	1
2	3	99	12826	0.007718696397941681	1
2	4	189	12826	0.014735693123343208	1
2	5	262	12826	0.02042725713394667	1
2	6	363	12826	0.02830188679245283	1
2	8	542	12826	0.042257913612973645	1
2	10	722	12826	0.0562919070637767	1
2	15	1161	12826	0.09051925775767972	1
2	20	1517	12826	0.11827537813815688	1
2	30	2114	12826	0.16482145641665366	1
2	40	2602	12826	0.2028691719943864	1
2	50	3051	12826	0.2378761889911118	1
2	75	3973	12826	0.30976142211133634	1
2	100	4657	12826	0.36309059722438797	1
3	1	0	12826	0.0	1
3	2	5	12826	0.000389833151411196	1
3	3	11	12826	0.0008576329331046312	1
3	4	39	12826	0.0030406985810073287	1
3	5	56	12826	0.0043661312958053955	1
3	6	91	12826	0.007094963355683767	1
3	8	183	12826	0.014267893341649775	1
3	10	274	12826	0.02136285669733354	1
3	15	534	12826	0.04163418057071573	1
3	20	757	12826	0.059020739123655075	1
3	30	1169	12826	0.09114299079993762	1
3	40	1516	12826	0.11819741150787463	1
3	50	1890	12826	0.1473569312334321	1
3	75	2650	12826	0.2066115702479339	1
3	100	3205	12826	0.24988305005457664	1
4	1	0	12826	0.0	1
4	2	0	12826	0.0	1
4	3	3	12826	0.0002338998908467176	1
4	4	8	12826	0.0006237330422579137	1
4	5	20	12826	0.001559332605644784	1
4	6	30	12826	0.002338998908467176	1
4	8	51	12826	0.003976298144394199	1
4	10	105	12826	0.008186496179635116	1
4	15	253	12826	0.01972555746140652	1
4	20	403	12826	0.0314205520037424	1
4	30	700	12826	0.054576641197567444	1
4	40	990	12826	0.07718696397941681	1
4	50	1217	12826	0.0948853890534851	1
4	75	1861	12826	0.14509589895524716	1
4	100	2367	12826	0.1845470138780602	1
5	1	0	12826	0.0	1
5	2	0	12826	0.0	1
5	3	0	12826	0.0	1
5	4	0	12826	0.0	1
5	5	3	12826	0.0002338998908467176	1
5	6	9	12826	0.0007016996725401528	1
5	8	19	12826	0.0014813659753625447	1
5	10	46	12826	0.0035864649929830033	1
5	15	126	12826	0.00982379541556214	1
5	20	215	12826	0.01676282551068143	1
5	30	423	12826	0.03297988460938718	1
5	40	648	12826	0.050522376422891	1
5	50	866	12826	0.06751910182441914	1
5	75	1297	12826	0.10112271947606424	1
5	100	1699	12826	0.1324653048495244	1
6	1	0	12826	0.0	1
6	2	0	12826	0.0	1
6	3	0	12826	0.0	1
6	4	0	12826	0.0	1
6	5	0	12826	0.0	1
6	6	2	12826	0.0001559332605644784	1
6	8	5	12826	0.000389833151411196	1
6	10	11	12826	0.0008576329331046312	1
6	15	46	12826	0.0035864649929830033	1
6	20	107	12826	0.008342429440199594	1
6	30	259	12826	0.020193357243099952	1
6	40	465	12826	0.036254483081241226	1
6	50	633	12826	0.049352876968657415	1
6	75	1027	12826	0.08007172929985966	1
6	100	1325	12826	0.10330578512396695	1
7	1	0	12826	0.0	1
7	2	0	12826	0.0	1
7	3	0	12826	0.0	1
7	4	0	12826	0.0	1
7	5	0	12826	0.0	1
7	6	0	12826	0.0	1
7	8	2	12826	0.0001559332605644784	1
7	10	7	12826	0.0005457664119756744	1
7	15	24	12826	0.0018711991267737408	1
7	20	60	12826	0.004677997816934352	1
7	30	154	12826	0.012006861063464836	1
7	40	331	12826	0.025806954623421176	1
7	50	457	12826	0.03563075003898331	1
7	75	809	12826	0.06307500389833151	1
7	100	1073	12826	0.08365819429284266	1
8	1	0	12826	0.0	1
8	2	0	12826	0.0	1
8	3	0	12826	0.0	1
8	4	0	12826	0.0	1
8	5	0	12826	0.0	1
8	6	0	12826	0.0	1
8	8	0	12826	0.0	1
8	10	0	12826	0.0	1
8	15	2	12826	0.0001559332605644784	1
8	20	21	12826	0.0016372992359270232	1
8	30	94	12826	0.007328863246530485	1
8	40	216	12826	0.016840792140963668	1
8	50	337	12826	0.02627475440511461	1
8	75	592	12826	0.046156245127085604	1
8	100	841	12826	0.06556993606736317	1
9	1	0	12826	0.0	1
9	2	0	12826	0.0	1
9	3	0	12826	0.0	1
9	4	0	12826	0.0	1
9	5	0	12826	0.0	1
9	6	0	12826	0.0	1
9	8	0	12826	0.0	1
9	10	0	12826	0.0	1
9	15	0	12826	0.0	1
9	20	4	12826	0.0003118665211289568	1
9	30	49	12826	0.003820364883829721	1
9	40	140	12826	0.010915328239513489	1
9	50	252	12826	0.01964759083112428	1
9	75	460	12826	0.03586464992983003	1
9	100	664	12826	0.05176984250740683	1
10	1	0	12826	0.0	1
10	2	0	12826	0.0	1
10	3	0	12826	0.0	1
10	4	0	12826	0.0	1
10	5	0	12826	0.0	1
10	6	0	12826	0.0	1
10	8	0	12826	0.0	1
10	10	0	12826	0.0	1
10	15	0	12826	0.0	1
10	20	1	12826	7.79666302822392e-05	1
10	30	32	12826	0.0024949321690316546	1
10	40	81	12826	0.006315297052861375	1
10	50	173	12826	0.013488227038827382	1
10	75	365	12826	0.028457820053017308	1
10	100	540	12826	0.04210198035240917	1
1	1	267	12826	0.020817090285357866	2
1	2	669	12826	0.052159675658818024	2
1	3	943	12826	0.07352253235615157	2
1	4	1186	12826	0.09246842351473569	2
1	5	1430	12826	0.11149228130360206	2
1	6	1674	12826	0.13051613909246843	2
1	8	2114	12826	0.16482145641665366	2
1	10	2476	12826	0.19304537657882426	2
1	15	3192	12826	0.24886948386090754	2
1	20	3735	12826	0.2912053641041634	2
1	30	4583	12826	0.35732106658350227	2
1	40	5258	12826	0.4099485420240137	2
1	50	5846	12826	0.4557929206299704	2
1	75	6845	12826	0.5336815842819274	2
1	100	7500	12826	0.584749727116794	2
2	1	3	12826	0.0002338998908467176	2
2	2	38	12826	0.0029627319507250895	2
2	3	87	12826	0.00678309683455481	2
2	4	188	12826	0.01465772649306097	2
2	5	265	12826	0.02066115702479339	2
