occupancy_k	distance_aa	sites_with_at_least_k_neighbors	sites_total	observed_fraction	null_mean_fraction	null_q025_fraction	null_q975_fraction	empirical_p_greater	log2_observed_over_null	delta_fraction_vs_null	q_value
1	1	706	12826	0.055044440979260874	0.02132948697957274	0.01794986745672852	0.02455948853890535	0.00398406374501992	1.3677476050573858	0.03371495399968813	0.00649575610601074
1	2	1825	12826	0.14228910026508654	0.0518050834242944	0.047559644472165916	0.05605800717292998	0.00398406374501992	1.4576595758769704	0.09048401684079213	0.00649575610601074
1	3	2455	12826	0.19140807734289725	0.07354311554654608	0.0682208014969593	0.07844222672696087	0.00398406374501992	1.3799895116374445	0.11786496179635117	0.00649575610601074
1	4	3012	12826	0.23483549041010449	0.09310868548261343	0.08732262591610791	0.09849719320130984	0.00398406374501992	1.3346627992368973	0.14172680492749107	0.00649575610601074
1	5	3555	12826	0.27717137065336034	0.1108411040074848	0.10502105099017621	0.11675892717916732	0.00398406374501992	1.3222852619185748	0.16633026664587552	0.00649575610601074
1	6	4026	12826	0.313893653516295	0.13030968345548105	0.12431389365351629	0.13648448464057383	0.00398406374501992	1.2683315638306694	0.18358397006081395	0.00649575610601074
1	8	4923	12826	0.3838297208794636	0.16443630126305941	0.15805590207391237	0.17066895368782162	0.00398406374501992	1.2229376010693622	0.21939341961640418	0.00649575610601074
1	10	5472	12826	0.42663340090441293	0.19199469826914078	0.18506744113519413	0.19865897395914547	0.00398406374501992	1.1519304449391614	0.23463870263527214	0.00649575610601074
1	15	6325	12826	0.49313893653516294	0.2484665523156089	0.2406576485264307	0.25645758615312647	0.00398406374501992	0.9889425131402972	0.24467238421955403	0.00649575610601074
1	20	6730	12826	0.5247154217994698	0.2913170123187276	0.28411040074847965	0.3001871199126774	0.00398406374501992	0.8489452381640754	0.23339840948074225	0.00649575610601074
1	30	7283	12826	0.5678309683455481	0.358938406362077	0.35072898799313895	0.3669713862466864	0.00398406374501992	0.6617252332676659	0.20889256198347111	0.00649575610601074
1	40	7695	12826	0.5999532200218306	0.41008732262591613	0.40191018244191484	0.41803952908155306	0.00398406374501992	0.5489188691550474	0.18986589739591447	0.00649575610601074
1	50	7956	12826	0.6203025105254951	0.4524285046000312	0.44479182909714643	0.4602448152190862	0.00398406374501992	0.4552821367889592	0.16787400592546392	0.00649575610601074
1	75	8484	12826	0.6614688913145174	0.5288305005457664	0.5211211601434586	0.5364708404802744	0.00398406374501992	0.3228679212255347	0.13263839076875095	0.00649575610601074
1	100	8847	12826	0.6897707781069702	0.5829118977077811	0.5762084827693748	0.5903633244971153	0.00398406374501992	0.2428391623037812	0.10685888039918912	0.00649575610601074
2	1	8	12826	0.0006237330422579137	0.0005099017620458444	0.0002338998908467176	0.0008576329331046312	0.3147410358565737	0.29070936427664235	0.00011383128021206926	0.48174648345393933
2	2	122	12826	0.009511928894433183	0.0034383283954467487	0.002434508030562919	0.004600031186652113	0.00398406374501992	1.4680305868927281	0.006073600498986434	0.00649575610601074
2	3	271	12826	0.021128956806486823	0.007301418992671137	0.005691564010603461	0.009122095743021986	0.00398406374501992	1.5329727626857759	0.013827537813815686	0.00649575610601074
2	4	529	12826	0.041244347419304536	0.013710587868392328	0.011478637143302666	0.015983159207859036	0.00398406374501992	1.5889059792232596	0.02753375955091221	0.00649575610601074
2	5	746	12826	0.05816310619055044	0.01952752222048963	0.01709223452362389	0.022220489630438173	0.00398406374501992	1.5745954159204503	0.03863558397006081	0.00649575610601074
2	6	991	12826	0.07726493060969905	0.027089037891782318	0.02432558864805863	0.030173085919226572	0.00398406374501992	1.5121045901734929	0.05017589271791673	0.00649575610601074
