window_start_aa	window_end_aa	window_center_aa	window_label	observed_probability	null_mean_probability	null_q025_probability	null_q975_probability	ratio_vs_null	log2_ratio_vs_null	empirical_p_greater	empirical_q_greater
1	5	3.0	1-5 aa	0.27717137065336034	0.12734991423670666	0.12240760954311555	0.13303835958209886	2.1764551025780743	1.1219802595211499	0.009900990099009901	0.032403240324032405
2	6	4.0	2-6 aa	0.25884921253703413	0.1247216591298924	0.11954038671448619	0.13017893341649772	2.0754150830166034	1.053399904325489	0.009900990099009901	0.032403240324032405
3	7	5.0	3-7 aa	0.21448619990644005	0.11164119756744113	0.10637961952284422	0.11840597224387961	1.921210131921699	0.9420153220757662	0.009900990099009901	0.032403240324032405
4	8	6.0	4-8 aa	0.19242164353656635	0.10340480274442539	0.09838609075315766	0.1097536254483081	1.8608578946971581	0.8959678875069439	0.009900990099009901	0.032403240324032405
5	9	7.0	5-9 aa	0.17238421955403088	0.09691408077342897	0.09164782473101513	0.10346561671604554	1.7787324419558816	0.8308495158363964	0.009900990099009901	0.032403240324032405
6	10	8.0	6-10 aa	0.1494620302510526	0.09067753001715266	0.08568142834866677	0.09676828317480118	1.6482807838146913	0.7209620258415244	0.009900990099009901	0.032403240324032405
7	11	9.0	7-11 aa	0.1305941057227507	0.08073366599095587	0.0745653360361765	0.08609465148916262	1.6175916715757763	0.6938474744311757	0.009900990099009901	0.032403240324032405
8	12	10.0	8-12 aa	0.10112271947606422	0.0703134258537346	0.06377280523935755	0.07559059722438796	1.4381708507052247	0.5242350741246973	0.009900990099009901	0.032403240324032405
9	13	11.0	9-13 aa	0.08662092624356776	0.06495399968813347	0.05964057383439886	0.0697255574614065	1.3335734005521551	0.4152972337364528	0.009900990099009901	0.032403240324032405
10	14	12.0	10-14 aa	0.0758615312646187	0.06155231560891938	0.05667394355215967	0.06642756900046781	1.2324724182046176	0.30155536054665755	0.009900990099009901	0.032403240324032405
11	15	13.0	11-15 aa	0.06650553563075001	0.057895680648682356	0.05312841104007484	0.06288983315141121	1.148713252622648	0.2000187103873959	0.009900990099009901	0.032403240324032405
12	16	14.0	12-16 aa	0.05574614065180106	0.05487291439263996	0.050362544830812414	0.059143536566349596	1.0159136118215406	0.022777727803450033	0.33663366336633666	1.0
13	17	15.0	13-17 aa	0.05044440979260878	0.05125604241384688	0.04650124746608452	0.055438172462186186	0.9841651328698987	-0.02302768950114378	0.6534653465346535	1.0
14	18	16.0	14-18 aa	0.04366131295805392	0.04894900982379541	0.04498284734133791	0.05301730859192266	0.891975406963779	-0.16492416135670673	1.0	1.0
15	19	17.0	15-19 aa	0.036020583190394584	0.044624980508342425	0.04003001715265867	0.04921253703414938	0.8071842896079408	-0.30902999963695066	1.0	1.0
16	20	18.0	16-20 aa	0.0315764852643069	0.042419304537657895	0.03781381568688602	0.046509044129112755	0.7443895087029245	-0.4258703724415647	1.0	1.0
17	21	19.0	17-21 aa	0.03009511928894426	0.04069468267581475	0.03621355060034306	0.04477233743957586	0.7395344381645734	-0.43531076350296727	1.0	1.0
18	22	20.0	18-22 aa	0.027210353968501466	0.039649929830032744	0.03553329175113052	0.04331241228754094	0.6862648707108442	-0.5431625885934316	1.0	1.0
19	23	21.0	19-23 aa	0.025651021362856685	0.03748011850927802	0.033521752689848736	0.04118197411507871	0.68439008154435	-0.547109243023898	1.0	1.0
20	24	22.0	20-24 aa	0.025962887883985597	0.03727272727272728	0.03330929362232967	0.04120731326992048	0.6965652846922964	-0.5216695209725967	1.0	1.0
21	25	23.0	21-25 aa	0.025495088102292174	0.035555122407609545	0.03182013098393887	0.038638312802120704	0.7170580882836642	-0.4798380996920497	1.0	1.0
22	26	24.0	22-26 aa	0.02401372212692965	0.03409558708872602	0.030703259005145804	0.03811203804771558	0.7043058699778182	-0.5057259880899735	1.0	1.0
23	27	25.0	23-27 aa	0.022922189302978402	0.03214953999688134	0.029118587244659287	0.036065414002806793	0.712986540560206	-0.48805325251037796	1.0	1.0
24	28	26.0	24-28 aa	0.022376422891002723	0.03149695930141899	0.028338920941836897	0.03469904880711054	0.7104312094658174	-0.49323313376163	1.0	1.0
25	29	27.0	25-29 aa	0.020037423982535496	0.03033135817869952	0.026496959301418994	0.03380048339310774	0.6606174331028462	-0.5981130533305774	1.0	1.0
26	30	28.0	26-30 aa	0.017620458443786124	0.02927179167316388	0.02552822392016216	0.03235615156712926	0.6019603665033051	-0.7322595928383452	1.0	1.0
27	31	29.0	27-31 aa	0.016606892250117022	0.028552939341961646	0.02514228910026508	0.031539451114922824	0.5816176069029569	-0.7818571512710204	1.0	1.0
28	32	30.0	28-32 aa	0.015437392795883298	0.027773273039139252	0.024325588648058644	0.03123148292530797	0.5558362809499724	-0.8472680886354962	1.0	1.0
29	33	31.0	29-33 aa	0.015203492905036642	0.026807266489942302	0.02373499142367067	0.029750116949945414	0.5671407381554838	-0.818221304968465	1.0	1.0
30	34	32.0	30-34 aa	0.014969593014189875	0.02574068298768127	0.022836426009667867	0.028892484016840768	0.5815538391640144	-0.7820153350041998	1.0	1.0
31	35	33.0	31-35 aa	0.01504755964447213	0.02503586464992983	0.021844300639326387	0.027641119600810872	0.6010401420074104	-0.7344667466446521	1.0	1.0
32	36	34.0	32-36 aa	0.01559332605644781	0.02474348978637143	0.02205675970684545	0.027292218930297804	0.6301991429291645	-0.6661203025958339	1.0	1.0
33	37	35.0	33-37 aa	0.016528925619834767	0.02462887883985654	0.02127709340402306	0.028071885233120222	0.6711196935642177	-0.5753580022147601	1.0	1.0
34	38	36.0	34-38 aa	0.015515359426165554	0.024203181038515514	0.020653360361765148	0.027685950413223137	0.6410462906291254	-0.6414995557504037	1.0	1.0
35	39	37.0	35-39 aa	0.0161390924684236	0.023839856541400275	0.020969125214408205	0.027760018711991283	0.6769794289825724	-0.5628160988355758	1.0	1.0
36	40	38.0	36-40 aa	0.017074692031810335	0.023789178231716827	0.02081319195384375	0.0268984874473725	0.7177503932878846	-0.4784458789368624	1.0	1.0
