distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	mean_other_modified_sites_within_x	null_mean_other_modified_sites_within_x	delta_other_modified_sites_within_x_vs_null	ratio_other_modified_sites_within_x_vs_null	ptm_group
1	12826	0.055044440979260874	0.05566817402151879	706	714	0.02484796507094963	0.0017287975850681003	0.021555824107282084	0.028658584125994074	0.025398409480742238	0.0017928085434853358	0.021986589739591455	0.02932324964915016	0.009900990099009901	0.009900990099009901	0.030196475908311243	2.215249450894258	0.03026976454077655	2.1917976424361494	0.05566817402151879	0.025398409480742238	0.03026976454077655	2.1917976424361494	Arg methylation
2	12826	0.14228910026508654	0.15187899578980196	1825	1948	0.06062529237486355	0.0024371963968514653	0.05511461094651489	0.0645680648682364	0.06526586620926243	0.0027414037685154855	0.059164977389677215	0.07018556058007172	0.009900990099009901	0.009900990099009901	0.08166380789022298	2.3470253864554134	0.08661312958053953	2.327081591207741	0.15187899578980196	0.06526586620926243	0.08661312958053953	2.327081591207741	Arg methylation
3	12826	0.19140807734289725	0.2137845002338999	2455	2742	0.08534851083736161	0.002566264873196498	0.08061749571183534	0.09025222204896305	0.09606268517074691	0.0030973583328277945	0.09004755964447217	0.10143848432870732	0.009900990099009901	0.009900990099009901	0.10605956650553564	2.2426645229656157	0.11772181506315298	2.2254687119551986	0.2137845002338999	0.09606268517074691	0.11772181506315298	2.2254687119551986	Arg methylation
4	12826	0.23483549041010449	0.2817714018400125	3012	3614	0.10708404802744427	0.0027647532496618415	0.10232535474816778	0.11207898019647591	0.1286246686418213	0.003759596384221118	0.12185794479962576	0.13488227038827383	0.009900990099009901	0.009900990099009901	0.12775144238266023	2.193001616355773	0.1531467331981912	2.190648223356408	0.2817714018400125	0.1286246686418213	0.1531467331981912	2.190648223356408	Arg methylation
5	12826	0.27717137065336034	0.3480430375799158	3555	4464	0.12734991423670666	0.0027545288248997557	0.12240760954311555	0.13303835958209886	0.15983938874161863	0.003917994095852226	0.15343053173241852	0.16748791517230627	0.009900990099009901	0.009900990099009901	0.14982145641665368	2.1764551025780743	0.18820364883829716	2.1774547583044725	0.3480430375799158	0.15983938874161863	0.18820364883829716	2.1774547583044725	Arg methylation
6	12826	0.313893653516295	0.414938406362077	4026	5322	0.14956962420084202	0.0031868451964294285	0.14376656790893497	0.15618665211289567	0.19750974582878528	0.004535251859390798	0.18953297988460938	0.2062256354280368	0.009900990099009901	0.009900990099009901	0.16432402931545298	2.098645732336659	0.21742866053329174	2.1008502877714883	0.414938406362077	0.19750974582878528	0.21742866053329174	2.1008502877714883	Arg methylation
7	12826	0.3567753001715266	0.4968033681584282	4576	6372	0.17226648994230473	0.003254878584237221	0.1666926555434274	0.17942850460003118	0.2391532823951349	0.0047124021205937824	0.23108529549352877	0.24835100576953065	0.009900990099009901	0.009900990099009901	0.18450881022922186	2.071066173641881	0.2576500857632933	2.0773428789390294	0.4968033681584282	0.2391532823951349	0.2576500857632933	2.0773428789390294	Arg methylation
8	12826	0.3838297208794636	0.5612038047715577	4923	7198	0.18875331358178699	0.0034457543415783607	0.18286878216123498	0.19516996725401528	0.2732246998284734	0.004883580587821863	0.2653165445189459	0.2823288632465305	0.009900990099009901	0.009900990099009901	0.1950764072976766	2.033499246163696	0.2879791049430843	2.0540009930429917	0.5612038047715577	0.2732246998284734	0.2879791049430843	2.0540009930429917	Arg methylation
9	12826	0.40721970996413537	0.620614377046624	5223	7960	0.20399812880087317	0.003792587110490926	0.19795727428660534	0.21027990020271323	0.30577420863870264	0.005453736473485455	0.2967409948542024	0.31569078434430065	0.009900990099009901	0.009900990099009901	0.2032215811632622	1.9961933590166947	0.3148401684079214	2.029649197064658	0.620614377046624	0.30577420863870264	0.3148401684079214	2.029649197064658	Arg methylation
10	12826	0.42663340090441293	0.6826758147512865	5472	8756	0.2180274442538594	0.003932208950044986	0.21068337751442381	0.22529432402931546	0.3378855449867458	0.005850799603674	0.3279276469670981	0.34790269764540777	0.009900990099009901	0.009900990099009901	0.20860595665055354	1.956787607011822	0.3447902697645407	2.0204350996372624	0.6826758147512865	0.3378855449867458	0.3447902697645407	2.0204350996372624	Arg methylation
