distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	permutation	ptm_group
1	12826	0.024637455169187587	0.02541712147200998	316	326	1	Arg methylation
2	12826	0.0602682052081709	0.06486823639482302	773	832	1	Arg methylation
3	12826	0.0855293934196164	0.0952752222048963	1097	1222	1	Arg methylation
4	12826	0.1083736160923125	0.12880087322625916	1390	1652	1	Arg methylation
5	12826	0.12841104007484797	0.15842819273351005	1647	2032	1	Arg methylation
6	12826	0.1501637299235927	0.1955403087478559	1926	2508	1	Arg methylation
7	12826	0.1738655855293934	0.23842195540308747	2230	3058	1	Arg methylation
8	12826	0.18922501169499453	0.2714798066427569	2427	3482	1	Arg methylation
9	12826	0.20552003742398253	0.30297832527678153	2636	3886	1	Arg methylation
10	12826	0.22126929674099485	0.3358802432558865	2838	4308	1	Arg methylation
11	12826	0.23304225791361297	0.36691096210821766	2989	4706	1	Arg methylation
12	12826	0.24387961952284423	0.3943552159675659	3128	5058	1	Arg methylation
13	12826	0.2558864805863091	0.4267893341649774	3282	5474	1	Arg methylation
14	12826	0.26859504132231404	0.4626539840948074	3445	5934	1	Arg methylation
15	12826	0.2792764696709808	0.4939965694682676	3582	6336	1	Arg methylation
16	12826	0.2865273662872291	0.522844222672696	3675	6706	1	Arg methylation
17	12826	0.29588336192109777	0.5490410104475285	3795	7042	1	Arg methylation
18	12826	0.3040698581007329	0.5752377982223609	3900	7378	1	Arg methylation
19	12826	0.31046312178387653	0.5973803212225167	3982	7662	1	Arg methylation
20	12826	0.3193513176360518	0.6282551068142835	4096	8058	1	Arg methylation
21	12826	0.3266022142523	0.6546078278496803	4189	8396	1	Arg methylation
22	12826	0.33307344456572585	0.678933416497739	4272	8708	1	Arg methylation
23	12826	0.3391548417277405	0.7012318727584593	4350	8994	1	Arg methylation
24	12826	0.34734133790737565	0.7308591922657103	4455	9374	1	Arg methylation
25	12826	0.35412443474193045	0.7575237798222361	4542	9716	1	Arg methylation
26	12826	0.36090753157648525	0.7818493684702947	4629	10028	1	Arg methylation
27	12826	0.3669889287384999	0.8066427569000468	4707	10346	1	Arg methylation
28	12826	0.37314829253079684	0.8317480118509278	4786	10668	1	Arg methylation
29	12826	0.37891782317168254	0.8566973335412443	4860	10988	1	Arg methylation
30	12826	0.38297208794635895	0.8761889911118041	4912	11238	1	Arg methylation
31	12826	0.38788398565414	0.9016061125838142	4975	11564	1	Arg methylation
32	12826	0.3927958833619211	0.9279588336192109	5038	11902	1	Arg methylation
33	12826	0.39801964759083114	0.9518166224855762	5105	12208	1	Arg methylation
34	12826	0.4023857788866365	0.9738032122251676	5161	12490	1	Arg methylation
35	12826	0.40659597692187743	0.9957898019647591	5215	12772	1	Arg methylation
36	12826	0.41353500701699675	1.0204272571339468	5304	13088	1	Arg methylation
37	12826	0.41774520505223767	1.0403867144862	5358	13344	1	Arg methylation
38	12826	0.4214876033057851	1.065491969437081	5406	13666	1	Arg methylation
39	12826	0.4263995010135662	1.0901294246062685	5469	13982	1	Arg methylation
40	12826	0.43037579915796037	1.1149228130360205	5520	14300	1	Arg methylation
41	12826	0.4347419304537658	1.1387806019023858	5576	14606	1	Arg methylation
42	12826	0.43918602837985343	1.1645095898955247	5633	14936	1	Arg methylation
43	12826	0.44292842663340093	1.1863402463745516	5681	15216	1	Arg methylation
44	12826	0.4467487915172306	1.2087946358958366	5730	15504	1	Arg methylation
45	12826	0.45197255574614065	1.232340558241073	5797	15806	1	Arg methylation
46	12826	0.4557929206299704	1.256198347107438	5846	16112	1	Arg methylation
47	12826	0.46023701855605803	1.2791205364104163	5903	16406	1	Arg methylation
48	12826	0.46507094963355683	1.3023545922345237	5965	16704	1	Arg methylation
49	12826	0.4688133478871043	1.3271479806642756	6013	17022	1	Arg methylation
50	12826	0.4731015125526275	1.3520973023545921	6068	17342	1	Arg methylation
51	12826	0.4774676438484329	1.3756432246998285	6124	17644	1	Arg methylation
