category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value	ptm_group	context_layer
no_disorder_annotation	877	0.06392594212406152	644	0.00102229524331103	66.71758185681301	6.059995094904872	0.0	0.0	Arg methylation	disorder
disordered	6221	0.45345870690283546	166422	0.26418077481724883	2.3109459841564473	1.2084835387755304	0.0	0.0	Arg methylation	disorder
disorder_boundary	3057	0.22282965230701945	161293	0.2560389234151646	0.833202876055745	-0.2632602755949772	3.8535191834647586e-19	3.8535191834647586e-19	Arg methylation	disorder
ordered	3564	0.25978569866608353	301596	0.4787580065242755	0.38213832614064785	-1.3878331364324914	0.0	0.0	Arg methylation	disorder
disordered	780	0.2907193440178904	159192	0.2443712726519146	1.2678778456608433	0.34241575498157345	4.406388221339986e-08	1.7625552885359943e-07	Lys acylation	disorder
disorder_boundary	661	0.24636600819977636	163510	0.25099971601157445	0.9759985838221364	-0.03504904045397848	0.5923932546511625	0.5923932546511625	Lys acylation	disorder
ordered	1242	0.4629146477823332	328111	0.5036741961976252	0.8493739027740104	-0.23552831268770594	2.6665967494932242e-05	5.3331934989864484e-05	Lys acylation	disorder
no_disorder_annotation	0	0.0	622	0.0009548151388856908	0.19479849713742242	-2.3599455477584392	0.19275049737794064	0.2570006631705875	Lys acylation	disorder
no_disorder_annotation	0	0.0	622	0.0009512390576921901	2.2375643298139254	1.161929160352046	1.0	1.0	Lys methylation	disorder
disordered	85	0.36324786324786323	159887	0.2445189054939408	1.7669943514317785	0.8212974280194753	5.023995396084659e-05	0.00010047990792169317	Lys methylation	disorder
disorder_boundary	75	0.32051282051282054	164096	0.2509558270274238	1.4128482889497882	0.49860655800688336	0.015810239602832774	0.021080319470443698	Lys methylation	disorder
ordered	74	0.3162393162393162	329279	0.5035740284209431	0.45758567113010296	-1.1278862187177467	8.767715280533055e-09	3.507086112213222e-08	Lys methylation	disorder
disordered	41398	0.6262082318595048	480343	0.26627275352822777	4.61629045570818	2.206734000808916	0.0	0.0	Phosphorylation	disorder
disorder_boundary	12853	0.19442133446278118	418323	0.23189266227297747	0.7994353081114854	-0.3229468021985093	5.505744434302654e-116	7.340992579070206e-116	Phosphorylation	disorder
ordered	11845	0.1791737887428338	902909	0.5005174752529309	0.2178405099256047	-2.1986558302984505	0.0	0.0	Phosphorylation	disorder
no_disorder_annotation	13	0.00019664493488027348	2376	0.0013171089458638289	0.15483529078530817	-2.69119376010884	2.4839176283944717e-22	2.4839176283944717e-22	Phosphorylation	disorder
disordered	187	0.29082426127527217	159785	0.24451585753089253	1.2690475483865327	0.3437461247632057	0.007696764847968197	0.03078705939187279	Ubiquitin/SUMO	disorder
disorder_boundary	154	0.23950233281493002	164017	0.2509920042847852	0.941892794549549	-0.08636523204855599	0.5242736295451447	0.6990315060601929	Ubiquitin/SUMO	disorder
ordered	302	0.46967340590979784	329051	0.5035403037606642	0.8733421883839608	-0.19538106101240585	0.0897485079742747	0.1794970159485494	Ubiquitin/SUMO	disorder
no_disorder_annotation	0	0.0	622	0.0009518344236581353	0.8148878341649426	-0.2953266026976045	1.0	1.0	Ubiquitin/SUMO	disorder
distal	4800	0.34987972884321017	60944	0.0967434181806637	5.024958618611696	2.3291117155016132	0.0	0.0	Arg methylation	domain
boundary	970	0.07070486187039872	11635	0.018469573223484217	4.045116011419922	2.016181078848124	8.409276456986243e-256	8.409276456986243e-256	Arg methylation	domain
in_domain	5503	0.4011225307967053	94624	0.15020755450786166	3.789407518455108	1.9219722977352385	0.0	0.0	Arg methylation	domain
no_domain_annotation	2446	0.17829287848968584	462752	0.7345794540879904	0.07841209209794944	-3.6727800371619868	0.0	0.0	Arg methylation	domain
in_domain	1277	0.4759597465523668	105542	0.1620146292415974	4.6978778267492585	2.2320091950370293	0.0	0.0	Lys acylation	domain
boundary	85	0.03168095415579575	12400	0.019034899874891587	1.6956225431672984	0.7618150521493544	1.0348450379799588e-05	1.3797933839732784e-05	Lys acylation	domain
distal	272	0.1013790532985464	61855	0.09495191385172734	1.0770702482967662	0.10711234789911098	0.2618459059135872	0.2618459059135872	Lys acylation	domain
no_domain_annotation	1049	0.39098024599329106	471638	0.7239985570317837	0.24477773810017095	-2.030455740259268	6.17027089296347e-282	1.234054178592694e-281	Lys acylation	domain
