substrate_UniProtAC	canonical_UniProtAC	substrate_genename	accession_is_isoform	needs_sequence_remap	canonical_counting_status	site_count_accession_level	label
P48634	P48634	PRRC2A	False	False	canonical_or_unversioned_accession	46	PRRC2A (P48634)
Q92804	Q92804	TAF15	False	False	canonical_or_unversioned_accession	41	TAF15 (Q92804)
Q9Y520	Q9Y520	PRRC2C	False	False	canonical_or_unversioned_accession	39	PRRC2C (Q9Y520)
Q01844	Q01844	EWSR1	False	False	canonical_or_unversioned_accession	35	EWSR1 (Q01844)
P49750	P49750	YLPM1	False	False	canonical_or_unversioned_accession	35	YLPM1 (P49750)
Q9C0J8	Q9C0J8	WDR33	False	False	canonical_or_unversioned_accession	34	WDR33 (Q9C0J8)
O94913	O94913	PCF11	False	False	canonical_or_unversioned_accession	33	PCF11 (O94913)
P38159	P38159	RBMX	False	False	canonical_or_unversioned_accession	33	RBMX (P38159)
P16989	P16989	CSDA	False	False	canonical_or_unversioned_accession	31	CSDA (P16989)
P35637	P35637	FUS	False	False	canonical_or_unversioned_accession	30	FUS (P35637)
P0CG12	P0CG12	CHTF8	False	False	canonical_or_unversioned_accession	29	CHTF8 (P0CG12)
Q9Y3Y2	Q9Y3Y2	CHTOP	False	False	canonical_or_unversioned_accession	29	CHTOP (Q9Y3Y2)
Q14152	Q14152	EIF3A	False	False	canonical_or_unversioned_accession	29	EIF3A (Q14152)
P61978	P61978	HNRNPK	False	False	canonical_or_unversioned_accession	28	HNRNPK (P61978)
Q96E39	Q96E39	RBMXL1	False	False	canonical_or_unversioned_accession	27	RBMXL1 (Q96E39)
Q9UQ35	Q9UQ35	SRRM2	False	False	canonical_or_unversioned_accession	27	SRRM2 (Q9UQ35)
P18583	P18583	SON	False	False	canonical_or_unversioned_accession	25	SON (P18583)
Q9Y2W1	Q9Y2W1	THRAP3	False	False	canonical_or_unversioned_accession	25	THRAP3 (Q9Y2W1)
Q9BTC0	Q9BTC0	DIDO1	False	False	canonical_or_unversioned_accession	24	DIDO1 (Q9BTC0)
Q04637	Q04637	EIF4G1	False	False	canonical_or_unversioned_accession	24	EIF4G1 (Q04637)
Q00839	Q00839	HNRNPU	False	False	canonical_or_unversioned_accession	24	HNRNPU (Q00839)
Q07666	Q07666	KHDRBS1	False	False	canonical_or_unversioned_accession	24	KHDRBS1 (Q07666)
Q8WUF5	Q8WUF5	PPP1R13L	False	False	canonical_or_unversioned_accession	24	PPP1R13L (Q8WUF5)
Q8NC51	Q8NC51	SERBP1	False	False	canonical_or_unversioned_accession	24	SERBP1 (Q8NC51)
Q92841	Q92841	DDX17	False	False	canonical_or_unversioned_accession	23	DDX17 (Q92841)
O00571	O00571	DDX3X	False	False	canonical_or_unversioned_accession	23	DDX3X (O00571)
P67809	P67809	YBX1	False	False	canonical_or_unversioned_accession	23	YBX1 (P67809)
P52272	P52272	HNRNPM	False	False	canonical_or_unversioned_accession	22	HNRNPM (P52272)
Q86U42	Q86U42	PABPN1	False	False	canonical_or_unversioned_accession	22	PABPN1 (Q86U42)
Q5JSZ5	Q5JSZ5	PRRC2B	False	False	canonical_or_unversioned_accession	22	PRRC2B (Q5JSZ5)
