canonical_UniProtAC	substrate_genename	methyl_site_count	arginine_count	other_methyl	other_arg	odds_ratio	log2_odds_ratio	p_value	q_value	expected_global_rate	posterior_rate	shrinkage_log2_enrichment	binom_p_value	binom_q_value	protein_length	label
Q92804	TAF15	41	56	12804	642725	131.71650717552674	7.041292350311678	2.417307773773132e-57	1.160066000633726e-53	0.01998347804306599	0.1757683422211453	3.1367956436036337	2.571151112214049e-57	1.2338954187515222e-53	592	TAF15 (Q92804)
Q01844	EWSR1	35	45	12810	642736	166.25045860817298	7.377214510122833	8.367563112458857e-51	2.0077967688345028e-47	0.01998347804306599	0.15917018615760486	2.993690527625648	8.751913729385099e-51	2.1000216993659546e-47	656	EWSR1 (Q01844)
P16989	CSDA	31	41	12814	642740	147.47196535174996	7.2042969117601805	1.8635349774822132e-44	2.2357760892342854e-41	0.01998347804306599	0.14521450460005475	2.8613059573275574	1.9299919240950343e-44	2.3155078109330176e-41	372	CSDA (P16989)
P38159	RBMX	33	57	12812	642724	67.22411149825784	6.070906876996991	3.779153560533408e-41	2.5908797052856893e-38	0.01998347804306599	0.1439560140412965	2.848748456239937	3.9299719844461835e-41	2.694276507622462e-38	391	RBMX (P38159)
P35637	FUS	30	37	12815	642744	199.89179509188094	7.643075445132954	9.101796942758208e-45	1.455984117609888e-41	0.01998347804306599	0.14344597303212317	2.8436278625059694	9.406219044184662e-45	1.5046815064347398e-41	526	FUS (P35637)
P0CG12	CHTF8	29	36	12816	642745	193.3228806616471	7.594868587094079	3.701687394962919e-43	3.5528795616854095e-40	0.01998347804306599	0.1398165068161576	2.8066550908640036	3.817072374477892e-43	3.6636260650238806e-40	524	CHTF8 (P0CG12)
Q9Y3Y2	CHTOP	29	38	12816	642743	152.62284226541854	7.253827088754905	6.952644299669307e-42	5.5609566656855005e-39	0.01998347804306599	0.1386415781874504	2.7944803769179014	7.168743055089199e-42	5.733799653562177e-39	248	CHTOP (Q9Y3Y2)
P61978	HNRNPK	28	36	12817	642745	164.78355419405912	7.364428454949947	6.600706882401155e-41	3.9595990410803926e-38	0.01998347804306599	0.1355792186805644	2.762256456624933	6.791705763063709e-41	4.0741744946178425e-38	463	HNRNPK (P61978)
P48634	PRRC2A	46	179	12799	642602	17.13893186663278	4.099205295427055	6.2374158719462765e-37	3.325928752163353e-34	0.01998347804306599	0.13191740266124855	2.7227552934590347	6.689855962722689e-37	3.5671798627895762e-34	2157	PRRC2A (P48634)
Q9C0J8	WDR33	34	105	12811	642676	23.72252393432583	4.568185607040419	1.7210857540328851e-31	6.35345425661832e-29	0.01998347804306599	0.12457932986430556	2.640185111729392	1.790020901415473e-31	6.607931004532965e-29	1336	WDR33 (Q9C0J8)
