canonical_UniProtAC	methyl_site_count	nearest_distance_min	nearest_distance_median	max_methyl_sites_in_3aa_window	max_methyl_sites_in_5aa_window	max_methyl_sites_in_10aa_window	max_methyl_sites_in_20aa_window	max_methyl_sites_in_50aa_window	gene
P48634	46	2.0	6.5	2	3	4	6	8	PRRC2A
Q92804	41	1.0	7.0	2	2	3	5	8	TAF15
Q9Y520	40	1.0	10.0	2	3	4	6	8	PRRC2C
P16989	36	1.0	1.5	3	4	6	8	13	CSDA
P49750	35	1.0	6.0	2	2	4	5	11	YLPM1
Q01844	35	1.0	3.0	2	3	4	6	12	EWSR1
Q9C0J8	34	1.0	6.0	2	2	3	4	6	WDR33
P38159	33	1.0	4.0	2	3	4	7	9	RBMX
P0CG12	33	2.0	14.0	2	2	3	5	5	CHTF8
O94913	33	3.0	11.0	2	2	2	3	6	PCF11
P35637	30	1.0	3.0	2	3	4	7	11	FUS
Q14152	29	1.0	10.0	2	3	4	5	9	EIF3A
Q9Y3Y2	29	1.0	4.0	2	3	4	7	14	CHTOP
P61978	28	1.0	2.5	3	3	4	6	13	HNRNPK
Q9UQ35	27	1.0	13.0	3	3	4	5	6	SRRM2
Q96E39	27	2.0	5.0	2	2	3	5	8	RBMXL1
Q04637	25	1.0	7.0	2	2	3	4	6	EIF4G1
Q9Y2W1	25	1.0	4.0	2	3	4	7	10	THRAP3
O14686	25	2.0	14.0	2	2	2	4	5	KMT2D
Q07666	25	2.0	4.0	2	2	4	5	11	KHDRBS1
P18583	25	3.0	7.0	2	2	4	6	11	SON
Q00839	24	1.0	5.0	2	2	3	5	9	HNRNPU
Q8NC51	24	1.0	3.0	2	3	4	7	12	SERBP1
Q9BTC0	24	1.0	11.0	2	2	2	3	6	DIDO1
Q8WUF5	24	2.0	5.0	2	2	3	4	8	PPP1R13L
O00571	23	1.0	3.0	2	2	4	5	9	DDX3X
O60506	23	1.0	3.0	2	3	4	5	11	SYNCRIP
P67809	23	1.0	1.0	3	4	5	9	11	YBX1
Q92841	23	1.0	7.0	2	3	4	6	8	DDX17
Q15654	22	1.0	4.0	2	3	4	4	6	TRIP6
Q5JSZ5	22	1.0	2.5	2	3	3	5	9	PRRC2B
Q86U42	22	1.0	2.0	3	3	5	7	15	PABPN1
Q96EV2	22	2.0	7.0	2	2	3	3	5	RBM33
P52272	22	4.0	7.0	1	2	2	3	5	HNRNPM
Q96T58	22	4.0	11.0	1	2	2	3	5	SPEN
Q15149	21	1.0	10.0	2	2	2	3	3	PLEC
Q1KMD3	21	1.0	4.0	2	3	3	6	11	HNRNPUL2
Q9H0D6	21	1.0	4.0	2	3	4	6	7	XRN2
P17844	21	2.0	5.0	2	3	4	6	8	DDX5
Q15424	21	2.0	6.0	2	2	3	3	6	SAFB
P09651	20	1.0	7.0	2	2	2	3	6	HNRNPA1
P23246	20	1.0	4.5	2	2	3	5	6	SFPQ
P51991	20	1.0	6.0	2	3	3	4	6	HNRNPA3
Q15056	20	1.0	3.5	2	3	4	6	9	EIF4H
Q8NEZ4	20	2.0	6.0	2	2	3	4	5	MLL3
Q9BUJ2	20	2.0	5.0	2	2	4	5	9	HNRNPUL1
P31942	19	1.0	5.0	3	3	4	5	10	HNRNPH3
Q08211	19	1.0	6.0	2	2	3	4	8	DHX9
Q5VT52	19	1.0	6.0	2	2	4	5	8	RPRD2
O75376	19	2.0	7.0	2	2	3	3	4	NCOR1
P12270	19	2.0	5.0	2	2	3	5	7	TPR
P11940	19	4.0	7.0	1	2	2	4	8	PABPC1
Q86WR7	18	1.0	5.5	2	2	3	5	8	C10orf47
O43390	18	2.0	8.5	2	2	4	5	7	HNRNPR
Q12830	18	2.0	7.0	2	2	2	3	5	BPTF
Q14444	18	2.0	5.5	2	2	4	5	8	CAPRIN1
P33240	18	3.0	6.0	2	2	3	4	6	CSTF2
P19338	17	2.0	4.0	2	2	3	5	10	NCL
Q15596	17	2.0	6.0	2	2	3	4	7	NCOA2
Q69YN4	17	2.0	3.0	2	3	3	4	6	VIRMA
Q9Y618	17	5.0	11.0	1	2	3	3	5	NCOR2
O14654	16	1.0	18.0	2	2	2	3	5	IRS4
P08670	16	1.0	5.0	2	2	3	4	8	VIM
P31943	16	1.0	5.0	3	3	4	5	8	HNRNPH1
Q14151	16	1.0	6.0	2	2	3	3	5	SAFB2
Q86V81	16	1.0	2.0	2	2	4	5	9	ALYREF
Q9BTD8	16	1.0	5.0	2	3	4	5	8	RBM42
P0DI83	16	2.0	2.5	2	2	3	6	10	RAB34
P10070	16	2.0	10.0	2	2	3	3	6	GLI2
P22087	16	2.0	3.0	2	2	3	5	9	FBL
Q13435	16	2.0	11.0	2	2	2	3	5	SF3B2
Q8WWM7	16	2.0	5.5	2	2	4	6	8	ATXN2L
Q96I24	16	2.0	4.0	2	3	4	5	7	FUBP3
Q9NYF8	16	2.0	3.0	2	3	4	5	6	BCLAF1
Q9UPN6	16	2.0	8.5	2	3	4	6	6	SCAF8
Q13242	16	3.0	7.5	2	2	3	5	7	SRSF9
Q9NY12	16	3.0	4.0	2	2	3	5	8	GAR1
Q14204	16	5.0	130.0	1	2	2	3	3	DYNC1H1
P35580	15	1.0	95.0	2	2	2	3	3	MYH10
Q13813	15	1.0	25.0	2	2	2	2	3	SPTAN1
Q86TB9	15	1.0	8.0	2	2	2	3	4	PATL1
Q8IXT5	15	1.0	1.0	2	2	4	5	10	RBM12B
Q9C0C7	15	1.0	7.0	2	2	3	3	5	AMBRA1
Q14157	15	2.0	2.0	2	3	4	6	12	UBAP2L
Q15233	15	2.0	17.0	2	2	2	3	4	NONO
Q99700	15	2.0	7.0	2	2	3	3	4	ATXN2
Q9P2N5	15	2.0	8.0	2	2	2	3	5	RBM27
P22626	15	3.0	10.0	2	2	2	3	5	HNRNPA2B1
O14497	15	5.0	15.0	1	2	2	2	4	ARID1A
P78527	15	5.0	50.0	1	2	2	3	3	PRKDC
P07900	14	1.0	14.0	2	2	3	3	4	HSP90AA1
P55072	14	1.0	9.5	2	2	3	3	5	VCP
P55795	14	1.0	5.0	3	3	4	5	8	HNRNPH2
Q14980	14	1.0	58.5	2	2	2	2	4	NUMA1
Q9BX40	14	1.0	3.5	2	4	4	5	6	LSM14B
O75525	14	2.0	5.5	2	2	3	5	9	KHDRBS3
P20700	14	2.0	14.0	2	2	2	3	4	LMNB1
P51114	14	2.0	3.5	2	3	3	5	6	FXR1
Q14011	14	2.0	5.0	2	3	4	6	10	CIRBP
Q92945	14	2.0	15.0	2	3	3	3	6	KHSRP
Q9BXP5	14	2.0	5.0	2	2	3	4	6	SRRT
Q9NZB2	14	2.0	3.0	2	3	3	6	9	FAM120A
Q9H0L4	14	3.0	7.0	2	2	3	4	7	CSTF2T
Q13310	14	4.0	9.0	1	2	3	3	7	PABPC4
Q8IWX8	14	4.0	8.0	1	2	2	4	5	CHERP
P13639	13	1.0	19.0	2	2	2	3	5	EEF2
P35579	13	1.0	35.0	2	2	3	3	3	MYH9
P49959	13	1.0	2.0	3	4	6	7	12	MRE11A
Q14697	13	1.0	18.0	2	2	2	2	4	GANAB
Q32P51	13	1.0	7.0	3	3	3	4	6	HNRNPA1L2
Q99590	13	1.0	12.0	3	3	3	4	6	SCAF11
O95817	13	2.0	6.0	2	2	3	4	6	BAG3
P08729	13	2.0	6.0	2	2	3	4	7	KRT7
P51116	13	2.0	3.0	2	3	3	3	5	FXR2
P98179	13	2.0	4.0	2	2	3	5	9	RBM3
Q06787	13	2.0	3.0	2	3	4	5	6	FMR1
Q12906	13	2.0	11.0	2	2	3	4	5	ILF3
Q5BKZ1	13	2.0	2.0	2	3	3	4	7	ZNF326
O15523	13	3.0	6.0	2	2	2	4	5	DDX3Y
P14678	13	3.0	9.0	2	2	2	4	5	SNRPB
Q09472	13	3.0	24.0	2	2	2	2	3	EP300
Q6ZRV2	13	3.0	6.0	2	2	2	3	5	FAM83H
Q9ULX6	13	3.0	9.0	2	2	3	5	8	AKAP8L
P15924	13	4.0	8.0	1	2	3	3	3	DSP
Q6P2Q9	13	4.0	50.0	1	2	2	3	4	PRPF8
O43516	13	5.0	10.0	1	2	2	2	5	WIPF1
P23588	13	5.0	8.0	1	2	2	4	7	EIF4B
Q9P2D1	13	9.0	17.0	1	1	2	2	3	CHD7
Q9UQE7	13	14.0	48.0	1	1	1	2	2	SMC3
P08238	12	1.0	27.0	2	2	2	3	3	HSP90AB1
P33993	12	1.0	4.5	2	2	3	3	3	MCM7
Q13283	12	1.0	4.5	2	2	3	5	7	G3BP1
Q5T0Z8	12	1.0	7.0	2	2	2	3	6	C6orf132
Q8ND56	12	1.0	6.0	2	2	3	3	6	LSM14A
Q9UMN6	12	1.0	6.0	2	2	2	4	5	WBP7
Q9Y3X0	12	1.0	3.0	3	4	5	6	10	CCDC9
Q6PKG0	12	2.0	5.0	2	3	4	5	7	LARP1
Q6ZRS2	12	2.0	17.0	2	2	2	3	3	SRCAP
Q8TAP9	12	2.0	7.0	2	2	2	4	7	MPLKIP
Q96L91	12	2.0	15.5	2	2	2	2	3	EP400
Q9Y490	12	2.0	20.0	2	2	3	3	3	TLN1
P62995	12	3.0	4.5	2	2	3	5	9	TRA2B
Q8NCA5	12	3.0	6.5	2	2	2	3	6	FAM98B
Q9HAH7	12	3.0	7.0	2	2	3	3	5	FBRS
Q8WXX7	12	5.0	5.5	1	2	2	4	5	AUTS2
P22314	12	7.0	46.5	1	1	2	2	2	UBA1
Q03252	12	7.0	11.0	1	1	2	3	4	LMNB2
Q8WXI9	12	7.0	10.0	1	1	2	3	5	GATAD2B
O14979	11	1.0	4.0	2	3	4	4	4	HNRNPDL
O60293	11	1.0	4.0	2	2	3	3	7	ZFC3H1
P55265	11	1.0	7.0	2	2	2	3	6	ADAR
Q07955	11	1.0	3.0	2	2	3	4	7	SRSF1
Q6SPF0	11	1.0	3.0	2	2	3	4	5	SAMD1
O00267	11	2.0	4.0	2	2	3	3	4	SUPT5H
P09038	11	2.0	2.0	2	3	4	6	11	FGF2
P49588	11	2.0	5.0	2	2	2	2	3	AARS
P53621	11	2.0	24.0	2	2	2	2	3	COPA
Q14966	11	2.0	6.0	2	2	3	4	7	ZNF638
Q5JVS0	11	2.0	4.0	2	2	2	4	5	HABP4
Q92576	11	2.0	5.0	2	2	3	4	5	PHF3
Q93074	11	2.0	3.0	2	2	3	4	5	MED12
Q96QC0	11	2.0	3.0	2	3	3	4	8	PPP1R10
Q9BTL3	11	2.0	3.0	2	3	4	7	10	RAMAC
Q86YP4	11	7.0	9.0	1	1	2	3	5	GATAD2A
P51610	11	8.0	15.0	1	1	2	2	4	HCFC1
Q14686	11	9.0	29.0	1	1	2	3	4	NCOA6
P14866	10	1.0	7.0	2	3	3	5	5	HNRNPL
Q13243	10	1.0	2.0	2	3	4	7	8	SRSF5
Q7Z6E9	10	1.0	4.0	2	2	3	4	5	RBBP6
O43251	10	2.0	5.0	2	3	4	5	6	RBM9
O95429	10	2.0	12.0	2	2	2	3	5	BAG4
P68431	10	2.0	8.0	2	2	3	3	7	HIST1H3A
P78344	10	2.0	22.5	2	2	3	3	4	EIF4G2
Q71DI3	10	2.0	8.0	2	2	3	3	7	H3C14
Q92793	10	2.0	26.0	2	2	2	2	2	CREBBP
Q9H074	10	2.0	2.5	2	3	4	5	8	PAIP1
Q9Y4H2	10	2.0	5.0	2	2	3	4	4	IRS2
Q3KP66	10	3.0	7.0	2	2	2	2	4	INAVA
O15027	10	4.0	47.5	1	2	3	3	3	SEC16A
Q01130	10	6.0	8.5	1	1	2	3	5	SRSF2
P09874	10	9.0	45.0	1	1	2	2	3	PARP1
Q7Z6Z7	10	11.0	58.5	1	1	1	2	3	HUWE1
O43719	9	1.0	7.0	2	3	3	5	6	HTATSF1
P04075	9	1.0	3.0	2	3	3	4	5	ALDOA
P14618	9	1.0	33.0	2	2	2	2	2	PKM2
P33991	9	1.0	2.0	3	4	5	5	5	MCM4
P49736	9	1.0	54.0	2	2	2	2	2	MCM2
P78347	9	1.0	12.0	2	2	2	2	3	GTF2I
Q01082	9	1.0	16.0	2	2	2	3	3	SPTBN1
