window_aa	methyl_site_count	protein_arg_count	observed_max_methyl_sites	null_mean_max_sites	null_q025_max_sites	null_q975_max_sites	observed_over_null_mean	log2_observed_over_null_mean	empirical_p_greater	best_window_start	best_window_end	best_window_arg_count	best_window_methyl_fraction_of_args	best_window_methyl_positions	canonical_UniProtAC	gene	q_value	max_log2_enrichment_for_protein
100	11	116	11	3.015	2.0	5.0	3.648424543946932	1.867273616511937	0.000999000999000999	55	145	15	0.7333333333333333	55,56,62,84,95,99,105,118,136,143,145	O60293	ZFC3H1	0.035464535464535464	1.867273616511937
10	5	151	4	1.112	1.0	2.0	3.597122302158273	1.8468432119385796	0.000999000999000999	2122	2132	4	1.0	2122,2128,2131,2132	O43497	CACNA1G	0.035464535464535464	1.8468432119385796
10	8	77	5	1.411	1.0	2.0	3.543586109142452	1.825210106952185	0.000999000999000999	1396	1403	5	1.0	1396,1398,1400,1401,1403	Q12888	TP53BP1	0.035464535464535464	1.825210106952185
50	4	226	4	1.131	1.0	2.0	3.5366931918656057	1.8224010706722666	0.000999000999000999	206	238	8	0.5	206,235,236,238	Q5CZC0	FSIP2	0.035464535464535464	1.8224010706722666
30	5	270	4	1.166	1.0	2.0	3.430531732418525	1.7784322114615907	0.000999000999000999	540	563	4	1.0	540,544,553,563	Q9UKN7	MYO15A	0.035464535464535464	1.7784322114615907
20	6	327	4	1.167	1.0	2.0	3.427592116538132	1.7771954389547389	0.000999000999000999	8	25	4	1.0	8,18,19,25	Q8IZT6	ASPM	0.035464535464535464	1.7771954389547389
20	4	64	4	1.172	1.0	2.0	3.4129692832764507	1.7710274302398392	0.000999000999000999	628	645	4	1.0	628,635,640,645	Q68CZ2	TNS3	0.035464535464535464	1.7710274302398392
10	4	55	4	1.178	1.0	2.0	3.395585738539898	1.7636604608316264	0.000999000999000999	232	239	4	1.0	232,234,237,239	Q9HAU4	SMURF2	0.035464535464535464	1.7636604608316264
75	8	85	8	2.36	2.0	4.0	3.3898305084745766	1.7612131404128835	0.000999000999000999	207	270	8	1.0	207,210,211,218,234,238,254,270	Q99569	PKP4	0.035464535464535464	1.7612131404128835
15	4	34	4	1.277	1.0	2.0	3.1323414252153485	1.6472414749593633	0.000999000999000999	631	642	4	1.0	631,633,641,642	Q8IWZ8	SUGP1	0.035464535464535464	1.6472414749593633
50	7	73	7	2.241	1.0	3.0	3.1236055332440875	1.643212273209298	0.000999000999000999	862	911	7	1.0	862,867,874,878,905,909,911	Q9P107	GMIP	0.035464535464535464	1.643212273209298
50	13	52	12	3.848	3.0	6.0	3.1185031185031185	1.6408537016132012	0.000999000999000999	570	616	12	1.0	570,572,574,576,577,580,587,592,594,604,606,616	P49959	MRE11A	0.035464535464535464	1.6408537016132012
100	7	80	7	2.27	1.0	4.0	3.0837004405286343	1.6246626245414137	0.000999000999000999	1784	1877	11	0.6363636363636364	1784,1809,1833,1843,1851,1859,1877	Q5JRA6	MIA3	0.035464535464535464	1.6246626245414137
30	5	55	5	1.624	1.0	3.0	3.0788177339901477	1.6223764623642731	0.000999000999000999	868	893	5	1.0	868,871,878,885,893	Q96EK7	FAM120B	0.035464535464535464	1.6223764623642731
10	9	61	5	1.654	1.0	3.0	3.0229746070133015	1.595968860378175	0.000999000999000999	10	17	5	1.0	10,11,14,15,17	P33991	MCM4	0.035464535464535464	1.595968860378175
75	11	111	7	2.348	2.0	4.0	2.981260647359455	1.575922513609639	0.000999000999000999	1854	1912	7	1.0	1854,1859,1862,1871,1899,1910,1912	Q93074	MED12	0.035464535464535464	1.575922513609639
50	7	108	6	2.021	1.0	3.0	2.9688273132112815	1.5698931790035078	0.000999000999000999	1378	1416	6	1.0	1378,1387,1395,1400,1405,1416	Q9P2R6	RERE	0.035464535464535464	1.5698931790035078
50	9	119	8	2.698	2.0	4.0	2.965159377316531	1.5681096517138196	0.000999000999000999	107	157	11	0.7272727272727273	107,118,120,128,130,149,153,157	Q6Y7W6	GIGYF2	0.035464535464535464	1.5681096517138196
75	7	84	7	2.375	2.0	4.0	2.9473684210526314	1.5594274086140185	0.000999000999000999	12	71	11	0.6363636363636364	12,13,44,47,61,69,71	Q96FS4	SIPA1	0.035464535464535464	1.5594274086140185
5	3	89	3	1.028	1.0	2.0	2.9182879377431905	1.545122236189365	0.000999000999000999	1187	1189	3	1.0	1187,1188,1189	Q15058	KIF14	0.035464535464535464	1.545122236189365
5	3	81	3	1.029	1.0	2.0	2.915451895043732	1.543719518489275	0.000999000999000999	688	693	3	1.0	688,689,693	Q9BZ76	CNTNAP3	0.035464535464535464	1.543719518489275
5	4	108	3	1.037	1.0	2.0	2.8929604628736745	1.5325466065700177	0.000999000999000999	1210	1213	3	1.0	1210,1212,1213	Q96L96	ALPK3	0.035464535464535464	1.5325466065700177
5	4	144	3	1.04	1.0	2.0	2.8846153846153846	1.5283789723547887	0.000999000999000999	749	751	3	1.0	749,750,751	Q9BYB0	SHANK3	0.035464535464535464	1.5283789723547887
10	3	105	3	1.044	1.0	2.0	2.8735632183908044	1.5228407888133586	0.000999000999000999	1375	1384	4	0.75	1375,1383,1384	O60241	ADGRB2	0.035464535464535464	1.5228407888133586
75	7	70	7	2.441	2.0	4.0	2.867677181482999	1.5198826269385373	0.000999000999000999	93	163	12	0.5833333333333334	93,95,119,142,154,161,163	Q13608	PEX6	0.035464535464535464	1.5198826269385373
10	3	93	3	1.047	1.0	2.0	2.865329512893983	1.5187010584524347	0.000999000999000999	5	12	3	1.0	5,10,12	Q9P2K8	EIF2AK4	0.035464535464535464	1.5187010584524347
10	3	90	3	1.053	1.0	2.0	2.8490028490028494	1.5104570643575266	0.000999000999000999	1099	1107	3	1.0	1099,1105,1107	A1L390	PLEKHG3	0.035464535464535464	1.5104570643575266
10	3	65	3	1.055	1.0	2.0	2.843601895734597	1.5077195017886957	0.000999000999000999	529	535	3	1.0	529,532,535	O75385	ULK1	0.035464535464535464	1.5077195017886957
10	3	50	3	1.055	1.0	2.0	2.843601895734597	1.5077195017886957	0.000999000999000999	456	464	3	1.0	456,463,464	P10253	GAA	0.035464535464535464	1.5077195017886957
5	3	30	3	1.06	1.0	2.0	2.830188679245283	1.5008982359326817	0.000999000999000999	554	559	3	1.0	554,555,559	O60216	RAD21	0.035464535464535464	1.5008982359326817
30	4	41	4	1.415	1.0	2.0	2.8268551236749118	1.4991979469428425	0.000999000999000999	699	728	6	0.6666666666666666	699,713,721,728	P21399	ACO1	0.035464535464535464	1.4991979469428425
5	3	34	3	1.067	1.0	2.0	2.8116213683223994	1.4914023245588184	0.000999000999000999	217	222	3	1.0	217,219,222	Q9BZ67	FRMD8	0.035464535464535464	1.4914023245588184
10	3	69	3	1.068	1.0	2.0	2.8089887640449436	1.4900508536956891	0.000999000999000999	194	203	3	1.0	194,197,203	O15083	ERC2	0.035464535464535464	1.4900508536956891
75	11	53	10	3.588	2.0	5.0	2.7870680044593086	1.478748204630188	0.000999000999000999	665	729	10	1.0	665,674,688,693,705,707,710,723,726,729	Q96QC0	PPP1R10	0.035464535464535464	1.478748204630188
50	15	127	10	3.592	2.0	5.0	2.7839643652561246	1.4771407448083023	0.000999000999000999	732	773	12	0.8333333333333334	732,733,740,741,749,756,757,765,772,773	Q8IXT5	RBM12B	0.035464535464535464	1.4771407448083023
5	5	98	3	1.085	1.0	2.0	2.7649769585253456	1.4672674580514016	0.000999000999000999	1363	1367	3	1.0	1363,1365,1367	Q96MS0	ROBO3	0.035464535464535464	1.4672674580514016
