substrate_UniProtAC	canonical_UniProtAC	substrate_genename	accession_is_isoform	needs_sequence_remap	canonical_counting_status	site_count_accession_level	label
Q9BTC0	Q9BTC0	DIDO1	False	False	canonical_or_unversioned_accession	24	DIDO1 (Q9BTC0)
Q04637	Q04637	EIF4G1	False	False	canonical_or_unversioned_accession	24	EIF4G1 (Q04637)
P18583	P18583	SON	False	False	canonical_or_unversioned_accession	25	SON (P18583)
Q9Y2W1	Q9Y2W1	THRAP3	False	False	canonical_or_unversioned_accession	25	THRAP3 (Q9Y2W1)
Q9UQ35	Q9UQ35	SRRM2	False	False	canonical_or_unversioned_accession	27	SRRM2 (Q9UQ35)
Q96E39	Q96E39	RBMXL1	False	False	canonical_or_unversioned_accession	27	RBMXL1 (Q96E39)
P61978	P61978	HNRNPK	False	False	canonical_or_unversioned_accession	28	HNRNPK (P61978)
Q9Y3Y2	Q9Y3Y2	CHTOP	False	False	canonical_or_unversioned_accession	29	CHTOP (Q9Y3Y2)
Q14152	Q14152	EIF3A	False	False	canonical_or_unversioned_accession	29	EIF3A (Q14152)
P0CG12	P0CG12	CHTF8	False	False	canonical_or_unversioned_accession	29	CHTF8 (P0CG12)
P35637	P35637	FUS	False	False	canonical_or_unversioned_accession	30	FUS (P35637)
P16989	P16989	CSDA	False	False	canonical_or_unversioned_accession	31	CSDA (P16989)
P38159	P38159	RBMX	False	False	canonical_or_unversioned_accession	33	RBMX (P38159)
O94913	O94913	PCF11	False	False	canonical_or_unversioned_accession	33	PCF11 (O94913)
Q9C0J8	Q9C0J8	WDR33	False	False	canonical_or_unversioned_accession	34	WDR33 (Q9C0J8)
Q01844	Q01844	EWSR1	False	False	canonical_or_unversioned_accession	35	EWSR1 (Q01844)
P49750	P49750	YLPM1	False	False	canonical_or_unversioned_accession	35	YLPM1 (P49750)
Q9Y520	Q9Y520	PRRC2C	False	False	canonical_or_unversioned_accession	39	PRRC2C (Q9Y520)
Q92804	Q92804	TAF15	False	False	canonical_or_unversioned_accession	41	TAF15 (Q92804)
P48634	P48634	PRRC2A	False	False	canonical_or_unversioned_accession	46	PRRC2A (P48634)
