canonical_UniProtAC	outside_domain_idr_segment_id	outside_domain_idr_start	outside_domain_idr_end	outside_domain_idr_length	arginines_in_segment
A0AV96	A0AV96:5:381-391	381	391	11	3
A0AVF1	A0AVF1:1:1-26	1	26	26	4
A1L020	A1L020:7:403-461	403	461	59	5
A1L390	A1L390:19:1056-1134	1056	1134	79	11
A4D1S0	A4D1S0:5:174-216	174	216	43	5
A5PL33	A5PL33:4:144-194	144	194	51	5
A5PL33	A5PL33:10:548-562	548	562	15	2
A5PL33	A5PL33:17:868-1030	868	1030	163	13
A6NCL7	A6NCL7:6:349-494	349	494	146	23
A6NED2	A6NED2:2:25-32	25	32	8	2
A6NEL2	A6NEL2:2:90-186	90	186	97	14
A6NEL2	A6NEL2:3:216-290	216	290	75	7
A6NFI3	A6NFI3:5:518-593	518	593	76	5
A6NHR9	A6NHR9:2:26-26	26	26	1	1
A6NJG2	A6NJG2:1:1-39	1	39	39	4
A6QL63	A6QL63:1:1-8	1	8	8	2
A7E2V4	A7E2V4:8:1013-1232	1013	1232	220	18
A7E2V4	A7E2V4:10:1431-1465	1431	1465	35	4
A7KAX9	A7KAX9:43:1533-1533	1533	1533	1	1
A7MBM2	A7MBM2:10:1169-1194	1169	1194	26	4
A7MCY6	A7MCY6:11:343-476	343	476	134	14
B1AK53	B1AK53:12:764-834	764	834	71	12
B2RTY4	B2RTY4:25:2283-2296	2283	2296	14	3
B5ME19	B5ME19:3:893-914	893	914	22	4
B8ZZ34	B8ZZ34:13:378-385	378	385	8	2
C9J069	C9J069:6:197-215	197	215	19	2
C9J069	C9J069:7:218-245	218	245	28	2
C9JG80	C9JG80:6:871-1138	871	1138	268	38
C9JLR9	C9JLR9:1:1-101	1	101	101	13
C9JLR9	C9JLR9:3:182-256	182	256	75	13
D6RIA3	D6RIA3:23:1315-1322	1315	1322	8	2
O00182	O00182:3:170-188	170	188	19	4
O00192	O00192:8:180-291	180	291	112	12
O00192	O00192:14:589-617	589	617	29	5
O00193	O00193:1:1-26	1	26	26	2
O00220	O00220:3:16-85	16	85	70	9
O00257	O00257:3:91-202	91	202	112	2
O00264	O00264:2:50-71	50	71	22	3
O00267	O00267:4:665-701	665	701	37	6
O00267	O00267:5:752-771	752	771	20	3
