substrate_UniProtAC	substrate_UniProtAC_original	canonical_UniProtAC	accession_is_isoform	canonical_counting_status	substrate_genename	unique_sites_accession_level	source_accessions_original	source_families	needs_sequence_remap
A0A075B730	A0A075B730	A0A075B730	False	canonical_or_unversioned_accession	EPPK1	1	A0A075B730	Maron2021	False
A0A087WUK2	A0A087WUK2	A0A087WUK2	False	canonical_or_unversioned_accession	HNRNPDL	2	A0A087WUK2	Maron2021	False
A0A087WUL4	A0A087WUL4	A0A087WUL4	False	canonical_or_unversioned_accession	PEG10	2	A0A087WUL4	Maron2021	False
A0A087WVF7	A0A087WVF7	A0A087WVF7	False	canonical_or_unversioned_accession	ITSN2	2	A0A087WVF7	Maron2021	False
A0A087WW06	A0A087WW06	A0A087WW06	False	canonical_or_unversioned_accession	TTC28	2	A0A087WW06	Maron2021	False
A0A087WWP4	A0A087WWP4	A0A087WWP4	False	canonical_or_unversioned_accession	RBM15	1	A0A087WWP4	Maron2021	False
A0A087WYA1	A0A087WYA1	A0A087WYA1	False	canonical_or_unversioned_accession	MYO15A	1	A0A087WYA1	Maron2021	False
A0A087WZ32	A0A087WZ32	A0A087WZ32	False	canonical_or_unversioned_accession	PLEKHA2	1	A0A087WZ32	Maron2021	False
A0A087WZV0	A0A087WZV0	A0A087WZV0	False	canonical_or_unversioned_accession	PPIP5K2	2	A0A087WZV0	Maron2021	False
A0A087WZX0	A0A087WZX0	A0A087WZX0	False	canonical_or_unversioned_accession	BCL9L	5	A0A087WZX0	Maron2021	False
A0A087X0Q1	A0A087X0Q1	A0A087X0Q1	False	canonical_or_unversioned_accession	YTHDF3	1	A0A087X0Q1	Maron2021	False
A0A087X1A5	A0A087X1A5	A0A087X1A5	False	canonical_or_unversioned_accession	STAU1	1	A0A087X1A5	Maron2021	False
A0A087X208	A0A087X208	A0A087X208	False	canonical_or_unversioned_accession	AGRN	1	A0A087X208	Maron2021	False
A0A096LNH6	A0A096LNH6	A0A096LNH6	False	canonical_or_unversioned_accession	DOCK1	1	A0A096LNH6	Maron2021	False
A0A096LP44	A0A096LP44	A0A096LP44	False	canonical_or_unversioned_accession	RAB7B	1	A0A096LP44	Maron2021	False
A0A0A0MQV9	A0A0A0MQV9	A0A0A0MQV9	False	canonical_or_unversioned_accession	SETD1B	1	A0A0A0MQV9	Maron2021	False
A0A0A0MRF6	A0A0A0MRF6	A0A0A0MRF6	False	canonical_or_unversioned_accession	AKAP9	1	A0A0A0MRF6	Maron2021	False
A0A0A0MRF9	A0A0A0MRF9	A0A0A0MRF9	False	canonical_or_unversioned_accession	PLCG2	3	A0A0A0MRF9	Maron2021	False
