canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
A0A024R1R8	Translation / ribosome / biogenesis	Translation / initiation / elongation	TMA7B	TMA7B_HUMAN	Translation machinery-associated protein 7B				a0a024r1r8 tma7b tma7b_human translation machinery-associated protein 7b   	False
A0A024RBG1	Other / unclassified	Other / unclassified	NUDT4B	NUD4B_HUMAN	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B)				a0a024rbg1 nudt4b nud4b_human diphosphoinositol polyphosphate phosphohydrolase nudt4b (dipp-2b) (ec 3.6.1.52) (nucleoside diphosphate-linked moiety x motif 4b) (nudix motif 4b) (nudix hydrolase 4b)   	False
A0A060CZ20	Membrane / receptor / extracellular	Other / unclassified	HLA-A	A0A060CZ20_HUMAN	Lymphocyte antigen;	Name: HLA-A; Synonyms: hla-A;			a0a060cz20 hla-a a0a060cz20_human lymphocyte antigen; name: hla-a; synonyms: hla-a;  	False
A0A075B6H7	Membrane / receptor / extracellular	Other / unclassified	IGKV3-7	KV37_HUMAN	Probable non-functional immunoglobulin kappa variable 3-7				a0a075b6h7 igkv3-7 kv37_human probable non-functional immunoglobulin kappa variable 3-7   	False
A0A075B6H8	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-42	KVD42_HUMAN	Probable non-functional immunoglobulin kappa variable 1D-42				a0a075b6h8 igkv1d-42 kvd42_human probable non-functional immunoglobulin kappa variable 1d-42   	False
A0A075B6H9	Membrane / receptor / extracellular	Other / unclassified	IGLV4-69	LV469_HUMAN	Immunoglobulin lambda variable 4-69				a0a075b6h9 iglv4-69 lv469_human immunoglobulin lambda variable 4-69   	False
A0A075B6I0	Membrane / receptor / extracellular	Other / unclassified	IGLV8-61	LV861_HUMAN	Immunoglobulin lambda variable 8-61				a0a075b6i0 iglv8-61 lv861_human immunoglobulin lambda variable 8-61   	False
A0A075B6I1	Membrane / receptor / extracellular	Other / unclassified	IGLV4-60	LV460_HUMAN	Immunoglobulin lambda variable 4-60				a0a075b6i1 iglv4-60 lv460_human immunoglobulin lambda variable 4-60   	False
A0A075B6I3	Membrane / receptor / extracellular	Other / unclassified	IGLV11-55	LVK55_HUMAN	Probable non-functional immunoglobulin lambda variable 11-55				a0a075b6i3 iglv11-55 lvk55_human probable non-functional immunoglobulin lambda variable 11-55   	False
A0A075B6I4	Membrane / receptor / extracellular	Other / unclassified	IGLV10-54	LVX54_HUMAN	Immunoglobulin lambda variable 10-54				a0a075b6i4 iglv10-54 lvx54_human immunoglobulin lambda variable 10-54   	False
A0A075B6I6	Membrane / receptor / extracellular	Other / unclassified	IGLV1-50	LV150_HUMAN	Probable non-functional immunoglobulin lambda variable 1-50				a0a075b6i6 iglv1-50 lv150_human probable non-functional immunoglobulin lambda variable 1-50   	False
A0A075B6I7	Membrane / receptor / extracellular	Other / unclassified	IGLV5-48	LV548_HUMAN	Probable non-functional immunoglobulin lambda variable 5-48				a0a075b6i7 iglv5-48 lv548_human probable non-functional immunoglobulin lambda variable 5-48   	False
A0A075B6I9	Membrane / receptor / extracellular	Other / unclassified	IGLV7-46	LV746_HUMAN	Immunoglobulin lambda variable 7-46				a0a075b6i9 iglv7-46 lv746_human immunoglobulin lambda variable 7-46   	False
A0A075B6J1	Membrane / receptor / extracellular	Other / unclassified	IGLV5-37	LV537_HUMAN	Immunoglobulin lambda variable 5-37				a0a075b6j1 iglv5-37 lv537_human immunoglobulin lambda variable 5-37   	False
A0A075B6J2	Membrane / receptor / extracellular	Other / unclassified	IGLV2-33	LV233_HUMAN	Probable non-functional immunoglobulin lambda variable 2-33				a0a075b6j2 iglv2-33 lv233_human probable non-functional immunoglobulin lambda variable 2-33   	False
A0A075B6J6	Membrane / receptor / extracellular	Other / unclassified	IGLV3-22	LV322_HUMAN	Immunoglobulin lambda variable 3-22				a0a075b6j6 iglv3-22 lv322_human immunoglobulin lambda variable 3-22   	False
A0A075B6J9	Membrane / receptor / extracellular	Other / unclassified	IGLV2-18	LV218_HUMAN	Immunoglobulin lambda variable 2-18				a0a075b6j9 iglv2-18 lv218_human immunoglobulin lambda variable 2-18   	False
A0A075B6K0	Membrane / receptor / extracellular	Other / unclassified	IGLV3-16	LV316_HUMAN	Immunoglobulin lambda variable 3-16				a0a075b6k0 iglv3-16 lv316_human immunoglobulin lambda variable 3-16   	False
A0A075B6K2	Membrane / receptor / extracellular	Other / unclassified	IGLV3-12	LV312_HUMAN	Immunoglobulin lambda variable 3-12				a0a075b6k2 iglv3-12 lv312_human immunoglobulin lambda variable 3-12   	False
A0A075B6K4	Membrane / receptor / extracellular	Other / unclassified	IGLV3-10	LV310_HUMAN	Immunoglobulin lambda variable 3-10				a0a075b6k4 iglv3-10 lv310_human immunoglobulin lambda variable 3-10   	False
A0A075B6K5	Membrane / receptor / extracellular	Other / unclassified	IGLV3-9	LV39_HUMAN	Immunoglobulin lambda variable 3-9				a0a075b6k5 iglv3-9 lv39_human immunoglobulin lambda variable 3-9   	False
A0A075B6K6	Membrane / receptor / extracellular	Other / unclassified	IGLV4-3	LV403_HUMAN	Immunoglobulin lambda variable 4-3				a0a075b6k6 iglv4-3 lv403_human immunoglobulin lambda variable 4-3   	False
A0A075B6L2	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRGV11	TVG11_HUMAN	Probable non-functional T cell receptor gamma variable 11				a0a075b6l2 trgv11 tvg11_human probable non-functional t cell receptor gamma variable 11   	False
A0A075B6L6	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV7-3	TVB73_HUMAN	Probable non-functional T cell receptor beta variable 7-3				a0a075b6l6 trbv7-3 tvb73_human probable non-functional t cell receptor beta variable 7-3   	False
A0A075B6N1	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV19	TVB19_HUMAN	T cell receptor beta variable 19				a0a075b6n1 trbv19 tvb19_human t cell receptor beta variable 19   	False
A0A075B6N2	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV20-1	TVBT1_HUMAN	T cell receptor beta variable 20-1				a0a075b6n2 trbv20-1 tvbt1_human t cell receptor beta variable 20-1   	False
A0A075B6N3	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV24-1	TVBX1_HUMAN	T cell receptor beta variable 24-1				a0a075b6n3 trbv24-1 tvbx1_human t cell receptor beta variable 24-1   	False
A0A075B6N4	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRBV25-1	TVBY1_HUMAN	T cell receptor beta variable 25-1				a0a075b6n4 trbv25-1 tvby1_human t cell receptor beta variable 25-1   	False
A0A075B6P5	Membrane / receptor / extracellular	Other / unclassified	IGKV2-28	KV228_HUMAN	Immunoglobulin kappa variable 2-28				a0a075b6p5 igkv2-28 kv228_human immunoglobulin kappa variable 2-28   	False
A0A075B6Q5	Membrane / receptor / extracellular	Other / unclassified	IGHV3-64	HV364_HUMAN	Immunoglobulin heavy variable 3-64				a0a075b6q5 ighv3-64 hv364_human immunoglobulin heavy variable 3-64   	False
A0A075B6R0	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRGV2	TRGV2_HUMAN	T cell receptor gamma variable 2				a0a075b6r0 trgv2 trgv2_human t cell receptor gamma variable 2   	False
A0A075B6R2	Membrane / receptor / extracellular	Other / unclassified	IGHV4-4	HV404_HUMAN	Immunoglobulin heavy variable 4-4				a0a075b6r2 ighv4-4 hv404_human immunoglobulin heavy variable 4-4   	False
A0A075B6R9	Membrane / receptor / extracellular	Other / unclassified	IGKV2D-24	KVD24_HUMAN	Probable non-functional immunoglobulin kappa variable 2D-24				a0a075b6r9 igkv2d-24 kvd24_human probable non-functional immunoglobulin kappa variable 2d-24   	False
A0A075B6S0	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRGJ1	TRGJ1_HUMAN	T cell receptor gamma joining 1				a0a075b6s0 trgj1 trgj1_human t cell receptor gamma joining 1   	False
A0A075B6S2	Membrane / receptor / extracellular	Other / unclassified	IGKV2D-29	KVD29_HUMAN	Immunoglobulin kappa variable 2D-29				a0a075b6s2 igkv2d-29 kvd29_human immunoglobulin kappa variable 2d-29   	False
A0A075B6S4	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-17	KVD17_HUMAN	Immunoglobulin kappa variable 1D-17				a0a075b6s4 igkv1d-17 kvd17_human immunoglobulin kappa variable 1d-17   	False
A0A075B6S5	Membrane / receptor / extracellular	Other / unclassified	IGKV1-27	KV127_HUMAN	Immunoglobulin kappa variable 1-27				a0a075b6s5 igkv1-27 kv127_human immunoglobulin kappa variable 1-27   	False
A0A075B6S6	Membrane / receptor / extracellular	Other / unclassified	IGKV2D-30	KVD30_HUMAN	Immunoglobulin kappa variable 2D-30				a0a075b6s6 igkv2d-30 kvd30_human immunoglobulin kappa variable 2d-30   	False
A0A075B6S9	Membrane / receptor / extracellular	Other / unclassified	IGKV1-37	KV137_HUMAN	Probable non-functional immunoglobulin kappa variable 1-37				a0a075b6s9 igkv1-37 kv137_human probable non-functional immunoglobulin kappa variable 1-37   	False
A0A075B6T6	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV12-2	TVAL2_HUMAN	T cell receptor alpha variable 12-2				a0a075b6t6 trav12-2 tval2_human t cell receptor alpha variable 12-2   	False
A0A075B6T7	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV6	TVA6_HUMAN	T cell receptor alpha variable 6				a0a075b6t7 trav6 tva6_human t cell receptor alpha variable 6   	False
A0A075B6T8	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV9-1	TVA91_HUMAN	T cell receptor alpha variable 9-1				a0a075b6t8 trav9-1 tva91_human t cell receptor alpha variable 9-1   	False
A0A075B6U4	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV7	TVA7_HUMAN	T cell receptor alpha variable 7				a0a075b6u4 trav7 tva7_human t cell receptor alpha variable 7   	False
A0A075B6V5	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV36DV7	TVA36_HUMAN	T cell receptor alpha variable 36/delta variable 7				a0a075b6v5 trav36dv7 tva36_human t cell receptor alpha variable 36/delta variable 7   	False
A0A075B6W5	Membrane / receptor / extracellular	Membrane / receptor / extracellular	TRAV23DV6	TVA23_HUMAN	T cell receptor alpha variable 23/delta variable 6				a0a075b6w5 trav23dv6 tva23_human t cell receptor alpha variable 23/delta variable 6   	False
