canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
A0A024RBG1	Other / unclassified	Other / unclassified	NUDT4B	NUD4B_HUMAN	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B)				a0a024rbg1 nudt4b nud4b_human diphosphoinositol polyphosphate phosphohydrolase nudt4b (dipp-2b) (ec 3.6.1.52) (nucleoside diphosphate-linked moiety x motif 4b) (nudix motif 4b) (nudix hydrolase 4b)   	False
A0A075B759	Other / unclassified	Other / unclassified	PPIAL4E	PAL4E_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4E (PPIase A-like 4E) (EC 5.2.1.8)				a0a075b759 ppial4e pal4e_human peptidyl-prolyl cis-trans isomerase a-like 4e (ppiase a-like 4e) (ec 5.2.1.8)   	False
A0A075B767	Other / unclassified	Other / unclassified	PPIAL4H	PAL4H_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4H (PPIase A-like 4H) (EC 5.2.1.8)				a0a075b767 ppial4h pal4h_human peptidyl-prolyl cis-trans isomerase a-like 4h (ppiase a-like 4h) (ec 5.2.1.8)   	False
A0A087WUL8	Other / unclassified	Other / unclassified	NBPF19	NBPFJ_HUMAN	NBPF family member NBPF19 (Neuroblastoma breakpoint family member 19)				a0a087wul8 nbpf19 nbpfj_human nbpf family member nbpf19 (neuroblastoma breakpoint family member 19)   	False
A0A087WV53	Other / unclassified	Other / unclassified	SPEGNB	SPEGN_HUMAN	SPEG neighbor protein				a0a087wv53 spegnb spegn_human speg neighbor protein   	False
A0A087X0D8	Other / unclassified	Other / unclassified	WDR38	A0A087X0D8_HUMAN	WD repeat domain 38;	Name: WDR38;			a0a087x0d8 wdr38 a0a087x0d8_human wd repeat domain 38; name: wdr38;  	False
A0A087X1C1	Other / unclassified	Other / unclassified	TMSB15C	A0A087X1C1_HUMAN	Thymosin beta 15C;	Name: TMSB15C;			a0a087x1c1 tmsb15c a0a087x1c1_human thymosin beta 15c; name: tmsb15c;  	False
A0A087X1C5	Other / unclassified	Other / unclassified	CYP2D7	CP2D7_HUMAN	Cytochrome P450 2D7 (EC 1.14.14.1)				a0a087x1c5 cyp2d7 cp2d7_human cytochrome p450 2d7 (ec 1.14.14.1)   	False
A0A096LNW5	Other / unclassified	Other / unclassified	NOTCH2NLR	NT2NR_HUMAN	Notch homolog 2 N-terminal-like protein R (NOTCH2NL-related)				a0a096lnw5 notch2nlr nt2nr_human notch homolog 2 n-terminal-like protein r (notch2nl-related)   	False
A0A0A6YYL3	Other / unclassified	Other / unclassified	POTEB	POTEB_HUMAN	POTE ankyrin domain family member B (ANKRD26-like family B member 1) (Prostate, ovary, testis-expressed protein on chromosome 15) (POTE-15)				a0a0a6yyl3 poteb poteb_human pote ankyrin domain family member b (ankrd26-like family b member 1) (prostate, ovary, testis-expressed protein on chromosome 15) (pote-15)   	False
A0A0B4J2A2	Other / unclassified	Other / unclassified	PPIAL4C	PAL4C_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4C (PPIase A-like 4C) (EC 5.2.1.8)		Cyclophilin-like domain superfamily ; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain IPR029000 ; IPR002130 homologous_superfamily ; domain		a0a0b4j2a2 ppial4c pal4c_human peptidyl-prolyl cis-trans isomerase a-like 4c (ppiase a-like 4c) (ec 5.2.1.8)  cyclophilin-like domain superfamily ; cyclophilin-type peptidyl-prolyl cis-trans isomerase domain ipr029000 ; ipr002130 homologous_superfamily ; domain 	True
A0A0B4J2F0	Other / unclassified	Other / unclassified	PIGBOS1	PIOS1_HUMAN	Protein PIGBOS1 (PIGB opposite strand protein 1)				a0a0b4j2f0 pigbos1 pios1_human protein pigbos1 (pigb opposite strand protein 1)   	False
A0A0C4DGE7	Other / unclassified	Other / unclassified	EVC2	A0A0C4DGE7_HUMAN	Ellis van Creveld syndrome 2 (Limbin), isoform CRA_c;	Name: EVC2; ORFNames: hCG_1981074;			a0a0c4dge7 evc2 a0a0c4dge7_human ellis van creveld syndrome 2 (limbin), isoform cra_c; name: evc2; orfnames: hcg_1981074;  	False
A0A0C4DGQ4	Other / unclassified	Other / unclassified	NLRP13	A0A0C4DGQ4_HUMAN	NLR family pyrin domain containing 13;	Name: NLRP13;			a0a0c4dgq4 nlrp13 a0a0c4dgq4_human nlr family pyrin domain containing 13; name: nlrp13;  	False
A0A0G2JMD5	Other / unclassified	Other / unclassified	PRAMEF33	PRA33_HUMAN	PRAME family member 33				a0a0g2jmd5 pramef33 pra33_human prame family member 33   	False
A0A0J9YWL9	Other / unclassified	Other / unclassified	TEX13C	TX13C_HUMAN	Testis-expressed protein 13C				a0a0j9ywl9 tex13c tx13c_human testis-expressed protein 13c   	False
A0A0J9YX57	Other / unclassified	Other / unclassified	MAGEB6B	MAB6B_HUMAN	Melanoma-associated antigen B6B				a0a0j9yx57 mageb6b mab6b_human melanoma-associated antigen b6b   	False
A0A0J9YX94	Other / unclassified	Other / unclassified	PNMA6F	PMA6F_HUMAN	Paraneoplastic antigen Ma6F				a0a0j9yx94 pnma6f pma6f_human paraneoplastic antigen ma6f   	False
A0A0J9YXQ4	Other / unclassified	Other / unclassified	PNMA6E	PMA6E_HUMAN	Paraneoplastic antigen Ma6E				a0a0j9yxq4 pnma6e pma6e_human paraneoplastic antigen ma6e   	False
A0A0J9YY54	Other / unclassified	Other / unclassified	TEX13D	TX13D_HUMAN	Testis-expressed protein 13D				a0a0j9yy54 tex13d tx13d_human testis-expressed protein 13d   	False
A0A0K2S4Q6	Other / unclassified	Other / unclassified	CD300H	CD3CH_HUMAN	Protein CD300H (CD300 antigen-like family member H)				a0a0k2s4q6 cd300h cd3ch_human protein cd300h (cd300 antigen-like family member h)   	False
A0A0U1RQF7	Other / unclassified	Other / unclassified	DPEP2NB	DP2NB_HUMAN	DPEP2 neighbor protein				a0a0u1rqf7 dpep2nb dp2nb_human dpep2 neighbor protein   	False
A0A0U1RRK4	Other / unclassified	Other / unclassified	LBHD2	LBHD2_HUMAN	LBH domain-containing protein 2				a0a0u1rrk4 lbhd2 lbhd2_human lbh domain-containing protein 2   	False
A0A0U1RRL7	Other / unclassified	Other / unclassified	MMP24OS	MMPOS_HUMAN	Protein MMP24OS (MMP24 opposite strand)				a0a0u1rrl7 mmp24os mmpos_human protein mmp24os (mmp24 opposite strand)   	False
A0A183	Other / unclassified	Other / unclassified	LCE6A	LCE6A_HUMAN	Late cornified envelope protein 6A				a0a183 lce6a lce6a_human late cornified envelope protein 6a   	False
A0A1B0GTB2	Other / unclassified	Other / unclassified	TUNAR	TUNAR_HUMAN	Protein TUNAR (pTUNAR) (Beta cell and neural cell-regulin) (BNLN) (TCL1 upstream neural differentiation-associated RNA)				a0a1b0gtb2 tunar tunar_human protein tunar (ptunar) (beta cell and neural cell-regulin) (bnln) (tcl1 upstream neural differentiation-associated rna)   	False
A0A1B0GTK4	Other / unclassified	Other / unclassified	FAM237A	F237A_HUMAN	Protein FAM237A				a0a1b0gtk4 fam237a f237a_human protein fam237a   	False
A0A1B0GTK5	Other / unclassified	Other / unclassified	FAM236D	F236D_HUMAN	Protein FAM236D				a0a1b0gtk5 fam236d f236d_human protein fam236d   	False
A0A1B0GTR0	Other / unclassified	Other / unclassified	EDDM13	EDD13_HUMAN	Epididymal protein 13				a0a1b0gtr0 eddm13 edd13_human epididymal protein 13   	False
A0A1B0GTR4	Other / unclassified	Other / unclassified	SPRR5	SPRR5_HUMAN	Small proline-rich protein 5				a0a1b0gtr4 sprr5 sprr5_human small proline-rich protein 5   	False
A0A1B0GTU2	Other / unclassified	Other / unclassified	CTXND1	CTXD1_HUMAN	Cortexin domain-containing 1 protein				a0a1b0gtu2 ctxnd1 ctxd1_human cortexin domain-containing 1 protein   	False
A0A1B0GTW7	Other / unclassified	Other / unclassified	CIROP	CIROP_HUMAN	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)				a0a1b0gtw7 cirop cirop_human ciliated left-right organizer metallopeptidase (ec 3.4.24.-) (leishmanolysin-like peptidase 2)   	False
A0A1B0GTY4	Other / unclassified	Other / unclassified	TEX50	TEX50_HUMAN	Testis-expressed protein 50				a0a1b0gty4 tex50 tex50_human testis-expressed protein 50   	False
A0A1B0GU33	Other / unclassified	Other / unclassified	TEX53	TEX53_HUMAN	Testis-expressed protein 53				a0a1b0gu33 tex53 tex53_human testis-expressed protein 53   	False
A0A1B0GUA7	Other / unclassified	Other / unclassified	TEX51	TEX51_HUMAN	Testis-expressed protein 51				a0a1b0gua7 tex51 tex51_human testis-expressed protein 51   	False
A0A1B0GUJ8	Other / unclassified	Other / unclassified	PNMA8C	PNM8C_HUMAN	Paraneoplastic antigen-like protein 8C				a0a1b0guj8 pnma8c pnm8c_human paraneoplastic antigen-like protein 8c   	False
A0A1B0GUQ0	Other / unclassified	Other / unclassified	FAM236A	F236A_HUMAN	Protein FAM236A				a0a1b0guq0 fam236a f236a_human protein fam236a   	False
A0A1B0GUV7	Other / unclassified	Other / unclassified	TEX48	TEX48_HUMAN	Testis-expressed protein 48				a0a1b0guv7 tex48 tex48_human testis-expressed protein 48   	False
A0A1B0GUY1	Other / unclassified	Other / unclassified	MARCOL	MRCOL_HUMAN	MARCO-like protein				a0a1b0guy1 marcol mrcol_human marco-like protein   	False
A0A1B0GV22	Other / unclassified	Other / unclassified	FAM236B	F236B_HUMAN	Protein FAM236B				a0a1b0gv22 fam236b f236b_human protein fam236b   	False
A0A1B0GV85	Other / unclassified	Other / unclassified	REELD1	RELD1_HUMAN	Reelin domain-containing protein 1				a0a1b0gv85 reeld1 reld1_human reelin domain-containing protein 1   	False
A0A1B0GV90	Other / unclassified	Other / unclassified	CTXND2	CTXD2_HUMAN	Cortexin domain containing 2				a0a1b0gv90 ctxnd2 ctxd2_human cortexin domain containing 2   	False
A0A1B0GV96	Other / unclassified	Other / unclassified	CHD9NB	CHD9N_HUMAN	CHD9 neighbor protein				a0a1b0gv96 chd9nb chd9n_human chd9 neighbor protein   	False
A0A1B0GVD1	Other / unclassified	Other / unclassified	FAM237B	F237B_HUMAN	Protein FAM237B				a0a1b0gvd1 fam237b f237b_human protein fam237b   	False
A0A1B0GVG6	Other / unclassified	Other / unclassified	TEX54	TEX54_HUMAN	Testis-expressed protein 54				a0a1b0gvg6 tex54 tex54_human testis-expressed protein 54   	False
A0A1B0GVH7	Other / unclassified	Other / unclassified	IQCM	IQCM_HUMAN	IQ domain-containing protein M				a0a1b0gvh7 iqcm iqcm_human iq domain-containing protein m   	False
A0A1B0GVK7	Other / unclassified	Other / unclassified	FAM240A	F240A_HUMAN	Protein FAM240A				a0a1b0gvk7 fam240a f240a_human protein fam240a   	False
A0A1B0GVM5	Other / unclassified	Other / unclassified	ETDC	ETDC_HUMAN	Embryonic testis differentiation protein homolog C				a0a1b0gvm5 etdc etdc_human embryonic testis differentiation protein homolog c   	False
A0A1B0GVQ0	Other / unclassified	Other / unclassified	SPAAR	SPAR_HUMAN	Small regulatory polypeptide of amino acid response				a0a1b0gvq0 spaar spar_human small regulatory polypeptide of amino acid response   	False
A0A1B0GVR7	Other / unclassified	Other / unclassified	FAM240C	F240C_HUMAN	Protein FAM240C				a0a1b0gvr7 fam240c f240c_human protein fam240c   	False
A0A1B0GVX0	Other / unclassified	Other / unclassified	LITAFD	LITAD_HUMAN	LITAF domain-containing protein (LITAF-like protein)				a0a1b0gvx0 litafd litad_human litaf domain-containing protein (litaf-like protein)   	False
A0A1B0GVZ2	Other / unclassified	Other / unclassified	FAM240B	F240B_HUMAN	Protein FAM240B				a0a1b0gvz2 fam240b f240b_human protein fam240b   	False
A0A1B0GVZ6	Other / unclassified	Other / unclassified	MBD3L2B	MB3LB_HUMAN	Methyl-CpG-binding domain protein 3-like 2B				a0a1b0gvz6 mbd3l2b mb3lb_human methyl-cpg-binding domain protein 3-like 2b   	False
A0A1B0GWH6	Other / unclassified	Other / unclassified	LASP1NB	LSP1N_HUMAN	LASP1 neighbor protein (Long intergenic non-protein coding RNA 672)				a0a1b0gwh6 lasp1nb lsp1n_human lasp1 neighbor protein (long intergenic non-protein coding rna 672)   	False
A0A1B0GWK0	Other / unclassified	Other / unclassified	PVALEF	PVLEF_HUMAN	Parvalbumin-like EF-hand-containing protein				a0a1b0gwk0 pvalef pvlef_human parvalbumin-like ef-hand-containing protein   	False
A0A1W2PP97	Other / unclassified	Other / unclassified	THSD8	THSD8_HUMAN	Thrombospondin type-1 domain-containing protein 8				a0a1w2pp97 thsd8 thsd8_human thrombospondin type-1 domain-containing protein 8   	False
A0A1W2PPG7	Other / unclassified	Other / unclassified	GNG14	GBG14_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-14				a0a1w2ppg7 gng14 gbg14_human guanine nucleotide-binding protein g(i)/g(s)/g(o) subunit gamma-14   	False
A0A1W2PR48	Other / unclassified	Other / unclassified	TLE7	TLE7_HUMAN	Transducin-like enhancer protein 7				a0a1w2pr48 tle7 tle7_human transducin-like enhancer protein 7   	False
A0A1W2PR82	Other / unclassified	Other / unclassified	PERCC1	PERC1_HUMAN	Protein PERCC1 (Proline and glutamage-rich protein with a coiled coil domain)				a0a1w2pr82 percc1 perc1_human protein percc1 (proline and glutamage-rich protein with a coiled coil domain)   	False
